name,year,count,proportion
Abigail,1974,10,3.0641948827945457e-4
Adele,1974,50,0.001532097441397273
Adeline,1974,3,9.192584648383637e-5
Adrienne,1974,20,6.128389765589091e-4
Agnes,1974,36,0.0011031101578060365
Aileen,1974,87,0.0026658495480312546
Ailie,1974,4,1.2256779531178184e-4
Ailsa,1974,26,7.966906695265819e-4
Aimee,1974,6,1.8385169296767273e-4
Aimi,1974,3,9.192584648383637e-5
Ainsley,1974,3,9.192584648383637e-5
Ainslie,1974,3,9.192584648383637e-5
Alaine,1974,4,1.2256779531178184e-4
Alana,1974,13,3.9834533476329096e-4
Alanna,1974,4,1.2256779531178184e-4
Alexa,1974,5,0.00015320974413972729
Alexandra,1974,59,0.001807874980848782
Alexandria,1974,7,2.144936417956182e-4
Alexandrina,1974,3,9.192584648383637e-5
Alexis,1974,10,3.0641948827945457e-4
Alice,1974,29,8.886165160104183e-4
Alison,1974,453,0.013880802819059292
Allison,1974,60,0.0018385169296767274
Allyson,1974,4,1.2256779531178184e-4
Alyson,1974,10,3.0641948827945457e-4
Amanda,1974,502,0.01538225831162862
Amanda-Jane,1974,6,1.8385169296767273e-4
Amber,1974,6,1.8385169296767273e-4
Amelia,1974,5,0.00015320974413972729
Amy,1974,17,5.209131300750728e-4
Anastasia,1974,3,9.192584648383637e-5
Andrea,1974,158,0.004841427914815382
Andrena,1974,5,0.00015320974413972729
Andria,1974,4,1.2256779531178184e-4
Andrina,1974,12,3.6770338593534546e-4
Angela,1974,660,0.020223686226444004
Angeline,1974,7,2.144936417956182e-4
Angie,1974,10,3.0641948827945457e-4
Anita,1974,16,4.902711812471274e-4
Ann,1974,180,0.0055155507890301825
Ann-Marie,1974,10,3.0641948827945457e-4
Anna,1974,53,0.0016240232878811092
Anna-Marie,1974,3,9.192584648383637e-5
Annabel,1974,5,0.00015320974413972729
Annabell,1974,3,9.192584648383637e-5
Anne,1974,238,0.007292783821051019
Anne-Marie,1974,19,5.821970277309637e-4
Annemarie,1974,5,0.00015320974413972729
Annette,1974,27,8.273326183545274e-4
Annie,1974,16,4.902711812471274e-4
Annmarie,1974,10,3.0641948827945457e-4
Anthea,1974,13,3.9834533476329096e-4
Antonia,1974,7,2.144936417956182e-4
April,1974,16,4.902711812471274e-4
Arleen,1974,5,0.00015320974413972729
Arlene,1974,87,0.0026658495480312546
Ashley,1974,47,0.0014401715949134365
Audrey,1974,119,0.0036463919105255093
Avril,1974,26,7.966906695265819e-4
Barbara,1974,75,0.0022981461620959092
Belinda,1974,10,3.0641948827945457e-4
Bernadette,1974,23,7.047648230427455e-4
Beth,1974,6,1.8385169296767273e-4
Beverley,1974,39,0.001195036004289873
Beverly,1974,11,3.370614371074e-4
Bianca,1974,4,1.2256779531178184e-4
Billie,1974,4,1.2256779531178184e-4
Brenda,1974,45,0.0013788876972575456
Bridget,1974,7,2.144936417956182e-4
Caireen,1974,4,1.2256779531178184e-4
Camilla,1974,3,9.192584648383637e-5
Candice,1974,7,2.144936417956182e-4
Cara,1974,19,5.821970277309637e-4
Caren,1974,6,1.8385169296767273e-4
Carina,1974,3,9.192584648383637e-5
Carla,1974,33,0.0010111843113222
Carly,1974,3,9.192584648383637e-5
Carmen,1974,5,0.00015320974413972729
Carol,1974,319,0.009774781676114602
Carol-Ann,1974,12,3.6770338593534546e-4
Carol-Anne,1974,4,1.2256779531178184e-4
Carolann,1974,10,3.0641948827945457e-4
Carolanne,1974,10,3.0641948827945457e-4
Carole,1974,55,0.001685307185537
Caroline,1974,396,0.012134211735866401
Carolyn,1974,75,0.0022981461620959092
Carolyne,1974,7,2.144936417956182e-4
Caron,1974,4,1.2256779531178184e-4
Carrie,1974,20,6.128389765589091e-4
Catherina,1974,3,9.192584648383637e-5
Catherine,1974,298,0.009131300750727746
Cathleen,1974,4,1.2256779531178184e-4
Cathryn,1974,3,9.192584648383637e-5
Catrina,1974,8,2.451355906235637e-4
Catriona,1974,107,0.003278688524590164
Cecilia,1974,5,0.00015320974413972729
Charis,1974,3,9.192584648383637e-5
Charlaine,1974,3,9.192584648383637e-5
Charlene,1974,15,0.00045962923241918186
Charlotte,1974,36,0.0011031101578060365
Charmaine,1974,16,4.902711812471274e-4
Cherie,1974,7,2.144936417956182e-4
Cheryl,1974,91,0.002788417343343037
Chloe,1974,5,0.00015320974413972729
Christian,1974,4,1.2256779531178184e-4
Christina,1974,73,0.0022368622644400185
Christine,1974,175,0.005362341044890455
Cindy,1974,11,3.370614371074e-4
Clair,1974,34,0.0010418262601501456
Claire,1974,727,0.022276696797916346
Clare,1974,157,0.0048107859659874365
Claudia,1974,6,1.8385169296767273e-4
Claudine,1974,8,2.451355906235637e-4
Coleen,1974,4,1.2256779531178184e-4
Colette,1974,30,9.192584648383637e-4
Colleen,1974,7,2.144936417956182e-4
Collette,1974,15,0.00045962923241918186
Connie,1974,7,2.144936417956182e-4
Constance,1974,8,2.451355906235637e-4
Corinna,1974,3,9.192584648383637e-5
Corinne,1974,15,0.00045962923241918186
Corrie,1974,5,0.00015320974413972729
