name,year,count,proportion
Aaron,1974,17,4.881550610193826e-4
Abdul,1974,5,1.4357501794687725e-4
Adam,1974,75,0.0021536252692031586
Adrian,1974,46,0.0013208901651112707
Aftab,1974,3,8.614501076812635e-5
Aidan,1974,7,2.0100502512562814e-4
Alain,1974,3,8.614501076812635e-5
Alan,1974,685,0.01966977745872218
Alasdair,1974,72,0.0020674802584350325
Alastair,1974,94,0.0026992103374012923
Albert,1974,8,2.297200287150036e-4
Alec,1974,3,8.614501076812635e-5
Alex,1974,4,1.148600143575018e-4
Alexander,1974,359,0.010308686288585786
Alfred,1974,5,1.4357501794687725e-4
Ali,1974,4,1.148600143575018e-4
Alick,1974,5,1.4357501794687725e-4
Alisdair,1974,14,4.020100502512563e-4
Alistair,1974,128,0.0036755204594400574
Alister,1974,16,4.594400574300072e-4
Allan,1974,284,0.008155061019382627
Allen,1974,15,4.3072505384063173e-4
Allister,1974,10,2.871500358937545e-4
Alun,1974,8,2.297200287150036e-4
Alvin,1974,3,8.614501076812635e-5
Andrea,1974,4,1.148600143575018e-4
Andrew,1974,1067,0.030638908829863604
Angus,1974,67,0.001923905240488155
Anthony,1974,204,0.005857860732232592
Anton,1974,3,8.614501076812635e-5
Antonio,1974,7,2.0100502512562814e-4
Antony,1974,24,6.891600861450108e-4
Archibald,1974,17,4.881550610193826e-4
Archie,1974,4,1.148600143575018e-4
Arran,1974,3,8.614501076812635e-5
Arron,1974,3,8.614501076812635e-5
Arthur,1974,23,6.604450825556354e-4
Ashley,1974,5,1.4357501794687725e-4
Austen,1974,3,8.614501076812635e-5
Austin,1974,7,2.0100502512562814e-4
Aynsley,1974,3,8.614501076812635e-5
Barrie,1974,30,8.614501076812635e-4
Barry,1974,427,0.012261306532663316
Benedict,1974,3,8.614501076812635e-5
Benjamin,1974,37,0.0010624551328068917
Bernard,1974,18,5.168700646087581e-4
Billy,1974,9,2.5843503230437906e-4
Blair,1974,17,4.881550610193826e-4
Bradley,1974,7,2.0100502512562814e-4
Brendan,1974,28,8.040201005025126e-4
Brent,1974,6,1.722900215362527e-4
Brett,1974,8,2.297200287150036e-4
Brian,1974,623,0.017889447236180904
Bruce,1974,96,0.002756640344580043
Bryan,1974,94,0.0026992103374012923
Bryce,1974,5,1.4357501794687725e-4
Callum,1974,35,0.0010050251256281408
Calum,1974,75,0.0021536252692031586
Cameron,1974,58,0.001665470208183776
Campbell,1974,35,0.0010050251256281408
Carl,1974,11,3.1586503948312995e-4
Chad,1974,3,8.614501076812635e-5
Charles,1974,131,0.0037616654702081836
Christian,1974,25,7.178750897343862e-4
Christopher,1974,702,0.020157932519741566
Chun,1974,3,8.614501076812635e-5
Clark,1974,10,2.871500358937545e-4
Clarke,1974,3,8.614501076812635e-5
Clifford,1974,8,2.297200287150036e-4
Clive,1974,9,2.5843503230437906e-4
Colin,1974,634,0.018205312275664035
Conrad,1974,5,1.4357501794687725e-4
Cornelius,1974,7,2.0100502512562814e-4
Craig,1974,749,0.02150753768844221
Crawford,1974,12,3.445800430725054e-4
Dale,1974,16,4.594400574300072e-4
Damian,1974,19,5.455850681981336e-4
Damien,1974,9,2.5843503230437906e-4
Damon,1974,3,8.614501076812635e-5
Daniel,1974,169,0.0048528356066044505
Danny,1974,3,8.614501076812635e-5
Daren,1974,4,1.148600143575018e-4
Darran,1974,10,2.871500358937545e-4
Darren,1974,333,0.009562096195262024
Darrin,1974,7,2.0100502512562814e-4
Darron,1974,3,8.614501076812635e-5
Darryl,1974,5,1.4357501794687725e-4
Daryl,1974,11,3.1586503948312995e-4
David,1974,1794,0.05151471643933955
Dean,1974,49,0.001407035175879397
Declan,1974,3,8.614501076812635e-5
Denis,1974,14,4.020100502512563e-4
Dennis,1974,10,2.871500358937545e-4
Derek,1974,500,0.014357501794687724
Derick,1974,4,1.148600143575018e-4
Derrick,1974,7,2.0100502512562814e-4
Deryck,1974,3,8.614501076812635e-5
Desmond,1974,18,5.168700646087581e-4
Dominic,1974,23,6.604450825556354e-4
Don,1974,11,3.1586503948312995e-4
Donald,1974,146,0.0041923905240488155
Douglas,1974,225,0.006460875807609476
Drew,1974,14,4.020100502512563e-4
Duncan,1974,130,0.0037329504666188083
Dylan,1974,16,4.594400574300072e-4
