name,year,count,proportion
Mary,1910,14,0.20588235294117646
Annie,1910,12,0.17647058823529413
Anna,1910,10,0.14705882352941177
Margaret,1910,8,0.11764705882352941
Helen,1910,7,0.10294117647058823
Elsie,1910,6,0.08823529411764706
Lucy,1910,6,0.08823529411764706
Dorothy,1910,5,0.07352941176470588
Mary,1911,12,0.2727272727272727
Margaret,1911,7,0.1590909090909091
Ruth,1911,7,0.1590909090909091
Annie,1911,6,0.13636363636363635
Elizabeth,1911,6,0.13636363636363635
Helen,1911,6,0.13636363636363635
Mary,1912,9,0.10975609756097561
Elsie,1912,8,0.0975609756097561
Agnes,1912,7,0.08536585365853659
Anna,1912,7,0.08536585365853659
Helen,1912,7,0.08536585365853659
Louise,1912,7,0.08536585365853659
Jean,1912,6,0.07317073170731707
Ruth,1912,6,0.07317073170731707
Alice,1912,5,0.06097560975609756
Esther,1912,5,0.06097560975609756
Ethel,1912,5,0.06097560975609756
Margaret,1912,5,0.06097560975609756
Marie,1912,5,0.06097560975609756
Mary,1913,21,0.35
Elizabeth,1913,9,0.15
Margaret,1913,8,0.13333333333333333
Helen,1913,7,0.11666666666666667
Alice,1913,5,0.08333333333333333
Annie,1913,5,0.08333333333333333
Louise,1913,5,0.08333333333333333
Mary,1914,22,0.19130434782608696
Margaret,1914,10,0.08695652173913043
Alice,1914,8,0.06956521739130435
Annie,1914,8,0.06956521739130435
Elizabeth,1914,7,0.06086956521739131
Helen,1914,7,0.06086956521739131
Clara,1914,6,0.05217391304347826
Dorothy,1914,6,0.05217391304347826
Martha,1914,6,0.05217391304347826
Agnes,1914,5,0.043478260869565216
Esther,1914,5,0.043478260869565216
Frances,1914,5,0.043478260869565216
Julia,1914,5,0.043478260869565216
Lillian,1914,5,0.043478260869565216
Mildred,1914,5,0.043478260869565216
Pauline,1914,5,0.043478260869565216
Mary,1915,23,0.152317880794702
Alice,1915,13,0.08609271523178808
Helen,1915,12,0.07947019867549669
Anna,1915,10,0.06622516556291391
Dorothy,1915,10,0.06622516556291391
Margaret,1915,9,0.059602649006622516
Ruth,1915,9,0.059602649006622516
Elizabeth,1915,7,0.046357615894039736
Frances,1915,6,0.039735099337748346
Katherine,1915,6,0.039735099337748346
Martha,1915,6,0.039735099337748346
Annie,1915,5,0.033112582781456956
Clara,1915,5,0.033112582781456956
Emma,1915,5,0.033112582781456956
Hazel,1915,5,0.033112582781456956
Julia,1915,5,0.033112582781456956
Marie,1915,5,0.033112582781456956
Minnie,1915,5,0.033112582781456956
Pauline,1915,5,0.033112582781456956
Mary,1916,18,0.12162162162162163
Helen,1916,12,0.08108108108108109
Dorothy,1916,8,0.05405405405405406
Frances,1916,8,0.05405405405405406
Ruth,1916,8,0.05405405405405406
Alice,1916,7,0.0472972972972973
Anna,1916,7,0.0472972972972973
Agnes,1916,6,0.04054054054054054
Annie,1916,6,0.04054054054054054
Julia,1916,6,0.04054054054054054
Lillian,1916,6,0.04054054054054054
Margaret,1916,6,0.04054054054054054
Daisy,1916,5,0.033783783783783786
Edna,1916,5,0.033783783783783786
Esther,1916,5,0.033783783783783786
Evelyn,1916,5,0.033783783783783786
Florence,1916,5,0.033783783783783786
Katherine,1916,5,0.033783783783783786
Louise,1916,5,0.033783783783783786
Lucy,1916,5,0.033783783783783786
Marie,1916,5,0.033783783783783786
Sally,1916,5,0.033783783783783786
Mary,1917,21,0.18421052631578946
Margaret,1917,11,0.09649122807017543
Helen,1917,10,0.08771929824561403
Frances,1917,9,0.07894736842105263
Alice,1917,7,0.06140350877192982
Olga,1917,7,0.06140350877192982
Ruth,1917,7,0.06140350877192982
Clara,1917,6,0.05263157894736842
Dorothy,1917,6,0.05263157894736842
Anna,1917,5,0.043859649122807015
Edith,1917,5,0.043859649122807015
Florence,1917,5,0.043859649122807015
Maggie,1917,5,0.043859649122807015
Rose,1917,5,0.043859649122807015
Sophie,1917,5,0.043859649122807015
Mary,1918,27,0.17419354838709677
Margaret,1918,11,0.07096774193548387
Helen,1918,10,0.06451612903225806
Marie,1918,10,0.06451612903225806
Martha,1918,10,0.06451612903225806
Ruth,1918,10,0.06451612903225806
Anna,1918,8,0.05161290322580645
Gertrude,1918,8,0.05161290322580645
Julia,1918,7,0.04516129032258064
Virginia,1918,7,0.04516129032258064
Alice,1918,6,0.03870967741935484
Elizabeth,1918,6,0.03870967741935484
Annie,1918,5,0.03225806451612903
Clara,1918,5,0.03225806451612903
Elsie,1918,5,0.03225806451612903
Emma,1918,5,0.03225806451612903
Sarah,1918,5,0.03225806451612903
Stella,1918,5,0.03225806451612903
Vera,1918,5,0.03225806451612903
Mary,1919,22,0.10576923076923077
Margaret,1919,17,0.08173076923076923
Dorothy,1919,13,0.0625
Betty,1919,11,0.052884615384615384
Helen,1919,11,0.052884615384615384
