name,year,count,proportion
John,1910,8,0.1702127659574468
James,1910,7,0.14893617021276595
Paul,1910,6,0.1276595744680851
Robert,1910,6,0.1276595744680851
Carl,1910,5,0.10638297872340426
Edward,1910,5,0.10638297872340426
George,1910,5,0.10638297872340426
William,1910,5,0.10638297872340426
John,1911,15,0.375
James,1911,8,0.2
Peter,1911,6,0.15
William,1911,6,0.15
George,1911,5,0.125
John,1912,16,0.2711864406779661
William,1912,10,0.1694915254237288
George,1912,9,0.15254237288135594
Charles,1912,7,0.11864406779661017
Nick,1912,7,0.11864406779661017
Frank,1912,5,0.0847457627118644
James,1912,5,0.0847457627118644
John,1913,19,0.38
William,1913,10,0.2
George,1913,8,0.16
James,1913,8,0.16
Richard,1913,5,0.1
John,1914,17,0.13076923076923078
James,1914,12,0.09230769230769231
Joseph,1914,10,0.07692307692307693
Henry,1914,9,0.06923076923076923
William,1914,9,0.06923076923076923
David,1914,8,0.06153846153846154
Robert,1914,8,0.06153846153846154
Arthur,1914,7,0.05384615384615385
Charles,1914,7,0.05384615384615385
George,1914,7,0.05384615384615385
Peter,1914,7,0.05384615384615385
Albert,1914,6,0.046153846153846156
Frank,1914,6,0.046153846153846156
Jack,1914,6,0.046153846153846156
Walter,1914,6,0.046153846153846156
Andrew,1914,5,0.038461538461538464
John,1915,21,0.1206896551724138
William,1915,19,0.10919540229885058
Robert,1915,14,0.08045977011494253
Charles,1915,11,0.06321839080459771
Albert,1915,10,0.05747126436781609
James,1915,9,0.05172413793103448
Edward,1915,8,0.04597701149425287
Peter,1915,8,0.04597701149425287
George,1915,7,0.040229885057471264
Walter,1915,7,0.040229885057471264
Daniel,1915,6,0.034482758620689655
Harry,1915,6,0.034482758620689655
Joseph,1915,6,0.034482758620689655
Paul,1915,6,0.034482758620689655
Richard,1915,6,0.034482758620689655
David,1915,5,0.028735632183908046
Frank,1915,5,0.028735632183908046
Fred,1915,5,0.028735632183908046
Frederick,1915,5,0.028735632183908046
Nick,1915,5,0.028735632183908046
Roy,1915,5,0.028735632183908046
John,1916,25,0.14534883720930233
William,1916,19,0.11046511627906977
James,1916,17,0.09883720930232558
George,1916,12,0.06976744186046512
Andrew,1916,10,0.05813953488372093
Edward,1916,10,0.05813953488372093
Robert,1916,10,0.05813953488372093
Carl,1916,9,0.05232558139534884
Fred,1916,9,0.05232558139534884
Henry,1916,8,0.046511627906976744
Frank,1916,6,0.03488372093023256
Jack,1916,6,0.03488372093023256
Walter,1916,6,0.03488372093023256
Billy,1916,5,0.029069767441860465
Charles,1916,5,0.029069767441860465
Ernest,1916,5,0.029069767441860465
Harry,1916,5,0.029069767441860465
Joseph,1916,5,0.029069767441860465
John,1917,26,0.16049382716049382
Robert,1917,19,0.11728395061728394
William,1917,17,0.10493827160493827
George,1917,11,0.06790123456790123
James,1917,10,0.06172839506172839
Paul,1917,9,0.05555555555555555
Charles,1917,8,0.04938271604938271
Edward,1917,8,0.04938271604938271
Fred,1917,6,0.037037037037037035
Joseph,1917,6,0.037037037037037035
Ralph,1917,6,0.037037037037037035
Thomas,1917,6,0.037037037037037035
Arthur,1917,5,0.030864197530864196
David,1917,5,0.030864197530864196
Donald,1917,5,0.030864197530864196
Jack,1917,5,0.030864197530864196
Jacob,1917,5,0.030864197530864196
Mike,1917,5,0.030864197530864196
John,1918,23,0.12299465240641712
William,1918,23,0.12299465240641712
Joseph,1918,13,0.06951871657754011
Charles,1918,11,0.058823529411764705
Robert,1918,11,0.058823529411764705
Alfred,1918,10,0.053475935828877004
George,1918,9,0.0481283422459893
Harry,1918,9,0.0481283422459893
Edward,1918,8,0.0427807486631016
James,1918,8,0.0427807486631016
Peter,1918,8,0.0427807486631016
Albert,1918,6,0.03208556149732621
Andrew,1918,6,0.03208556149732621
Roy,1918,6,0.03208556149732621
Walter,1918,6,0.03208556149732621
Daniel,1918,5,0.026737967914438502
Jack,1918,5,0.026737967914438502
Joe,1918,5,0.026737967914438502
Paul,1918,5,0.026737967914438502
Simon,1918,5,0.026737967914438502
Thomas,1918,5,0.026737967914438502
John,1919,24,0.11650485436893204
George,1919,19,0.09223300970873786
James,1919,19,0.09223300970873786
Robert,1919,15,0.07281553398058252
Charles,1919,12,0.05825242718446602
David,1919,12,0.05825242718446602
William,1919,12,0.05825242718446602
Jack,1919,10,0.04854368932038835
Henry,1919,9,0.043689320388349516
Walter,1919,9,0.043689320388349516
Edward,1919,7,0.03398058252427184
Fred,1919,7,0.03398058252427184
Thomas,1919,7,0.03398058252427184
Carl,1919,6,0.02912621359223301
Harry,1919,6,0.02912621359223301
Joseph,1919,6,0.02912621359223301
Nick,1919,6,0.02912621359223301
Albert,1919,5,0.024271844660194174
Andrew,1919,5,0.024271844660194174
Donald,1919,5,0.024271844660194174
Ralph,1919,5,0.024271844660194174
John,1920,21,0.1024390243902439
William,1920,19,0.09268292682926829
Paul,1920,16,0.07804878048780488
George,1920,15,0.07317073170731707
James,1920,14,0.06829268292682927
Robert,1920,12,0.05853658536585366
Joseph,1920,9,0.04390243902439024
Thomas,1920,9,0.04390243902439024
Andrew,1920,8,0.03902439024390244
Henry,1920,8,0.03902439024390244
Charles,1920,7,0.03414634146341464
David,1920,7,0.03414634146341464
Walter,1920,7,0.03414634146341464
Harry,1920,6,0.02926829268292683
Louis,1920,6,0.02926829268292683
Richard,1920,6,0.02926829268292683
Albert,1920,5,0.024390243902439025
Arthur,1920,5,0.024390243902439025
Donald,1920,5,0.024390243902439025
Eugene,1920,5,0.024390243902439025
Frank,1920,5,0.024390243902439025
Harold,1920,5,0.024390243902439025
Lawrence,1920,5,0.024390243902439025
John,1921,35,0.15283842794759825
William,1921,18,0.07860262008733625
George,1921,17,0.07423580786026202
Joseph,1921,17,0.07423580786026202
Charles,1921,11,0.048034934497816595
Donald,1921,11,0.048034934497816595
Frank,1921,10,0.043668122270742356
Henry,1921,9,0.039301310043668124
Robert,1921,9,0.039301310043668124
Daniel,1921,8,0.034934497816593885
Lawrence,1921,8,0.034934497816593885
Alfred,1921,7,0.03056768558951965
Edward,1921,7,0.03056768558951965
James,1921,7,0.03056768558951965
Richard,1921,7,0.03056768558951965
Thomas,1921,7,0.03056768558951965
Patrick,1921,6,0.026200873362445413
Andrew,1921,5,0.021834061135371178
Carl,1921,5,0.021834061135371178
Kenneth,1921,5,0.021834061135371178
Leonard,1921,5,0.021834061135371178
Paul,1921,5,0.021834061135371178
Phillip,1921,5,0.021834061135371178
