name,year,count,proportion
Mary,1910,875,0.06678369714547397
Annie,1910,482,0.03678827659899252
Willie,1910,257,0.01961532590444207
Mattie,1910,232,0.01770722027171424
Ruby,1910,204,0.015570141963059074
Ethel,1910,197,0.015035872385895283
Lillie,1910,187,0.014272630132804153
Ruth,1910,168,0.012822469851931003
Bessie,1910,162,0.012364524500076324
Elizabeth,1910,146,0.011143336895130515
Emma,1910,145,0.0110670126698214
Minnie,1910,139,0.010609067317966722
Louise,1910,138,0.01053274309265761
Bertha,1910,130,0.009922149290184704
Hattie,1910,127,0.009693176614257365
Gladys,1910,125,0.009540528163639138
Carrie,1910,122,0.009311555487711799
Fannie,1910,116,0.00885361013585712
Martha,1910,113,0.008624637459929781
Rosa,1910,113,0.008624637459929781
Alice,1910,112,0.008548313234620668
Lucille,1910,109,0.00831934055869333
Jessie,1910,108,0.008243016333384217
Sarah,1910,107,0.008166692108075102
Margaret,1910,106,0.00809036788276599
Pearl,1910,105,0.008014043657456877
Marie,1910,104,0.007937719432147763
Myrtle,1910,104,0.007937719432147763
Rosie,1910,103,0.00786139520683865
Lillian,1910,99,0.007556098305602198
Clara,1910,97,0.007403449854983972
Gertrude,1910,97,0.007403449854983972
Nellie,1910,96,0.0073271256296748586
Ida,1910,95,0.007250801404365746
Ella,1910,91,0.006945504503129293
Eva,1910,91,0.006945504503129293
Maggie,1910,91,0.006945504503129293
Mildred,1910,90,0.00686918027782018
Mamie,1910,88,0.006716531827201954
Edna,1910,86,0.006563883376583727
Lois,1910,85,0.006487559151274615
Susie,1910,85,0.006487559151274615
Katie,1910,84,0.006411234925965501
Beatrice,1910,83,0.006334910700656388
Evelyn,1910,83,0.006334910700656388
Alma,1910,82,0.0062585864753472754
Lula,1910,82,0.0062585864753472754
Frances,1910,81,0.006182262250038162
Irene,1910,81,0.006182262250038162
Velma,1910,81,0.006182262250038162
Viola,1910,78,0.005953289574110823
Julia,1910,77,0.005876965348801709
Essie,1910,76,0.005800641123492597
Helen,1910,76,0.005800641123492597
Lucy,1910,76,0.005800641123492597
Lucile,1910,75,0.0057243168981834834
Anna,1910,74,0.00564799267287437
Vera,1910,71,0.005419019996947031
Laura,1910,70,0.005342695771637918
Inez,1910,65,0.004961074645092352
Thelma,1910,65,0.004961074645092352
Eula,1910,63,0.004808426194474126
Virginia,1910,63,0.004808426194474126
Alberta,1910,62,0.004732101969165013
Daisy,1910,62,0.004732101969165013
Flora,1910,62,0.004732101969165013
Cora,1910,61,0.0046557777438558995
Lena,1910,61,0.0046557777438558995
Josephine,1910,60,0.004579453518546787
Grace,1910,59,0.0045031292932376735
Georgia,1910,58,0.00442680506792856
Nancy,1910,58,0.00442680506792856
Lizzie,1910,57,0.004350480842619448
Pauline,1910,57,0.004350480842619448
Sallie,1910,57,0.004350480842619448
Johnnie,1910,56,0.004274156617310334
Mae,1910,56,0.004274156617310334
Bernice,1910,55,0.004197832392001221
Dorothy,1910,55,0.004197832392001221
Florence,1910,54,0.004121508166692108
Ada,1910,53,0.004045183941382995
Hazel,1910,51,0.0038925354907647686
Addie,1910,50,0.0038162112654556556
Rose,1910,49,0.0037398870401465427
Elsie,1910,48,0.0036635628148374293
Agnes,1910,46,0.0035109143642192034
Leola,1910,45,0.00343459013891009
Estelle,1910,43,0.0032819416882918636
Effie,1910,41,0.0031292932376736377
Eunice,1910,41,0.0031292932376736377
Ola,1910,41,0.0031292932376736377
Ollie,1910,41,0.0031292932376736377
Ora,1910,40,0.0030529690123645243
Sadie,1910,40,0.0030529690123645243
Nora,1910,39,0.0029766447870554114
Ellen,1910,38,0.0029003205617462984
Esther,1910,38,0.0029003205617462984
Jennie,1910,38,0.0029003205617462984
Catherine,1910,37,0.002823996336437185
Mabel,1910,37,0.002823996336437185
Sara,1910,37,0.002823996336437185
Katherine,1910,36,0.002747672111128072
Mable,1910,36,0.002747672111128072
Josie,1910,35,0.002671347885818959
Rebecca,1910,35,0.002671347885818959
Dora,1910,33,0.0025186994352007328
Lela,1910,32,0.00244237520989162
Jewell,1910,31,0.0023660509845825064
Leona,1910,31,0.0023660509845825064
Nettie,1910,31,0.0023660509845825064
Jewel,1910,30,0.0022897267592733935
Lola,1910,30,0.0022897267592733935
Roberta,1910,30,0.0022897267592733935
Beulah,1910,29,0.00221340253396428
Edith,1910,29,0.00221340253396428
Geneva,1910,29,0.00221340253396428
Janie,1910,29,0.00221340253396428
Lorene,1910,29,0.00221340253396428
Callie,1910,28,0.002137078308655167
Etta,1910,28,0.002137078308655167
Jimmie,1910,28,0.002137078308655167
Pearlie,1910,28,0.002137078308655167
Betty,1910,27,0.002060754083346054
Flossie,1910,27,0.002060754083346054
Ann,1910,26,0.0019844298580369408
Eliza,1910,26,0.0019844298580369408
Rachel,1910,26,0.0019844298580369408
Lessie,1910,25,0.0019081056327278278
Nell,1910,25,0.0019081056327278278
Era,1910,24,0.0018317814074187146
Gussie,1910,24,0.0018317814074187146
Ila,1910,24,0.0018317814074187146
Maude,1910,24,0.0018317814074187146
Della,1910,23,0.0017554571821096017
Stella,1910,23,0.0017554571821096017
Winnie,1910,23,0.0017554571821096017
Eddie,1910,22,0.0016791329568004885
Elnora,1910,22,0.0016791329568004885
Lottie,1910,22,0.0016791329568004885
Opal,1910,22,0.0016791329568004885
Vivian,1910,22,0.0016791329568004885
Estella,1910,21,0.0016028087314913753
Maudie,1910,21,0.0016028087314913753
Mittie,1910,21,0.0016028087314913753
Mollie,1910,21,0.0016028087314913753
Birdie,1910,20,0.0015264845061822622
Dollie,1910,20,0.0015264845061822622
Doris,1910,19,0.0014501602808731492
Juanita,1910,19,0.0014501602808731492
Kate,1910,19,0.0014501602808731492
Sally,1910,19,0.0014501602808731492
Amanda,1910,18,0.001373836055564036
Cleo,1910,18,0.001373836055564036
Hester,1910,18,0.001373836055564036
Rena,1910,18,0.001373836055564036
Allie,1910,17,0.0012975118302549229
Blanche,1910,17,0.0012975118302549229
Corine,1910,17,0.0012975118302549229
Estell,1910,17,0.0012975118302549229
Margie,1910,17,0.0012975118302549229
Bettie,1910,16,0.00122118760494581
Bonnie,1910,16,0.00122118760494581
Carolyn,1910,16,0.00122118760494581
Eloise,1910,16,0.00122118760494581
Irma,1910,16,0.00122118760494581
Jean,1910,16,0.00122118760494581
Tommie,1910,16,0.00122118760494581
Adell,1910,15,0.0011448633796366967
Christine,1910,15,0.0011448633796366967
Claudie,1910,15,0.0011448633796366967
Cornelia,1910,15,0.0011448633796366967
Gracie,1910,15,0.0011448633796366967
Marguerite,1910,15,0.0011448633796366967
Millie,1910,15,0.0011448633796366967
Naomi,1910,15,0.0011448633796366967
Verna,1910,15,0.0011448633796366967
Wilma,1910,15,0.0011448633796366967
Earline,1910,14,0.0010685391543275836
Erma,1910,14,0.0010685391543275836
Henrietta,1910,14,0.0010685391543275836
Iva,1910,14,0.0010685391543275836
Jannie,1910,14,0.0010685391543275836
Kathleen,1910,14,0.0010685391543275836
Roxie,1910,14,0.0010685391543275836
Susan,1910,14,0.0010685391543275836
Anne,1910,13,9.922149290184704e-4
Audrey,1910,13,9.922149290184704e-4
Leila,1910,13,9.922149290184704e-4
May,1910,13,9.922149290184704e-4
Rosia,1910,13,9.922149290184704e-4
Amelia,1910,12,9.158907037093573e-4
