name,year,count,proportion
Mary,1910,193,0.07810602994738972
Helen,1910,112,0.0453257790368272
Dorothy,1910,87,0.03520841764467827
Ruth,1910,68,0.027519222986645085
Margaret,1910,67,0.027114528530959126
Frances,1910,56,0.0226628895184136
Alice,1910,46,0.018615944961554026
Elizabeth,1910,46,0.018615944961554026
Anna,1910,42,0.0169971671388102
Mildred,1910,42,0.0169971671388102
Rose,1910,39,0.01578308377175233
Florence,1910,36,0.014569000404694455
Thelma,1910,36,0.014569000404694455
Evelyn,1910,33,0.013354917037636584
Virginia,1910,33,0.013354917037636584
Marie,1910,32,0.012950222581950627
Edna,1910,31,0.01254552812626467
Gladys,1910,31,0.01254552812626467
Hazel,1910,31,0.01254552812626467
Edith,1910,27,0.010926750303520841
Elsie,1910,27,0.010926750303520841
Esther,1910,27,0.010926750303520841
Clara,1910,26,0.010522055847834885
Grace,1910,26,0.010522055847834885
Josephine,1910,26,0.010522055847834885
Katherine,1910,26,0.010522055847834885
Lillian,1910,26,0.010522055847834885
Ann,1910,25,0.010117361392148928
Ethel,1910,25,0.010117361392148928
Pauline,1910,25,0.010117361392148928
Emma,1910,24,0.00971266693646297
Louise,1910,24,0.00971266693646297
Eva,1910,22,0.008903278025091057
Lucille,1910,22,0.008903278025091057
Maria,1910,22,0.008903278025091057
Marjorie,1910,22,0.008903278025091057
Mabel,1910,21,0.0084985835694051
Marguerite,1910,21,0.0084985835694051
Irene,1910,19,0.007689194658033185
Martha,1910,19,0.007689194658033185
Ruby,1910,19,0.007689194658033185
Catherine,1910,18,0.007284500202347228
Julia,1910,18,0.007284500202347228
Viola,1910,18,0.007284500202347228
Bernice,1910,17,0.006879805746661271
Laura,1910,17,0.006879805746661271
Vera,1910,17,0.006879805746661271
Bertha,1910,16,0.006475111290975314
Genevieve,1910,16,0.006475111290975314
Nellie,1910,16,0.006475111290975314
Pearl,1910,16,0.006475111290975314
Beatrice,1910,15,0.006070416835289356
Doris,1910,15,0.006070416835289356
Lucy,1910,15,0.006070416835289356
Agnes,1910,14,0.0056657223796034
Vivian,1910,14,0.0056657223796034
Gertrude,1910,13,0.005261027923917442
Ida,1910,13,0.005261027923917442
Jennie,1910,13,0.005261027923917442
Myrtle,1910,13,0.005261027923917442
Alma,1910,12,0.004856333468231485
Bessie,1910,12,0.004856333468231485
Eleanor,1910,12,0.004856333468231485
Emily,1910,12,0.004856333468231485
Lois,1910,12,0.004856333468231485
Marian,1910,12,0.004856333468231485
Velma,1910,12,0.004856333468231485
Ella,1910,11,0.004451639012545528
Jean,1910,11,0.004451639012545528
Kathryn,1910,11,0.004451639012545528
Maxine,1910,11,0.004451639012545528
Minnie,1910,11,0.004451639012545528
Sylvia,1910,11,0.004451639012545528
Theresa,1910,11,0.004451639012545528
Amelia,1910,10,0.004046944556859571
Blanche,1910,10,0.004046944556859571
Charlotte,1910,10,0.004046944556859571
Sarah,1910,10,0.004046944556859571
Violet,1910,10,0.004046944556859571
Anne,1910,9,0.003642250101173614
Betty,1910,9,0.003642250101173614
Dora,1910,9,0.003642250101173614
Georgia,1910,9,0.003642250101173614
Lydia,1910,9,0.003642250101173614
Olive,1910,9,0.003642250101173614
Verna,1910,9,0.003642250101173614
Ellen,1910,8,0.003237555645487657
Erma,1910,8,0.003237555645487657
Flora,1910,8,0.003237555645487657
Frieda,1910,8,0.003237555645487657
Jane,1910,8,0.003237555645487657
Jessie,1910,8,0.003237555645487657
Leona,1910,8,0.003237555645487657
Marion,1910,8,0.003237555645487657
Sara,1910,8,0.003237555645487657
Stella,1910,8,0.003237555645487657
Amy,1910,7,0.0028328611898017
Barbara,1910,7,0.0028328611898017
Carmen,1910,7,0.0028328611898017
Caroline,1910,7,0.0028328611898017
Cora,1910,7,0.0028328611898017
Della,1910,7,0.0028328611898017
Fern,1910,7,0.0028328611898017
Lena,1910,7,0.0028328611898017
Mollie,1910,7,0.0028328611898017
Olga,1910,7,0.0028328611898017
Opal,1910,7,0.0028328611898017
Patricia,1910,7,0.0028328611898017
