name,year,count,proportion
John,1910,99,0.08699472759226713
James,1910,66,0.05799648506151142
Charles,1910,51,0.04481546572934974
William,1910,51,0.04481546572934974
Robert,1910,49,0.04305799648506151
George,1910,48,0.0421792618629174
Frank,1910,45,0.03954305799648506
Joe,1910,42,0.03690685413005272
Joseph,1910,38,0.033391915641476276
Fred,1910,33,0.02899824253075571
Edward,1910,24,0.0210896309314587
Richard,1910,22,0.019332161687170474
Jack,1910,21,0.01845342706502636
Albert,1910,20,0.01757469244288225
Paul,1910,20,0.01757469244288225
Harold,1910,18,0.015817223198594025
Howard,1910,18,0.015817223198594025
Raymond,1910,17,0.014938488576449912
Carl,1910,14,0.012302284710017574
Henry,1910,14,0.012302284710017574
Thomas,1910,14,0.012302284710017574
Walter,1910,14,0.012302284710017574
Clarence,1910,13,0.011423550087873463
Jose,1910,13,0.011423550087873463
Daniel,1910,12,0.01054481546572935
David,1910,12,0.01054481546572935
Harry,1910,12,0.01054481546572935
Lloyd,1910,12,0.01054481546572935
Louis,1910,12,0.01054481546572935
Ralph,1910,12,0.01054481546572935
Anthony,1910,11,0.009666080843585237
Arthur,1910,11,0.009666080843585237
Donald,1910,11,0.009666080843585237
Ray,1910,9,0.007908611599297012
Francis,1910,8,0.007029876977152899
Herbert,1910,8,0.007029876977152899
Kenneth,1910,8,0.007029876977152899
Leroy,1910,8,0.007029876977152899
Pete,1910,8,0.007029876977152899
Virgil,1910,8,0.007029876977152899
Claude,1910,7,0.006151142355008787
Earl,1910,7,0.006151142355008787
Edwin,1910,7,0.006151142355008787
Ernest,1910,7,0.006151142355008787
Eugene,1910,7,0.006151142355008787
Glenn,1910,7,0.006151142355008787
Herman,1910,7,0.006151142355008787
Juan,1910,7,0.006151142355008787
Lawrence,1910,7,0.006151142355008787
Leonard,1910,7,0.006151142355008787
Manuel,1910,7,0.006151142355008787
Milton,1910,7,0.006151142355008787
Tony,1910,7,0.006151142355008787
Alfred,1910,6,0.005272407732864675
Delbert,1910,6,0.005272407732864675
Martin,1910,6,0.005272407732864675
Marvin,1910,6,0.005272407732864675
Roy,1910,6,0.005272407732864675
Russell,1910,6,0.005272407732864675
Sam,1910,6,0.005272407732864675
Stanley,1910,6,0.005272407732864675
Theodore,1910,6,0.005272407732864675
Tom,1910,6,0.005272407732864675
Willie,1910,6,0.005272407732864675
Emilio,1910,5,0.004393673110720563
Floyd,1910,5,0.004393673110720563
Gerald,1910,5,0.004393673110720563
Glen,1910,5,0.004393673110720563
Hugh,1910,5,0.004393673110720563
Leo,1910,5,0.004393673110720563
Maurice,1910,5,0.004393673110720563
Melvin,1910,5,0.004393673110720563
Norman,1910,5,0.004393673110720563
Victor,1910,5,0.004393673110720563
Wilbur,1910,5,0.004393673110720563
John,1911,109,0.08339709257842387
Robert,1911,64,0.04896710022953328
William,1911,64,0.04896710022953328
Charles,1911,57,0.04361132364192808
James,1911,56,0.04284621270084162
George,1911,55,0.042081101759755164
Frank,1911,44,0.03366488140780413
Joseph,1911,41,0.03136954858454476
Joe,1911,29,0.02218821729150727
Edward,1911,28,0.02142310635042081
Harold,1911,28,0.02142310635042081
Carl,1911,27,0.020657995409334353
Thomas,1911,27,0.020657995409334353
Jack,1911,24,0.018362662586074982
Ralph,1911,24,0.018362662586074982
Richard,1911,23,0.017597551644988524
Harry,1911,22,0.016832440703902066
Fred,1911,21,0.016067329762815608
Henry,1911,20,0.015302218821729151
Arthur,1911,19,0.014537107880642693
Paul,1911,19,0.014537107880642693
Albert,1911,18,0.013771996939556235
Donald,1911,18,0.013771996939556235
Walter,1911,15,0.011476664116296864
Leonard,1911,14,0.010711553175210406
Raymond,1911,14,0.010711553175210406
