name,year,count,proportion
Mary,1910,304,0.09583858764186633
Helen,1910,170,0.053593947036569986
Anna,1910,131,0.04129886506935687
Margaret,1910,99,0.03121059268600252
Dorothy,1910,90,0.02837326607818411
Ruth,1910,90,0.02837326607818411
Elizabeth,1910,86,0.02711223203026482
Rose,1910,85,0.026796973518284993
Alice,1910,66,0.02080706179066835
Florence,1910,58,0.01828499369482976
Josephine,1910,55,0.01733921815889029
Mildred,1910,51,0.016078184110970995
Lillian,1910,49,0.01544766708701135
Frances,1910,45,0.014186633039092055
Catherine,1910,41,0.012925598991172762
Julia,1910,39,0.012295081967213115
Anne,1910,38,0.01197982345523329
Marie,1910,36,0.011349306431273645
Marion,1910,36,0.011349306431273645
Ethel,1910,35,0.011034047919293822
Evelyn,1910,35,0.011034047919293822
Grace,1910,35,0.011034047919293822
Gertrude,1910,34,0.010718789407313998
Ann,1910,33,0.010403530895334174
Beatrice,1910,33,0.010403530895334174
Emma,1910,32,0.01008827238335435
Louise,1910,31,0.009773013871374527
Gladys,1910,30,0.009457755359394703
Sophie,1910,30,0.009457755359394703
Esther,1910,29,0.00914249684741488
Bertha,1910,28,0.008827238335435058
Katherine,1910,28,0.008827238335435058
Irene,1910,27,0.008511979823455234
Agnes,1910,26,0.00819672131147541
Edna,1910,26,0.00819672131147541
Eleanor,1910,26,0.00819672131147541
Clara,1910,25,0.007881462799495587
Doris,1910,25,0.007881462799495587
Jennie,1910,25,0.007881462799495587
Theresa,1910,24,0.007566204287515763
Edith,1910,23,0.007250945775535939
Jean,1910,23,0.007250945775535939
Marguerite,1910,21,0.006620428751576293
Pauline,1910,21,0.006620428751576293
Marjorie,1910,20,0.006305170239596469
Lucy,1910,19,0.005989911727616645
Elsie,1910,18,0.005674653215636823
Ida,1910,18,0.005674653215636823
Nellie,1910,17,0.005359394703656999
Barbara,1910,16,0.005044136191677175
Genevieve,1910,16,0.005044136191677175
Kathryn,1910,16,0.005044136191677175
Lena,1910,16,0.005044136191677175
Bernice,1910,15,0.004728877679697352
Emily,1910,15,0.004728877679697352
Estelle,1910,15,0.004728877679697352
Loretta,1910,15,0.004728877679697352
Sarah,1910,15,0.004728877679697352
Stella,1910,15,0.004728877679697352
Viola,1910,15,0.004728877679697352
Virginia,1910,15,0.004728877679697352
Blanche,1910,14,0.004413619167717529
Charlotte,1910,14,0.004413619167717529
Laura,1910,14,0.004413619167717529
Lucille,1910,14,0.004413619167717529
Betty,1910,13,0.004098360655737705
Jane,1910,13,0.004098360655737705
Marian,1910,13,0.004098360655737705
Vera,1910,13,0.004098360655737705
Bessie,1910,12,0.0037831021437578815
Madeline,1910,12,0.0037831021437578815
Maria,1910,12,0.0037831021437578815
Martha,1910,12,0.0037831021437578815
Sylvia,1910,12,0.0037831021437578815
Victoria,1910,12,0.0037831021437578815
Eva,1910,11,0.0034678436317780582
Mabel,1910,11,0.0034678436317780582
Mae,1910,11,0.0034678436317780582
Alma,1910,10,0.0031525851197982345
Christine,1910,10,0.0031525851197982345
Ellen,1910,10,0.0031525851197982345
Olga,1910,10,0.0031525851197982345
