name,year,count,proportion
John,1910,124,0.09253731343283582
Joseph,1910,103,0.07686567164179105
William,1910,78,0.058208955223880594
Charles,1910,63,0.04701492537313433
Edward,1910,63,0.04701492537313433
Frank,1910,62,0.04626865671641791
George,1910,61,0.04552238805970149
James,1910,49,0.03656716417910448
Anthony,1910,42,0.03134328358208955
Walter,1910,36,0.026865671641791045
Thomas,1910,34,0.025373134328358207
Francis,1910,33,0.024626865671641792
Michael,1910,33,0.024626865671641792
Harold,1910,27,0.020149253731343283
Robert,1910,26,0.019402985074626865
Stanley,1910,26,0.019402985074626865
Louis,1910,24,0.01791044776119403
Albert,1910,23,0.017164179104477612
Raymond,1910,22,0.016417910447761194
Andrew,1910,20,0.014925373134328358
Peter,1910,17,0.012686567164179104
Harry,1910,16,0.011940298507462687
Henry,1910,16,0.011940298507462687
Paul,1910,16,0.011940298507462687
Richard,1910,16,0.011940298507462687
Kenneth,1910,15,0.011194029850746268
Ralph,1910,15,0.011194029850746268
Arthur,1910,14,0.010447761194029851
David,1910,13,0.009701492537313432
Alfred,1910,12,0.008955223880597015
Samuel,1910,12,0.008955223880597015
Ernest,1910,11,0.008208955223880597
Frederick,1910,11,0.008208955223880597
Stephen,1910,11,0.008208955223880597
Edmund,1910,10,0.007462686567164179
Fred,1910,9,0.006716417910447761
Howard,1910,9,0.006716417910447761
Daniel,1910,8,0.005970149253731343
Leonard,1910,8,0.005970149253731343
Alexander,1910,7,0.0052238805970149255
Benjamin,1910,7,0.0052238805970149255
Bernard,1910,7,0.0052238805970149255
Herbert,1910,7,0.0052238805970149255
Herman,1910,7,0.0052238805970149255
Morris,1910,7,0.0052238805970149255
Norman,1910,7,0.0052238805970149255
Salvatore,1910,7,0.0052238805970149255
Vincent,1910,7,0.0052238805970149255
Dominick,1910,6,0.004477611940298508
Donald,1910,6,0.004477611940298508
Jack,1910,6,0.004477611940298508
Lawrence,1910,6,0.004477611940298508
Nicholas,1910,6,0.004477611940298508
Oliver,1910,6,0.004477611940298508
Philip,1910,6,0.004477611940298508
Steve,1910,6,0.004477611940298508
Theodore,1910,6,0.004477611940298508
Eugene,1910,5,0.0037313432835820895
Leo,1910,5,0.0037313432835820895
Lester,1910,5,0.0037313432835820895
Matthew,1910,5,0.0037313432835820895
Patrick,1910,5,0.0037313432835820895
Sam,1910,5,0.0037313432835820895
Sidney,1910,5,0.0037313432835820895
John,1911,244,0.090169992609017
Joseph,1911,184,0.0679970436067997
William,1911,153,0.0565410199556541
George,1911,123,0.045454545454545456
Edward,1911,111,0.041019955654102
Frank,1911,94,0.03473762010347376
James,1911,85,0.031411677753141166
Charles,1911,67,0.02475979305247598
Anthony,1911,59,0.02180339985218034
Thomas,1911,58,0.021433850702143386
Albert,1911,57,0.02106430155210643
Robert,1911,57,0.02106430155210643
Walter,1911,56,0.020694752402069475
Henry,1911,53,0.01958610495195861
Louis,1911,49,0.01810790835181079
Stanley,1911,48,0.017738359201773836
Francis,1911,47,0.01736881005173688
Harold,1911,47,0.01736881005173688
Raymond,1911,46,0.016999260901699925
Michael,1911,42,0.015521064301552107
Andrew,1911,38,0.014042867701404288
Arthur,1911,37,0.013673318551367332
Harry,1911,35,0.012934220251293422
Paul,1911,34,0.012564671101256468
Peter,1911,31,0.011456023651145602
Frederick,1911,30,0.011086474501108648
Richard,1911,30,0.011086474501108648
Stephen,1911,29,0.010716925351071693
Ralph,1911,25,0.009238728750923873
Vincent,1911,24,0.008869179600886918
David,1911,23,0.008499630450849963
Ernest,1911,23,0.008499630450849963
Alfred,1911,22,0.008130081300813009
Benjamin,1911,22,0.008130081300813009
Philip,1911,21,0.007760532150776054
Salvatore,1911,20,0.007390983000739098
Samuel,1911,19,0.007021433850702144
Howard,1911,18,0.0066518847006651885
Kenneth,1911,18,0.0066518847006651885
Carl,1911,17,0.006282335550628234
Fred,1911,17,0.006282335550628234
Bernard,1911,16,0.005912786400591279
Clarence,1911,15,0.005543237250554324
Clifford,1911,15,0.005543237250554324
Daniel,1911,15,0.005543237250554324
Nicholas,1911,15,0.005543237250554324
Donald,1911,14,0.005173688100517369
Edmund,1911,14,0.005173688100517369
Herman,1911,14,0.005173688100517369
Leo,1911,14,0.005173688100517369
Lawrence,1911,13,0.004804138950480414
Alexander,1911,12,0.004434589800443459
Everett,1911,12,0.004434589800443459
Herbert,1911,12,0.004434589800443459
Russell,1911,12,0.004434589800443459
Milton,1911,11,0.0040650406504065045
Theodore,1911,11,0.0040650406504065045
Edwin,1911,10,0.003695491500369549
Irving,1911,10,0.003695491500369549
Leonard,1911,10,0.003695491500369549
Norman,1911,10,0.003695491500369549
Julius,1911,9,0.0033259423503325942
Sidney,1911,9,0.0033259423503325942
Arnold,1911,8,0.0029563932002956393
Chester,1911,8,0.0029563932002956393
Dominic,1911,8,0.0029563932002956393
Eugene,1911,8,0.0029563932002956393
Maurice,1911,8,0.0029563932002956393
Victor,1911,8,0.0029563932002956393
Abraham,1911,7,0.0025868440502586844
Angelo,1911,7,0.0025868440502586844
Leon,1911,7,0.0025868440502586844
Morris,1911,7,0.0025868440502586844
Sam,1911,7,0.0025868440502586844
Dominick,1911,6,0.0022172949002217295
Earl,1911,6,0.0022172949002217295
Elmer,1911,6,0.0022172949002217295
Emil,1911,6,0.0022172949002217295
Franklin,1911,6,0.0022172949002217295
Jacob,1911,6,0.0022172949002217295
Leroy,1911,6,0.0022172949002217295
Adam,1911,5,0.0018477457501847746
Alex,1911,5,0.0018477457501847746
Alphonse,1911,5,0.0018477457501847746
Antonio,1911,5,0.0018477457501847746
Douglas,1911,5,0.0018477457501847746
Felix,1911,5,0.0018477457501847746
Floyd,1911,5,0.0018477457501847746
Horace,1911,5,0.0018477457501847746
Hubert,1911,5,0.0018477457501847746
Jack,1911,5,0.0018477457501847746
Lester,1911,5,0.0018477457501847746
Lewis,1911,5,0.0018477457501847746
Marcus,1911,5,0.0018477457501847746
Mario,1911,5,0.0018477457501847746
Matthew,1911,5,0.0018477457501847746
Nathan,1911,5,0.0018477457501847746
Wesley,1911,5,0.0018477457501847746
Willard,1911,5,0.0018477457501847746
Winthrop,1911,5,0.0018477457501847746
John,1912,430,0.08552108194112967
Joseph,1912,344,0.06841686555290374
William,1912,274,0.05449482895783612
George,1912,188,0.03739061256961018
Edward,1912,173,0.034407319013524264
Frank,1912,164,0.03261734287987271
James,1912,162,0.032219570405727926
Charles,1912,129,0.0256563245823389
Robert,1912,108,0.021479713603818614
Arthur,1912,106,0.021081941129673827
Anthony,1912,105,0.020883054892601432
Walter,1912,96,0.01909307875894988
Henry,1912,87,0.017303102625298328
Louis,1912,85,0.01690533015115354
Raymond,1912,84,0.016706443914081145
Albert,1912,83,0.01650755767700875
Francis,1912,83,0.01650755767700875
Thomas,1912,83,0.01650755767700875
Stanley,1912,81,0.016109785202863963
Michael,1912,75,0.014916467780429593
Peter,1912,71,0.014120922832140016
Harry,1912,70,0.01392203659506762
Harold,1912,67,0.013325377883850438
Frederick,1912,60,0.011933174224343675
Paul,1912,60,0.011933174224343675
Andrew,1912,54,0.010739856801909307
Stephen,1912,54,0.010739856801909307
Richard,1912,53,0.010540970564836914
Samuel,1912,50,0.00994431185361973
Alfred,1912,46,0.009148766905330152
David,1912,43,0.008552108194112968
Ernest,1912,43,0.008552108194112968
Ralph,1912,41,0.008154335719968177
Vincent,1912,41,0.008154335719968177
Donald,1912,40,0.007955449482895784
Kenneth,1912,36,0.007159904534606206
Fred,1912,32,0.006364359586316627
Howard,1912,29,0.005767700875099443
Philip,1912,29,0.005767700875099443
Eugene,1912,28,0.005568814638027049
Alexander,1912,27,0.0053699284009546535
Daniel,1912,27,0.0053699284009546535
Carl,1912,26,0.005171042163882259
Herbert,1912,26,0.005171042163882259
Benjamin,1912,25,0.004972155926809865
Milton,1912,25,0.004972155926809865
Morris,1912,25,0.004972155926809865
Theodore,1912,25,0.004972155926809865
Bernard,1912,24,0.00477326968973747
Lawrence,1912,24,0.00477326968973747
Leo,1912,24,0.00477326968973747
Salvatore,1912,23,0.004574383452665076
Jack,1912,22,0.004375497215592681
Angelo,1912,21,0.004176610978520286
Everett,1912,21,0.004176610978520286
Leonard,1912,20,0.003977724741447892
Clarence,1912,19,0.003778838504375497
Russell,1912,18,0.003579952267303103
Chester,1912,17,0.003381066030230708
Leon,1912,17,0.003381066030230708
Abraham,1912,16,0.0031821797931583136
Earl,1912,16,0.0031821797931583136
Edwin,1912,16,0.0031821797931583136
Julius,1912,16,0.0031821797931583136
Lester,1912,16,0.0031821797931583136
Patrick,1912,16,0.0031821797931583136
Victor,1912,16,0.0031821797931583136
Clifford,1912,15,0.0029832935560859188
Dominic,1912,15,0.0029832935560859188
Irving,1912,15,0.0029832935560859188
Nicholas,1912,15,0.0029832935560859188
