name,year,count,proportion
Mary,1910,80,0.09153318077803203
Margaret,1910,72,0.08237986270022883
Helen,1910,52,0.059496567505720827
Dorothy,1910,50,0.057208237986270026
Elizabeth,1910,34,0.038901601830663615
Ruth,1910,29,0.03318077803203661
Catherine,1910,28,0.032036613272311214
Ethel,1910,25,0.028604118993135013
Evelyn,1910,25,0.028604118993135013
Louise,1910,24,0.02745995423340961
Frances,1910,23,0.02631578947368421
Lillian,1910,20,0.02288329519450801
Marion,1910,18,0.020594965675057208
Alice,1910,16,0.018306636155606407
Bertha,1910,16,0.018306636155606407
Marie,1910,16,0.018306636155606407
Virginia,1910,16,0.018306636155606407
Mildred,1910,15,0.017162471395881007
Thelma,1910,15,0.017162471395881007
Viola,1910,15,0.017162471395881007
Edna,1910,14,0.016018306636155607
Clara,1910,13,0.014874141876430207
Elsie,1910,13,0.014874141876430207
Beatrice,1910,12,0.013729977116704805
Edith,1910,12,0.013729977116704805
Eleanor,1910,12,0.013729977116704805
Grace,1910,12,0.013729977116704805
Gladys,1910,11,0.012585812356979404
Anna,1910,10,0.011441647597254004
Florence,1910,10,0.011441647597254004
Josephine,1910,10,0.011441647597254004
Gertrude,1910,9,0.010297482837528604
Marjorie,1910,9,0.010297482837528604
Rose,1910,8,0.009153318077803204
Anne,1910,7,0.008009153318077803
Bernice,1910,7,0.008009153318077803
Charlotte,1910,7,0.008009153318077803
Esther,1910,7,0.008009153318077803
Hazel,1910,7,0.008009153318077803
Mae,1910,7,0.008009153318077803
Nellie,1910,7,0.008009153318077803
Sarah,1910,7,0.008009153318077803
Ann,1910,6,0.006864988558352402
Betty,1910,6,0.006864988558352402
Julia,1910,6,0.006864988558352402
Myrtle,1910,6,0.006864988558352402
Agnes,1910,5,0.005720823798627002
Annie,1910,5,0.005720823798627002
Audrey,1910,5,0.005720823798627002
Christine,1910,5,0.005720823798627002
Hilda,1910,5,0.005720823798627002
Ida,1910,5,0.005720823798627002
Inez,1910,5,0.005720823798627002
Jeannette,1910,5,0.005720823798627002
Marian,1910,5,0.005720823798627002
May,1910,5,0.005720823798627002
Mary,1911,88,0.09138110072689512
Dorothy,1911,49,0.05088265835929388
Helen,1911,44,0.04569055036344756
Margaret,1911,39,0.040498442367601244
Evelyn,1911,34,0.035306334371754934
Elizabeth,1911,32,0.033229491173416406
Louise,1911,28,0.029075804776739357
Catherine,1911,27,0.028037383177570093
Ruth,1911,26,0.02699896157840083
Alice,1911,23,0.023883696780893044
Frances,1911,22,0.02284527518172378
Grace,1911,22,0.02284527518172378
Thelma,1911,21,0.021806853582554516
Gladys,1911,20,0.020768431983385256
Mildred,1911,20,0.020768431983385256
Virginia,1911,20,0.020768431983385256
Edith,1911,17,0.017653167185877467
Rose,1911,16,0.016614745586708203
Bernice,1911,15,0.01557632398753894
Josephine,1911,15,0.01557632398753894
Lillian,1911,14,0.014537902388369679
Marie,1911,13,0.013499480789200415
Beatrice,1911,12,0.012461059190031152
Elsie,1911,12,0.012461059190031152
Esther,1911,12,0.012461059190031152
Ethel,1911,12,0.012461059190031152
Edna,1911,11,0.01142263759086189
Eleanor,1911,11,0.01142263759086189
Florence,1911,11,0.01142263759086189
Katherine,1911,11,0.01142263759086189
Viola,1911,11,0.01142263759086189
Alma,1911,10,0.010384215991692628
Anna,1911,10,0.010384215991692628
Sarah,1911,10,0.010384215991692628
Agnes,1911,9,0.009345794392523364
Annie,1911,9,0.009345794392523364
Clara,1911,9,0.009345794392523364
Doris,1911,9,0.009345794392523364
Gertrude,1911,9,0.009345794392523364
Julia,1911,9,0.009345794392523364
Pearl,1911,9,0.009345794392523364
Vivian,1911,9,0.009345794392523364
Hazel,1911,8,0.008307372793354102
Ida,1911,8,0.008307372793354102
Mabel,1911,8,0.008307372793354102
Marion,1911,8,0.008307372793354102
Marjorie,1911,8,0.008307372793354102
Ann,1911,7,0.007268951194184839
Blanche,1911,7,0.007268951194184839
Ellen,1911,7,0.007268951194184839
Juanita,1911,7,0.007268951194184839
Marguerite,1911,7,0.007268951194184839
Nellie,1911,7,0.007268951194184839
Anne,1911,6,0.006230529595015576
Bertha,1911,6,0.006230529595015576
Charlotte,1911,6,0.006230529595015576
