name,year,count,proportion
James,1910,78,0.121875
John,1910,61,0.0953125
William,1910,61,0.0953125
Robert,1910,36,0.05625
Charles,1910,33,0.0515625
George,1910,31,0.0484375
Joseph,1910,31,0.0484375
Edward,1910,21,0.0328125
Thomas,1910,20,0.03125
Richard,1910,17,0.0265625
Raymond,1910,16,0.025
Paul,1910,15,0.0234375
Albert,1910,14,0.021875
Lawrence,1910,12,0.01875
Louis,1910,12,0.01875
Ernest,1910,11,0.0171875
Harry,1910,10,0.015625
Howard,1910,10,0.015625
Samuel,1910,10,0.015625
Walter,1910,10,0.015625
Arthur,1910,9,0.0140625
Francis,1910,9,0.0140625
Frank,1910,9,0.0140625
Herbert,1910,8,0.0125
Bernard,1910,7,0.0109375
Clarence,1910,7,0.0109375
Earl,1910,7,0.0109375
Frederick,1910,7,0.0109375
Henry,1910,7,0.0109375
Leonard,1910,7,0.0109375
Wilbur,1910,7,0.0109375
Alfred,1910,6,0.009375
Theodore,1910,6,0.009375
Chester,1910,5,0.0078125
David,1910,5,0.0078125
Edgar,1910,5,0.0078125
Edwin,1910,5,0.0078125
Leroy,1910,5,0.0078125
Ralph,1910,5,0.0078125
Russell,1910,5,0.0078125
William,1911,70,0.109375
John,1911,65,0.1015625
Charles,1911,49,0.0765625
James,1911,46,0.071875
George,1911,38,0.059375
Joseph,1911,28,0.04375
Robert,1911,24,0.0375
Edward,1911,23,0.0359375
Thomas,1911,19,0.0296875
Clarence,1911,16,0.025
Harry,1911,15,0.0234375
Albert,1911,14,0.021875
Bernard,1911,14,0.021875
Frank,1911,14,0.021875
Raymond,1911,13,0.0203125
Frederick,1911,12,0.01875
Louis,1911,12,0.01875
Paul,1911,12,0.01875
Walter,1911,12,0.01875
Francis,1911,11,0.0171875
Richard,1911,10,0.015625
Edwin,1911,9,0.0140625
Leonard,1911,9,0.0140625
Ralph,1911,9,0.0140625
Earl,1911,8,0.0125
Benjamin,1911,7,0.0109375
Elmer,1911,7,0.0109375
Henry,1911,7,0.0109375
Melvin,1911,7,0.0109375
Ernest,1911,6,0.009375
Lawrence,1911,6,0.009375
Leroy,1911,6,0.009375
Samuel,1911,6,0.009375
Theodore,1911,6,0.009375
Alfred,1911,5,0.0078125
Arthur,1911,5,0.0078125
Everett,1911,5,0.0078125
Herbert,1911,5,0.0078125
Howard,1911,5,0.0078125
Milton,1911,5,0.0078125
William,1912,105,0.09803921568627451
