name,year,count,proportion
Mary,1910,619,0.08375050737383304
Helen,1910,324,0.0438370991746719
Ruth,1910,238,0.03220132593695035
Dorothy,1910,215,0.029089433094303882
Mildred,1910,200,0.027059937762143146
Margaret,1910,196,0.026518739006900285
Thelma,1910,137,0.018536057367068055
Edna,1910,113,0.015288864835610878
Martha,1910,112,0.015153565146800163
Hazel,1910,108,0.014612366391557299
Alice,1910,107,0.014477066702746583
Elizabeth,1910,106,0.014341767013935868
Frances,1910,106,0.014341767013935868
Marie,1910,103,0.01393586794750372
Anna,1910,100,0.013529968881071573
Florence,1910,93,0.012582871059396563
Edith,1910,87,0.01177107292653227
Esther,1910,86,0.011635773237721553
Irene,1910,86,0.011635773237721553
Evelyn,1910,82,0.01109457448247869
Louise,1910,81,0.010959274793667975
Virginia,1910,81,0.010959274793667975
Gladys,1910,77,0.010418076038425112
Pauline,1910,77,0.010418076038425112
Lucille,1910,76,0.010282776349614395
Catherine,1910,71,0.009606277905560817
Lillian,1910,66,0.00892977946150724
Josephine,1910,65,0.008794479772696522
Clara,1910,61,0.00825328101745366
Grace,1910,60,0.008117981328642944
Mabel,1910,60,0.008117981328642944
Ruby,1910,60,0.008117981328642944
Nellie,1910,58,0.007847381951021512
Ethel,1910,57,0.007712082262210797
Gertrude,1910,53,0.007170883506967934
Bernice,1910,52,0.007035583818157218
Agnes,1910,47,0.00635908537410364
Eva,1910,43,0.005817886618860776
Rose,1910,43,0.005817886618860776
Alma,1910,42,0.005682586930050061
Opal,1910,42,0.005682586930050061
Elsie,1910,41,0.005547287241239345
Betty,1910,40,0.00541198755242863
Emma,1910,40,0.00541198755242863
Viola,1910,40,0.00541198755242863
Beulah,1910,39,0.005276687863617914
Laura,1910,39,0.005276687863617914
Bertha,1910,38,0.005141388174807198
Doris,1910,38,0.005141388174807198
Loretta,1910,38,0.005141388174807198
Blanche,1910,37,0.005006088485996482
Violet,1910,37,0.005006088485996482
Beatrice,1910,36,0.004870788797185766
Lois,1910,36,0.004870788797185766
Velma,1910,36,0.004870788797185766
Bessie,1910,35,0.004735489108375051
Genevieve,1910,35,0.004735489108375051
Goldie,1910,35,0.004735489108375051
Inez,1910,35,0.004735489108375051
Pearl,1910,35,0.004735489108375051
Sarah,1910,35,0.004735489108375051
Wilma,1910,35,0.004735489108375051
Katherine,1910,33,0.00446488973075362
Marjorie,1910,33,0.00446488973075362
Leona,1910,32,0.0043295900419429035
Marguerite,1910,32,0.0043295900419429035
Vera,1910,32,0.0043295900419429035
Kathryn,1910,31,0.004194290353132187
Ann,1910,30,0.004058990664321472
