name,year,count,proportion
James,1910,352,0.07695671184958461
William,1910,301,0.06580673371228683
John,1910,286,0.06252732837778749
Robert,1910,195,0.04263226934849147
George,1910,125,0.027328377787494536
Charles,1910,120,0.026235242675994752
Thomas,1910,95,0.020769567118495848
Henry,1910,83,0.018146042850896372
Joseph,1910,82,0.017927415828596416
Roy,1910,80,0.0174901617839965
Paul,1910,69,0.015085264538696982
Walter,1910,67,0.01464801049409707
Edward,1910,63,0.013773502404897246
Frank,1910,60,0.013117621337997376
Willie,1910,60,0.013117621337997376
Earl,1910,57,0.012461740271097508
Raymond,1910,55,0.012024486226497596
Chester,1910,49,0.010712724092697858
Albert,1910,48,0.010494097070397902
Joe,1910,47,0.010275470048097944
Arthur,1910,45,0.009838216003498032
Clarence,1910,45,0.009838216003498032
Fred,1910,45,0.009838216003498032
Ernest,1910,44,0.009619588981198076
Harry,1910,44,0.009619588981198076
Carl,1910,40,0.00874508089199825
Jack,1910,40,0.00874508089199825
Charlie,1910,39,0.008526453869698294
Herbert,1910,37,0.008089199825098382
Richard,1910,35,0.00765194578049847
Lee,1910,34,0.007433318758198513
David,1910,31,0.006777437691298645
Elmer,1910,31,0.006777437691298645
Howard,1910,31,0.006777437691298645
Everett,1910,30,0.006558810668998688
Louis,1910,30,0.006558810668998688
Clyde,1910,29,0.006340183646698732
Jesse,1910,29,0.006340183646698732
Leonard,1910,29,0.006340183646698732
Ray,1910,29,0.006340183646698732
Cecil,1910,28,0.006121556624398776
Harold,1910,28,0.006121556624398776
Luther,1910,28,0.006121556624398776
Oscar,1910,28,0.006121556624398776
Lawrence,1910,27,0.005902929602098819
Samuel,1910,27,0.005902929602098819
Homer,1910,26,0.005684302579798863
Sam,1910,23,0.005028421512898994
Edgar,1910,22,0.004809794490599038
Eugene,1910,22,0.004809794490599038
Ralph,1910,22,0.004809794490599038
Marvin,1910,21,0.004591167468299082
Ben,1910,20,0.004372540445999125
Bill,1910,20,0.004372540445999125
Hubert,1910,20,0.004372540445999125
Virgil,1910,20,0.004372540445999125
Herman,1910,19,0.004153913423699169
Russell,1910,19,0.004153913423699169
Floyd,1910,18,0.003935286401399213
Leslie,1910,18,0.003935286401399213
Guy,1910,17,0.0037166593790992565
Vernon,1910,17,0.0037166593790992565
Alfred,1910,16,0.0034980323567993005
