name,year,count,proportion
Mary,1910,586,0.06036258755665431
Annie,1910,169,0.017408323032550473
Louise,1910,157,0.016172229089410795
Marie,1910,152,0.015657189946435928
Ethel,1910,140,0.01442109600329625
Lucille,1910,135,0.013906056860321385
Beatrice,1910,132,0.013597033374536464
Edna,1910,132,0.013597033374536464
Alice,1910,128,0.013185002060156572
Lillian,1910,116,0.011948908117016894
Helen,1910,113,0.011639884631231974
Hazel,1910,101,0.010403790688092295
Elizabeth,1910,100,0.010300782859497322
Thelma,1910,98,0.010094767202307375
Ruth,1910,97,0.009991759373712402
Anna,1910,96,0.009888751545117428
Josephine,1910,96,0.009888751545117428
Emma,1910,92,0.009476720230737536
Gladys,1910,91,0.009373712402142563
Florence,1910,90,0.009270704573547589
Rose,1910,90,0.009270704573547589
Viola,1910,88,0.009064688916357644
Lillie,1910,87,0.00896168108776267
Gertrude,1910,86,0.008858673259167697
Bessie,1910,85,0.008755665430572724
Pearl,1910,85,0.008755665430572724
Bertha,1910,84,0.00865265760197775
Lena,1910,82,0.008446641944787803
Myrtle,1910,82,0.008446641944787803
Alma,1910,81,0.00834363411619283
Mildred,1910,81,0.00834363411619283
Mattie,1910,78,0.008034610630407911
Eva,1910,73,0.0075195714874330445
Irene,1910,73,0.0075195714874330445
Margaret,1910,73,0.0075195714874330445
Willie,1910,73,0.0075195714874330445
Ruby,1910,70,0.007210548001648125
Laura,1910,69,0.007107540173053152
Evelyn,1910,68,0.007004532344458179
Dorothy,1910,67,0.0069015245158632055
Clara,1910,66,0.006798516687268232
Ida,1910,66,0.006798516687268232
Agnes,1910,65,0.006695508858673259
Sarah,1910,64,0.006592501030078286
Carrie,1910,63,0.0064894932014833125
Frances,1910,63,0.0064894932014833125
Rosie,1910,63,0.0064894932014833125
Julia,1910,59,0.0060774618871034195
Martha,1910,59,0.0060774618871034195
Ella,1910,58,0.005974454058508447
Rosa,1910,58,0.005974454058508447
Bernice,1910,57,0.0058714462299134735
Jessie,1910,56,0.0057684384013185
Fannie,1910,55,0.005665430572723527
Eunice,1910,53,0.0054594149155335805
Mabel,1910,52,0.005356407086938607
Mae,1910,52,0.005356407086938607
Virginia,1910,52,0.005356407086938607
Lula,1910,49,0.0050473836011536875
Beulah,1910,48,0.004944375772558714
Mamie,1910,47,0.0048413679439637414
Cora,1910,45,0.0046353522867737945
Edith,1910,45,0.0046353522867737945
Irma,1910,45,0.0046353522867737945
Leola,1910,44,0.004532344458178822
Hattie,1910,43,0.0044293366295838485
Inez,1910,43,0.0044293366295838485
Minnie,1910,43,0.0044293366295838485
Effie,1910,42,0.004326328800988875
Hilda,1910,41,0.0042233209723939015
Leona,1910,41,0.0042233209723939015
Alberta,1910,40,0.004120313143798929
Mable,1910,40,0.004120313143798929
Nellie,1910,39,0.0040173053152039555
Katie,1910,38,0.003914297486608982
Velma,1910,38,0.003914297486608982
Maggie,1910,37,0.003811289658014009
Esther,1910,35,0.0036052740008240625
Ollie,1910,34,0.0035022661722290895
Aline,1910,33,0.003399258343634116
Grace,1910,33,0.003399258343634116
Lizzie,1910,33,0.003399258343634116
Pauline,1910,33,0.003399258343634116
Daisy,1910,32,0.003296250515039143
Dora,1910,32,0.003296250515039143
Elsie,1910,32,0.003296250515039143
Eula,1910,31,0.00319324268644417
Georgia,1910,31,0.00319324268644417
Nora,1910,31,0.00319324268644417
Olivia,1910,31,0.00319324268644417
Sadie,1910,31,0.00319324268644417
Stella,1910,31,0.00319324268644417
Victoria,1910,31,0.00319324268644417
Susie,1910,30,0.0030902348578491965
Ellen,1910,29,0.0029872270292542235
Vera,1910,29,0.0029872270292542235
Blanche,1910,28,0.00288421920065925
Elnora,1910,28,0.00288421920065925
Emily,1910,28,0.00288421920065925
Addie,1910,27,0.002781211372064277
Catherine,1910,27,0.002781211372064277
Marguerite,1910,27,0.002781211372064277
Rebecca,1910,26,0.0026782035434693035
Vivian,1910,26,0.0026782035434693035
Della,1910,25,0.0025751957148743305
Jeanne,1910,25,0.0025751957148743305
Maude,1910,25,0.0025751957148743305
Essie,1910,24,0.002472187886279357
Lucy,1910,24,0.002472187886279357
Cecile,1910,23,0.002369180057684384
Henrietta,1910,23,0.002369180057684384
Juanita,1910,23,0.002369180057684384
Ora,1910,23,0.002369180057684384
Amelia,1910,22,0.002266172229089411
Ernestine,1910,22,0.002266172229089411
Katherine,1910,22,0.002266172229089411
Rachel,1910,22,0.002266172229089411
Sallie,1910,22,0.002266172229089411
Ada,1910,21,0.0021631644004944375
Doris,1910,21,0.0021631644004944375
Jennie,1910,21,0.0021631644004944375
Lottie,1910,21,0.0021631644004944375
May,1910,21,0.0021631644004944375
Nancy,1910,21,0.0021631644004944375
Geneva,1910,20,0.0020601565718994645
Lorena,1910,20,0.0020601565718994645
Lydia,1910,20,0.0020601565718994645
Nettie,1910,20,0.0020601565718994645
Estelle,1910,19,0.001957148743304491
Johnnie,1910,19,0.001957148743304491
Marjorie,1910,19,0.001957148743304491
Rita,1910,19,0.001957148743304491
Roberta,1910,19,0.001957148743304491
Amy,1910,18,0.001854140914709518
Ann,1910,18,0.001854140914709518
Christine,1910,18,0.001854140914709518
Lois,1910,18,0.001854140914709518
Octavia,1910,18,0.001854140914709518
Anita,1910,17,0.0017511330861145447
Eloise,1910,17,0.0017511330861145447
Norma,1910,17,0.0017511330861145447
Ophelia,1910,17,0.0017511330861145447
Rosalie,1910,17,0.0017511330861145447
Theresa,1910,17,0.0017511330861145447
Audrey,1910,16,0.0016481252575195715
Corinne,1910,16,0.0016481252575195715
Francis,1910,15,0.0015451174289245982
Josie,1910,15,0.0015451174289245982
Luella,1910,15,0.0015451174289245982
Olga,1910,15,0.0015451174289245982
Rena,1910,15,0.0015451174289245982
Albertha,1910,14,0.001442109600329625
Camille,1910,14,0.001442109600329625
Charlotte,1910,14,0.001442109600329625
Eleanor,1910,14,0.001442109600329625
Eliza,1910,14,0.001442109600329625
Lelia,1910,14,0.001442109600329625
Maria,1910,14,0.001442109600329625
Ola,1910,14,0.001442109600329625
Rosetta,1910,14,0.001442109600329625
Adele,1910,13,0.0013391017717346518
Annette,1910,13,0.0013391017717346518
Betty,1910,13,0.0013391017717346518
Callie,1910,13,0.0013391017717346518
Caroline,1910,13,0.0013391017717346518
Celestine,1910,13,0.0013391017717346518
Corine,1910,13,0.0013391017717346518
Gracie,1910,13,0.0013391017717346518
Gussie,1910,13,0.0013391017717346518
Harriet,1910,13,0.0013391017717346518
Lessie,1910,13,0.0013391017717346518
Margie,1910,13,0.0013391017717346518
Allie,1910,12,0.0012360939431396785
Anne,1910,12,0.0012360939431396785
Bertie,1910,12,0.0012360939431396785
Elva,1910,12,0.0012360939431396785
Flora,1910,12,0.0012360939431396785
Isabelle,1910,12,0.0012360939431396785
Jewell,1910,12,0.0012360939431396785
Lela,1910,12,0.0012360939431396785
Lucinda,1910,12,0.0012360939431396785
Madeline,1910,12,0.0012360939431396785
Pinkie,1910,12,0.0012360939431396785
Yvonne,1910,12,0.0012360939431396785
Adeline,1910,11,0.0011330861145447055
Antoinette,1910,11,0.0011330861145447055
Augustine,1910,11,0.0011330861145447055
Barbara,1910,11,0.0011330861145447055
Eve,1910,11,0.0011330861145447055
Frankie,1910,11,0.0011330861145447055
Isabella,1910,11,0.0011330861145447055
Lola,1910,11,0.0011330861145447055
Lorraine,1910,11,0.0011330861145447055
Lucile,1910,11,0.0011330861145447055
Una,1910,11,0.0011330861145447055
Virgie,1910,11,0.0011330861145447055
Claire,1910,10,0.0010300782859497322
Elma,1910,10,0.0010300782859497322
Estella,1910,10,0.0010300782859497322
Etta,1910,10,0.0010300782859497322
Janie,1910,10,0.0010300782859497322
Letha,1910,10,0.0010300782859497322
Lilly,1910,10,0.0010300782859497322
Mathilda,1910,10,0.0010300782859497322
Olive,1910,10,0.0010300782859497322
Orelia,1910,10,0.0010300782859497322
Wilma,1910,10,0.0010300782859497322
Winnie,1910,10,0.0010300782859497322
Angeline,1910,9,9.27070457354759e-4
Celeste,1910,9,9.27070457354759e-4
Estell,1910,9,9.27070457354759e-4
Gertie,1910,9,9.27070457354759e-4
Iona,1910,9,9.27070457354759e-4
Iris,1910,9,9.27070457354759e-4
Jeanette,1910,9,9.27070457354759e-4
Jewel,1910,9,9.27070457354759e-4
Julie,1910,9,9.27070457354759e-4
Leah,1910,9,9.27070457354759e-4
Louella,1910,9,9.27070457354759e-4
Minerva,1910,9,9.27070457354759e-4
Naomi,1910,9,9.27070457354759e-4
Nita,1910,9,9.27070457354759e-4
Nola,1910,9,9.27070457354759e-4
Odelia,1910,9,9.27070457354759e-4
Odile,1910,9,9.27070457354759e-4
Versie,1910,9,9.27070457354759e-4
Violet,1910,9,9.27070457354759e-4
Augusta,1910,8,8.240626287597857e-4
Carmen,1910,8,8.240626287597857e-4
Cecelia,1910,8,8.240626287597857e-4
Elaine,1910,8,8.240626287597857e-4
Elvina,1910,8,8.240626287597857e-4
Enola,1910,8,8.240626287597857e-4
Eugenia,1910,8,8.240626287597857e-4
Genevieve,1910,8,8.240626287597857e-4
Geraldine,1910,8,8.240626287597857e-4
Ivy,1910,8,8.240626287597857e-4
Jannie,1910,8,8.240626287597857e-4
Laurence,1910,8,8.240626287597857e-4
Lee,1910,8,8.240626287597857e-4
Lenora,1910,8,8.240626287597857e-4
Lettie,1910,8,8.240626287597857e-4
Liza,1910,8,8.240626287597857e-4
Nina,1910,8,8.240626287597857e-4
Odessa,1910,8,8.240626287597857e-4
Olevia,1910,8,8.240626287597857e-4
Opal,1910,8,8.240626287597857e-4
Verna,1910,8,8.240626287597857e-4
Alida,1910,7,7.210548001648125e-4
Bettie,1910,7,7.210548001648125e-4
Billie,1910,7,7.210548001648125e-4
Clementine,1910,7,7.210548001648125e-4
Corrine,1910,7,7.210548001648125e-4
Delphine,1910,7,7.210548001648125e-4
Earline,1910,7,7.210548001648125e-4
Elia,1910,7,7.210548001648125e-4
Elvira,1910,7,7.210548001648125e-4
Erma,1910,7,7.210548001648125e-4
Ester,1910,7,7.210548001648125e-4
Goldie,1910,7,7.210548001648125e-4
Idell,1910,7,7.210548001648125e-4
Jane,1910,7,7.210548001648125e-4
Lorenza,1910,7,7.210548001648125e-4
Lou,1910,7,7.210548001648125e-4
Lovenia,1910,7,7.210548001648125e-4
Maudie,1910,7,7.210548001648125e-4
Melba,1910,7,7.210548001648125e-4
Mercedes,1910,7,7.210548001648125e-4
Mollie,1910,7,7.210548001648125e-4
Myrtis,1910,7,7.210548001648125e-4
Nannie,1910,7,7.210548001648125e-4
Odette,1910,7,7.210548001648125e-4
Pearlie,1910,7,7.210548001648125e-4
Priscilla,1910,7,7.210548001648125e-4
Sally,1910,7,7.210548001648125e-4
Selena,1910,7,7.210548001648125e-4
Sophie,1910,7,7.210548001648125e-4
Vergie,1910,7,7.210548001648125e-4
Zelma,1910,7,7.210548001648125e-4
Amanda,1910,6,6.180469715698393e-4
Audie,1910,6,6.180469715698393e-4
Aurelia,1910,6,6.180469715698393e-4
Birdie,1910,6,6.180469715698393e-4
Cammie,1910,6,6.180469715698393e-4
Cecil,1910,6,6.180469715698393e-4
Cecilia,1910,6,6.180469715698393e-4
Clarice,1910,6,6.180469715698393e-4
Dolly,1910,6,6.180469715698393e-4
Earnestine,1910,6,6.180469715698393e-4
Edwina,1910,6,6.180469715698393e-4
Elda,1910,6,6.180469715698393e-4
Elenora,1910,6,6.180469715698393e-4
Elmira,1910,6,6.180469715698393e-4
Evie,1910,6,6.180469715698393e-4
Florida,1910,6,6.180469715698393e-4
Hannah,1910,6,6.180469715698393e-4
Hester,1910,6,6.180469715698393e-4
Ila,1910,6,6.180469715698393e-4
Ina,1910,6,6.180469715698393e-4
Iola,1910,6,6.180469715698393e-4
Isabel,1910,6,6.180469715698393e-4
Joyce,1910,6,6.180469715698393e-4
Loretta,1910,6,6.180469715698393e-4
Marceline,1910,6,6.180469715698393e-4
Maud,1910,6,6.180469715698393e-4
Muriel,1910,6,6.180469715698393e-4
Myrtie,1910,6,6.180469715698393e-4
Odeal,1910,6,6.180469715698393e-4
Pearline,1910,6,6.180469715698393e-4
Queen,1910,6,6.180469715698393e-4
Rosia,1910,6,6.180469715698393e-4
Sue,1910,6,6.180469715698393e-4
Sylvia,1910,6,6.180469715698393e-4
Wilhelmina,1910,6,6.180469715698393e-4
Adell,1910,5,5.150391429748661e-4
Althea,1910,5,5.150391429748661e-4
Alzina,1910,5,5.150391429748661e-4
Amelie,1910,5,5.150391429748661e-4
Artie,1910,5,5.150391429748661e-4
Beaulah,1910,5,5.150391429748661e-4
Bell,1910,5,5.150391429748661e-4
Blanch,1910,5,5.150391429748661e-4
Bonnie,1910,5,5.150391429748661e-4
Bulah,1910,5,5.150391429748661e-4
Carolyn,1910,5,5.150391429748661e-4
Celina,1910,5,5.150391429748661e-4
Charity,1910,5,5.150391429748661e-4
Cleo,1910,5,5.150391429748661e-4
Clothilde,1910,5,5.150391429748661e-4
Clotile,1910,5,5.150391429748661e-4
Delia,1910,5,5.150391429748661e-4
Dolores,1910,5,5.150391429748661e-4
Doretha,1910,5,5.150391429748661e-4
Easter,1910,5,5.150391429748661e-4
Edmonia,1910,5,5.150391429748661e-4
Evangeline,1910,5,5.150391429748661e-4
Evelena,1910,5,5.150391429748661e-4
Georgie,1910,5,5.150391429748661e-4
Gustavia,1910,5,5.150391429748661e-4
Idella,1910,5,5.150391429748661e-4
Iva,1910,5,5.150391429748661e-4
Jean,1910,5,5.150391429748661e-4
Jeannette,1910,5,5.150391429748661e-4
Jimmie,1910,5,5.150391429748661e-4
Joanna,1910,5,5.150391429748661e-4
Kathleen,1910,5,5.150391429748661e-4
Kathryn,1910,5,5.150391429748661e-4
Leaner,1910,5,5.150391429748661e-4
Leonie,1910,5,5.150391429748661e-4
Lila,1910,5,5.150391429748661e-4
Lora,1910,5,5.150391429748661e-4
Lue,1910,5,5.150391429748661e-4
Madge,1910,5,5.150391429748661e-4
Mandy,1910,5,5.150391429748661e-4
Marian,1910,5,5.150391429748661e-4
Marion,1910,5,5.150391429748661e-4
Matilda,1910,5,5.150391429748661e-4
Melissa,1910,5,5.150391429748661e-4
Melvina,1910,5,5.150391429748661e-4
Miriam,1910,5,5.150391429748661e-4
Nell,1910,5,5.150391429748661e-4
Nolia,1910,5,5.150391429748661e-4
Ouida,1910,5,5.150391429748661e-4
Theo,1910,5,5.150391429748661e-4
Tressie,1910,5,5.150391429748661e-4
Mary,1911,502,0.05574061736620031
Marie,1911,180,0.019986675549633577
Annie,1911,154,0.017099711303575394
Ethel,1911,151,0.016766600044414836
Louise,1911,126,0.013990672884743505
Helen,1911,115,0.01276926493448812
Lucille,1911,115,0.01276926493448812
Anna,1911,112,0.01243615367532756
Lillian,1911,111,0.012325116588940706
Thelma,1911,109,0.012103042416167
Alice,1911,105,0.011658894070619586
Beatrice,1911,103,0.01143681989784588
Gladys,1911,103,0.01143681989784588
Hazel,1911,102,0.011325782811459028
Josephine,1911,96,0.010659560293137908
Ruth,1911,94,0.010437486120364202
Lillie,1911,93,0.010326449033977348
Mildred,1911,93,0.010326449033977348
Edna,1911,90,0.009993337774816789
Ruby,1911,90,0.009993337774816789
Elizabeth,1911,84,0.009327115256495669
Alma,1911,78,0.008660892738174551
Bertha,1911,78,0.008660892738174551
Rose,1911,76,0.008438818565400843
Dorothy,1911,75,0.008327781479013991
