name,year,count,proportion
John,1910,243,0.050175511046871776
James,1910,225,0.04645880652488127
Joseph,1910,196,0.04047078257278546
Willie,1910,189,0.03902539748090027
Henry,1910,143,0.029527152591368986
William,1910,142,0.02932066900681396
Robert,1910,132,0.02725583316126368
George,1910,107,0.02209374354738798
Albert,1910,92,0.018996489779062563
Joe,1910,86,0.017757588271732398
Louis,1910,81,0.016725170348957256
Charles,1910,77,0.015899236010737148
Walter,1910,75,0.01548626884162709
Frank,1910,72,0.014866818087962008
Edward,1910,71,0.01466033450340698
Thomas,1910,70,0.014453850918851952
Sam,1910,63,0.013008465826966756
Clarence,1910,57,0.01176956431963659
Arthur,1910,49,0.010117695643196365
Ernest,1910,49,0.010117695643196365
Earl,1910,46,0.009498244889531281
Paul,1910,45,0.009291761304976255
Eddie,1910,44,0.009085277720421227
Andrew,1910,43,0.008878794135866199
Alfred,1910,42,0.008672310551311171
Jack,1910,41,0.008465826966756143
Lawrence,1910,41,0.008465826966756143
David,1910,39,0.008052859797646087
Jessie,1910,39,0.008052859797646087
Charlie,1910,36,0.007433409043981004
Sidney,1910,36,0.007433409043981004
Fred,1910,34,0.007020441874870948
Alvin,1910,32,0.006607474705760892
Herbert,1910,32,0.006607474705760892
Samuel,1910,32,0.006607474705760892
Johnnie,1910,30,0.006194507536650836
Richard,1910,30,0.006194507536650836
Harry,1910,29,0.005988023952095809
Tom,1910,29,0.005988023952095809
Lee,1910,28,0.005781540367540781
Lester,1910,28,0.005781540367540781
Harold,1910,27,0.005575056782985753
Jesse,1910,26,0.005368573198430725
Isaac,1910,25,0.005162089613875697
Leon,1910,25,0.005162089613875697
Anthony,1910,24,0.004955606029320669
Leo,1910,23,0.004749122444765641
Raymond,1910,23,0.004749122444765641
Roy,1910,23,0.004749122444765641
Claude,1910,22,0.0045426388602106136
Clyde,1910,22,0.0045426388602106136
Herman,1910,22,0.0045426388602106136
Leroy,1910,22,0.0045426388602106136
Peter,1910,22,0.0045426388602106136
Eugene,1910,21,0.0043361552756555856
Milton,1910,21,0.0043361552756555856
Ed,1910,20,0.0041296716911005575
Percy,1910,20,0.0041296716911005575
Alex,1910,19,0.0039231881065455295
Roosevelt,1910,19,0.0039231881065455295
Carl,1910,18,0.003716704521990502
Curtis,1910,18,0.003716704521990502
Daniel,1910,18,0.003716704521990502
Earnest,1910,18,0.003716704521990502
Ben,1910,17,0.003510220937435474
Clifton,1910,17,0.003510220937435474
Morris,1910,17,0.003510220937435474
Adam,1910,16,0.003303737352880446
Allen,1910,16,0.003303737352880446
Leonard,1910,16,0.003303737352880446
Oscar,1910,16,0.003303737352880446
Charley,1910,15,0.003097253768325418
Horace,1910,15,0.003097253768325418
Luther,1910,15,0.003097253768325418
Wallace,1910,15,0.003097253768325418
Will,1910,15,0.003097253768325418
Dave,1910,14,0.0028907701837703904
Melvin,1910,14,0.0028907701837703904
Otis,1910,14,0.0028907701837703904
Edgar,1910,13,0.0026842865992153624
