name,year,count,proportion
Mary,1910,989,0.09392212725546059
Helen,1910,473,0.044919278252611584
Margaret,1910,374,0.03551756885090218
Dorothy,1910,331,0.031433998100664766
Alice,1910,313,0.02972459639126306
Anna,1910,252,0.023931623931623933
Ruth,1910,247,0.02345679012345679
Elizabeth,1910,224,0.02127255460588794
Mildred,1910,198,0.018803418803418803
Lillian,1910,196,0.018613485280151946
Rose,1910,187,0.01775878442545109
Catherine,1910,184,0.017473884140550806
Evelyn,1910,175,0.016619183285849954
Florence,1910,168,0.015954415954415956
Marion,1910,162,0.015384615384615385
Frances,1910,146,0.013865147198480532
Gertrude,1910,138,0.013105413105413105
Eleanor,1910,137,0.013010446343779677
Grace,1910,135,0.01282051282051282
Doris,1910,132,0.012535612535612535
Marie,1910,130,0.012345679012345678
Irene,1910,121,0.011490978157644825
Beatrice,1910,114,0.010826210826210826
Josephine,1910,110,0.010446343779677113
Ethel,1910,105,0.009971509971509971
Louise,1910,98,0.009306742640075973
Katherine,1910,97,0.009211775878442545
Agnes,1910,96,0.009116809116809116
Gladys,1910,94,0.00892687559354226
Edna,1910,92,0.008736942070275403
Edith,1910,91,0.008641975308641974
Esther,1910,86,0.008167141500474834
Marjorie,1910,86,0.008167141500474834
Anne,1910,81,0.007692307692307693
Eva,1910,80,0.007597340930674264
Bertha,1910,78,0.007407407407407408
Ann,1910,75,0.007122507122507123
Hazel,1910,67,0.006362773029439696
Julia,1910,59,0.00560303893637227
Ida,1910,58,0.005508072174738842
Marguerite,1910,58,0.005508072174738842
Viola,1910,58,0.005508072174738842
Barbara,1910,56,0.005318138651471985
Virginia,1910,56,0.005318138651471985
Blanche,1910,55,0.0052231718898385565
Theresa,1910,55,0.0052231718898385565
Sarah,1910,53,0.0050332383665717
Elsie,1910,51,0.004843304843304843
Jennie,1910,51,0.004843304843304843
Laura,1910,49,0.0046533713200379865
Lena,1910,49,0.0046533713200379865
Stella,1910,49,0.0046533713200379865
Charlotte,1910,47,0.00446343779677113
Jeannette,1910,44,0.004178537511870846
Pauline,1910,43,0.004083570750237417
Sophie,1910,43,0.004083570750237417
Ellen,1910,41,0.00389363722697056
Mabel,1910,41,0.00389363722697056
Emma,1910,40,0.003798670465337132
Jean,1910,40,0.003798670465337132
Madeline,1910,39,0.003703703703703704
Thelma,1910,37,0.003513770180436847
Emily,1910,36,0.003418803418803419
Martha,1910,36,0.003418803418803419
Phyllis,1910,36,0.003418803418803419
Lucy,1910,35,0.0033238366571699905
Yvonne,1910,34,0.003228869895536562
Bernice,1910,33,0.0031339031339031338
Clara,1910,33,0.0031339031339031338
Bessie,1910,30,0.002849002849002849
Constance,1910,29,0.002754036087369421
Dorothea,1910,29,0.002754036087369421
Harriet,1910,29,0.002754036087369421
Kathryn,1910,29,0.002754036087369421
Sylvia,1910,29,0.002754036087369421
Genevieve,1910,28,0.0026590693257359924
Loretta,1910,28,0.0026590693257359924
Annie,1910,27,0.002564102564102564
Eileen,1910,27,0.002564102564102564
Geraldine,1910,27,0.002564102564102564
Hilda,1910,27,0.002564102564102564
Kathleen,1910,27,0.002564102564102564
Caroline,1910,26,0.0024691358024691358
Maria,1910,26,0.0024691358024691358
Pearl,1910,26,0.0024691358024691358
Betty,1910,25,0.0023741690408357074
Marian,1910,25,0.0023741690408357074
Olive,1910,25,0.0023741690408357074
Priscilla,1910,25,0.0023741690408357074
Vera,1910,25,0.0023741690408357074
Victoria,1910,25,0.0023741690408357074
Celia,1910,24,0.002279202279202279
Myrtle,1910,24,0.002279202279202279
Rita,1910,24,0.002279202279202279
Adeline,1910,23,0.0021842355175688507
Cecile,1910,23,0.0021842355175688507
Eunice,1910,23,0.0021842355175688507
Minnie,1910,23,0.0021842355175688507
Muriel,1910,23,0.0021842355175688507
Nellie,1910,23,0.0021842355175688507
Alma,1910,22,0.002089268755935423
Dora,1910,22,0.002089268755935423
Isabel,1910,22,0.002089268755935423
Sally,1910,22,0.002089268755935423
Winifred,1910,22,0.002089268755935423
Amelia,1910,21,0.0019943019943019944
Jeanette,1910,21,0.0019943019943019944
Sadie,1910,21,0.0019943019943019944
Veronica,1910,21,0.0019943019943019944
Antoinette,1910,20,0.001899335232668566
Flora,1910,20,0.001899335232668566
Mae,1910,20,0.001899335232668566
Miriam,1910,20,0.001899335232668566
Anita,1910,19,0.0018043684710351377
Ella,1910,19,0.0018043684710351377
Janet,1910,19,0.0018043684710351377
Leona,1910,19,0.0018043684710351377
Claire,1910,18,0.0017094017094017094
Isabelle,1910,18,0.0017094017094017094
Jane,1910,18,0.0017094017094017094
Annette,1910,17,0.001614434947768281
Estelle,1910,17,0.001614434947768281
Vivian,1910,17,0.001614434947768281
Angelina,1910,16,0.0015194681861348527
Elinor,1910,16,0.0015194681861348527
Lois,1910,16,0.0015194681861348527
