name,year,count,proportion
John,1910,513,0.10843373493975904
Joseph,1910,299,0.0632001690974424
William,1910,259,0.054745296977383215
James,1910,212,0.04481082223631368
Edward,1910,177,0.03741280913126189
George,1910,177,0.03741280913126189
Charles,1910,163,0.03445360388924117
Francis,1910,127,0.026844218981187908
Frank,1910,125,0.02642147537518495
Thomas,1910,119,0.025153244557176074
Robert,1910,108,0.022828154724159798
Walter,1910,103,0.0217712957091524
Albert,1910,97,0.02050306489114352
Arthur,1910,95,0.020080321285140562
Henry,1910,94,0.019868949482139082
Harold,1910,76,0.01606425702811245
Richard,1910,74,0.01564151342210949
Paul,1910,58,0.012259564574085818
Anthony,1910,53,0.01120270555907842
Alfred,1910,52,0.01099133375607694
Frederick,1910,52,0.01099133375607694
Louis,1910,50,0.01056859015007398
Leo,1910,48,0.010145846544071021
Stanley,1910,46,0.009723102938068062
Harry,1910,44,0.009300359332065102
Ralph,1910,42,0.008877615726062143
Raymond,1910,42,0.008877615726062143
Samuel,1910,41,0.008666243923060663
Daniel,1910,40,0.008454872120059184
Michael,1910,39,0.008243500317057704
Carl,1910,37,0.007820756711054744
Kenneth,1910,36,0.007609384908053266
Ernest,1910,35,0.007398013105051786
David,1910,34,0.007186641302050306
Philip,1910,34,0.007186641302050306
Fred,1910,33,0.006975269499048827
Lawrence,1910,33,0.006975269499048827
Peter,1910,33,0.006975269499048827
Herbert,1910,26,0.00549566687803847
Donald,1910,24,0.0050729232720355105
Theodore,1910,24,0.0050729232720355105
Patrick,1910,23,0.004861551469034031
Warren,1910,22,0.004650179666032551
Alexander,1910,20,0.004227436060029592
Benjamin,1910,20,0.004227436060029592
Manuel,1910,20,0.004227436060029592
Norman,1910,20,0.004227436060029592
Andrew,1910,19,0.004016064257028112
Chester,1910,19,0.004016064257028112
Howard,1910,18,0.003804692454026633
Stephen,1910,18,0.003804692454026633
Victor,1910,18,0.003804692454026633
Maurice,1910,17,0.003593320651025153
Bernard,1910,16,0.0033819488480236735
Edwin,1910,16,0.0033819488480236735
Roland,1910,16,0.0033819488480236735
Edmund,1910,15,0.0031705770450221942
Lester,1910,15,0.0031705770450221942
Martin,1910,15,0.0031705770450221942
Nathan,1910,15,0.0031705770450221942
Russell,1910,15,0.0031705770450221942
Vincent,1910,15,0.0031705770450221942
Armand,1910,14,0.0029592052420207146
Earl,1910,14,0.0029592052420207146
Eugene,1910,14,0.0029592052420207146
Sidney,1910,14,0.0029592052420207146
Wilfred,1910,14,0.0029592052420207146
Clarence,1910,13,0.002747833439019235
Gerald,1910,13,0.002747833439019235
Leon,1910,13,0.002747833439019235
Nicholas,1910,12,0.0025364616360177552
Salvatore,1910,12,0.0025364616360177552
Timothy,1910,12,0.0025364616360177552
Everett,1910,11,0.0023250898330162756
Irving,1910,11,0.0023250898330162756
Melvin,1910,11,0.0023250898330162756
Roger,1910,11,0.0023250898330162756
Roy,1910,11,0.0023250898330162756
Franklin,1910,10,0.002113718030014796
Milton,1910,10,0.002113718030014796
Edgar,1910,9,0.0019023462270133164
Elmer,1910,9,0.0019023462270133164
Jack,1910,9,0.0019023462270133164
Jeremiah,1910,9,0.0019023462270133164
Leslie,1910,9,0.0019023462270133164
Lewis,1910,9,0.0019023462270133164
Max,1910,9,0.0019023462270133164
Allan,1910,8,0.0016909744240118367
Antonio,1910,8,0.0016909744240118367
Gilbert,1910,8,0.0016909744240118367
Harvey,1910,8,0.0016909744240118367
Hugh,1910,8,0.0016909744240118367
Laurence,1910,8,0.0016909744240118367
Leonard,1910,8,0.0016909744240118367
Nelson,1910,8,0.0016909744240118367
Alphonse,1910,7,0.0014796026210103573
Angelo,1910,7,0.0014796026210103573
Austin,1910,7,0.0014796026210103573
Dennis,1910,7,0.0014796026210103573
Gerard,1910,7,0.0014796026210103573
Gustave,1910,7,0.0014796026210103573
Julius,1910,7,0.0014796026210103573
Morris,1910,7,0.0014796026210103573
Wallace,1910,7,0.0014796026210103573
Abraham,1910,6,0.0012682308180088776
Alvin,1910,6,0.0012682308180088776
Antone,1910,6,0.0012682308180088776
Bruno,1910,6,0.0012682308180088776
Clifford,1910,6,0.0012682308180088776
Cornelius,1910,6,0.0012682308180088776
Douglas,1910,6,0.0012682308180088776
Emil,1910,6,0.0012682308180088776
Gordon,1910,6,0.0012682308180088776
Mary,1910,6,0.0012682308180088776
Matthew,1910,6,0.0012682308180088776
