name,year,count,proportion
Mary,1910,393,0.08237266820373088
Margaret,1910,208,0.043596730245231606
Helen,1910,174,0.036470341647453365
Elizabeth,1910,150,0.03143994969608049
Anna,1910,131,0.027457556067910293
Mildred,1910,122,0.025571159086145462
Dorothy,1910,113,0.023684762104380634
Ruth,1910,107,0.022427164116537415
Catherine,1910,100,0.020959966464053657
Lillian,1910,93,0.019492768811569902
Evelyn,1910,92,0.019283169146929364
Marie,1910,89,0.018654370153007756
Alice,1910,74,0.015510375183399707
Florence,1910,72,0.015091175854118634
Ethel,1910,68,0.014252777195556487
Frances,1910,68,0.014252777195556487
Edna,1910,65,0.013623978201634877
Grace,1910,64,0.01341437853699434
Elsie,1910,60,0.012575979878432194
Virginia,1910,59,0.012366380213791658
Gladys,1910,58,0.012156780549151121
Sarah,1910,53,0.011108782225948438
Louise,1910,52,0.010899182561307902
Agnes,1910,48,0.010060783902745755
Bertha,1910,48,0.010060783902745755
Rose,1910,47,0.009851184238105219
Emma,1910,46,0.009641584573464682
Gertrude,1910,46,0.009641584573464682
Martha,1910,45,0.009431984908824145
Thelma,1910,43,0.009012785579543072
Edith,1910,42,0.008803185914902536
Hilda,1910,42,0.008803185914902536
Mabel,1910,40,0.008383986585621462
Clara,1910,39,0.008174386920980926
Hazel,1910,37,0.007755187591699853
Beatrice,1910,36,0.007545587927059317
Myrtle,1910,36,0.007545587927059317
Pearl,1910,33,0.006916788933137707
Bessie,1910,32,0.00670718926849717
Irene,1910,32,0.00670718926849717
Nellie,1910,32,0.00670718926849717
Eleanor,1910,31,0.006497589603856634
Katherine,1910,31,0.006497589603856634
Julia,1910,30,0.006287989939216097
Esther,1910,29,0.0060783902745755606
Ida,1910,29,0.0060783902745755606
Carrie,1910,28,0.005868790609935024
Ella,1910,28,0.005868790609935024
Viola,1910,26,0.005449591280653951
Annie,1910,24,0.0050303919513728776
Eva,1910,24,0.0050303919513728776
Laura,1910,23,0.004820792286732341
Minnie,1910,23,0.004820792286732341
Blanche,1910,21,0.004401592957451268
Josephine,1910,20,0.004191993292810731
Lillie,1910,20,0.004191993292810731
Charlotte,1910,19,0.0039823936281701946
Doris,1910,19,0.0039823936281701946
Ellen,1910,19,0.0039823936281701946
Beulah,1910,18,0.0037727939635296584
Daisy,1910,18,0.0037727939635296584
Henrietta,1910,18,0.0037727939635296584
Jean,1910,18,0.0037727939635296584
Ada,1910,17,0.0035631942988891218
Bernice,1910,17,0.0035631942988891218
Marion,1910,17,0.0035631942988891218
Naomi,1910,17,0.0035631942988891218
Pauline,1910,17,0.0035631942988891218
Regina,1910,17,0.0035631942988891218
Emily,1910,16,0.003353594634248585
Kathryn,1910,16,0.003353594634248585
Marguerite,1910,16,0.003353594634248585
Nettie,1910,16,0.003353594634248585
Ann,1910,15,0.0031439949696080486
Fannie,1910,15,0.0031439949696080486
Madeline,1910,15,0.0031439949696080486
Rebecca,1910,15,0.0031439949696080486
Betty,1910,14,0.002934395304967512
Loretta,1910,14,0.002934395304967512
Lucille,1910,14,0.002934395304967512
Lydia,1910,14,0.002934395304967512
Sadie,1910,14,0.002934395304967512
Sara,1910,14,0.002934395304967512
Anne,1910,13,0.0027247956403269754
Cora,1910,13,0.0027247956403269754
Hattie,1910,13,0.0027247956403269754
Lena,1910,13,0.0027247956403269754
Lucy,1910,13,0.0027247956403269754
Mamie,1910,13,0.0027247956403269754
Marian,1910,13,0.0027247956403269754
Nancy,1910,13,0.0027247956403269754
Olive,1910,13,0.0027247956403269754
Genevieve,1910,12,0.0025151959756864388
Goldie,1910,12,0.0025151959756864388
Irma,1910,12,0.0025151959756864388
Jessie,1910,12,0.0025151959756864388
Lola,1910,12,0.0025151959756864388
Marjorie,1910,12,0.0025151959756864388
Alberta,1910,11,0.002305596311045902
Alma,1910,11,0.002305596311045902
Jennie,1910,11,0.002305596311045902
Kathleen,1910,11,0.002305596311045902
Leona,1910,11,0.002305596311045902
Lula,1910,11,0.002305596311045902
May,1910,11,0.002305596311045902
Rachel,1910,11,0.002305596311045902
Amelia,1910,10,0.0020959966464053656
Dora,1910,10,0.0020959966464053656
Elva,1910,10,0.0020959966464053656
Erma,1910,10,0.0020959966464053656
Freda,1910,10,0.0020959966464053656
Geneva,1910,10,0.0020959966464053656
Harriet,1910,10,0.0020959966464053656
Isabel,1910,10,0.0020959966464053656
Jane,1910,10,0.0020959966464053656
Mae,1910,10,0.0020959966464053656
Maude,1910,10,0.0020959966464053656
Nora,1910,10,0.0020959966464053656
Flora,1910,9,0.0018863969817648292
Miriam,1910,9,0.0018863969817648292
Sylvia,1910,9,0.0018863969817648292
Amanda,1910,8,0.0016767973171242926
Barbara,1910,8,0.0016767973171242926
Estelle,1910,8,0.0016767973171242926
Hannah,1910,8,0.0016767973171242926
Lottie,1910,8,0.0016767973171242926
Nannie,1910,8,0.0016767973171242926
Rosie,1910,8,0.0016767973171242926
Stella,1910,8,0.0016767973171242926
Susie,1910,8,0.0016767973171242926
Vera,1910,8,0.0016767973171242926
Violet,1910,8,0.0016767973171242926
Anita,1910,7,0.001467197652483756
Audrey,1910,7,0.001467197652483756
Caroline,1910,7,0.001467197652483756
Geraldine,1910,7,0.001467197652483756
Mattie,1910,7,0.001467197652483756
Nina,1910,7,0.001467197652483756
Reba,1910,7,0.001467197652483756
Ruby,1910,7,0.001467197652483756
Constance,1910,6,0.0012575979878432194
Dolores,1910,6,0.0012575979878432194
Dorothea,1910,6,0.0012575979878432194
Hester,1910,6,0.0012575979878432194
Inez,1910,6,0.0012575979878432194
Isabelle,1910,6,0.0012575979878432194
Janie,1910,6,0.0012575979878432194
Maria,1910,6,0.0012575979878432194
Olivia,1910,6,0.0012575979878432194
Ollie,1910,6,0.0012575979878432194
Rhoda,1910,6,0.0012575979878432194
Shirley,1910,6,0.0012575979878432194
Theresa,1910,6,0.0012575979878432194
Adele,1910,5,0.0010479983232026828
Alverta,1910,5,0.0010479983232026828
Augusta,1910,5,0.0010479983232026828
Cecelia,1910,5,0.0010479983232026828
Cornelia,1910,5,0.0010479983232026828
Della,1910,5,0.0010479983232026828
Eleanora,1910,5,0.0010479983232026828
Etta,1910,5,0.0010479983232026828
Frieda,1910,5,0.0010479983232026828
Hallie,1910,5,0.0010479983232026828
Isabell,1910,5,0.0010479983232026828
Janet,1910,5,0.0010479983232026828
Leah,1910,5,0.0010479983232026828
Lorraine,1910,5,0.0010479983232026828
Margie,1910,5,0.0010479983232026828
Roberta,1910,5,0.0010479983232026828
Rosa,1910,5,0.0010479983232026828
Rosalie,1910,5,0.0010479983232026828
Selma,1910,5,0.0010479983232026828
Sophie,1910,5,0.0010479983232026828
Velma,1910,5,0.0010479983232026828
Victoria,1910,5,0.0010479983232026828
Mary,1911,425,0.08654041946650377
Margaret,1911,215,0.04377927102423132
Helen,1911,185,0.03767053553247811
Mildred,1911,149,0.03034005294237426
Dorothy,1911,148,0.03013642842598249
Anna,1911,145,0.029525554876807168
Elizabeth,1911,133,0.027082060680105886
Catherine,1911,110,0.022398696803095093
Ruth,1911,109,0.02219507228670332
Marie,1911,100,0.020362451639177357
Evelyn,1911,98,0.01995520260639381
Lillian,1911,85,0.017308083893300755
Alice,1911,82,0.016697210344125434
Edna,1911,72,0.014660965180207697
Thelma,1911,72,0.014660965180207697
Ethel,1911,65,0.013235593565465283
Grace,1911,59,0.01201384646711464
Frances,1911,58,0.011810221950722868
Virginia,1911,58,0.011810221950722868
Florence,1911,54,0.010995723885155772
Louise,1911,52,0.010588474852372225
Hilda,1911,51,0.010384850335980453
Agnes,1911,48,0.009773976786805132
Elsie,1911,47,0.009570352270413357
Martha,1911,47,0.009570352270413357
Edith,1911,46,0.009366727754021585
Gertrude,1911,46,0.009366727754021585
Myrtle,1911,44,0.008959478721238036
Bertha,1911,43,0.008755854204846264
Rose,1911,43,0.008755854204846264
Clara,1911,42,0.00855222968845449
Gladys,1911,42,0.00855222968845449
Hazel,1911,40,0.008144980655670942
Nellie,1911,40,0.008144980655670942
Emma,1911,39,0.00794135613927917
Sarah,1911,39,0.00794135613927917
Katherine,1911,38,0.007737731622887396
Eleanor,1911,37,0.007534107106495622
Ida,1911,35,0.007126858073712075
Mabel,1911,34,0.006923233557320301
Josephine,1911,33,0.006719609040928528
Irene,1911,32,0.006515984524536754
Eva,1911,30,0.006108735491753207
Pearl,1911,29,0.005905110975361434
Doris,1911,27,0.005497861942577886
Julia,1911,27,0.005497861942577886
Bessie,1911,26,0.005294237426186113
Ella,1911,26,0.005294237426186113
Viola,1911,26,0.005294237426186113
Kathryn,1911,25,0.005090612909794339
Naomi,1911,25,0.005090612909794339
Esther,1911,24,0.004886988393402566
Laura,1911,24,0.004886988393402566
Beatrice,1911,23,0.004683363877010792
Anne,1911,22,0.004479739360619018
Annie,1911,21,0.004276114844227245
Blanche,1911,21,0.004276114844227245
Pauline,1911,21,0.004276114844227245
Rebecca,1911,21,0.004276114844227245
Carrie,1911,20,0.004072490327835471
Alma,1911,19,0.003868865811443698
Marian,1911,19,0.003868865811443698
Charlotte,1911,17,0.0034616167786601505
Marion,1911,16,0.003257992262268377
Amelia,1911,15,0.0030543677458766036
Ann,1911,15,0.0030543677458766036
Cora,1911,15,0.0030543677458766036
Ellen,1911,15,0.0030543677458766036
Estelle,1911,15,0.0030543677458766036
Jane,1911,15,0.0030543677458766036
Jean,1911,15,0.0030543677458766036
Mae,1911,15,0.0030543677458766036
Minnie,1911,15,0.0030543677458766036
Vivian,1911,15,0.0030543677458766036
Bernice,1911,14,0.0028507432294848298
Beulah,1911,14,0.0028507432294848298
Leona,1911,14,0.0028507432294848298
Ruby,1911,14,0.0028507432294848298
Dolores,1911,13,0.0026471187130930563
Fannie,1911,13,0.0026471187130930563
Isabelle,1911,13,0.0026471187130930563
Lillie,1911,13,0.0026471187130930563
Lucille,1911,13,0.0026471187130930563
Madeline,1911,13,0.0026471187130930563
Ada,1911,12,0.002443494196701283
Betty,1911,12,0.002443494196701283
Dora,1911,12,0.002443494196701283
Elva,1911,12,0.002443494196701283
Irma,1911,12,0.002443494196701283
Lena,1911,12,0.002443494196701283
Lottie,1911,12,0.002443494196701283
Maggie,1911,12,0.002443494196701283
Sylvia,1911,12,0.002443494196701283
Violet,1911,12,0.002443494196701283
Carolyn,1911,11,0.002239869680309509
Cecelia,1911,11,0.002239869680309509
Hattie,1911,11,0.002239869680309509
Loretta,1911,11,0.002239869680309509
Lucy,1911,11,0.002239869680309509
Nettie,1911,11,0.002239869680309509
Olive,1911,11,0.002239869680309509
Theresa,1911,11,0.002239869680309509
Emily,1911,10,0.0020362451639177356
Erma,1911,10,0.0020362451639177356
Genevieve,1911,10,0.0020362451639177356
Henrietta,1911,10,0.0020362451639177356
Isabel,1911,10,0.0020362451639177356
Mamie,1911,10,0.0020362451639177356
Marguerite,1911,10,0.0020362451639177356
Marjorie,1911,10,0.0020362451639177356
Matilda,1911,10,0.0020362451639177356
Nora,1911,10,0.0020362451639177356
Rachel,1911,10,0.0020362451639177356
Sadie,1911,10,0.0020362451639177356
Sara,1911,10,0.0020362451639177356
Barbara,1911,9,0.0018326206475259622
Cornelia,1911,9,0.0018326206475259622
Geneva,1911,9,0.0018326206475259622
Goldie,1911,9,0.0018326206475259622
Jeanette,1911,9,0.0018326206475259622
Jennie,1911,9,0.0018326206475259622
Jessie,1911,9,0.0018326206475259622
Kathleen,1911,9,0.0018326206475259622
Maude,1911,9,0.0018326206475259622
Olga,1911,9,0.0018326206475259622
Rosalie,1911,9,0.0018326206475259622
Rosie,1911,9,0.0018326206475259622
Sophie,1911,9,0.0018326206475259622
Anita,1911,8,0.0016289961311341885
Della,1911,8,0.0016289961311341885
Lola,1911,8,0.0016289961311341885
Margie,1911,8,0.0016289961311341885
Nina,1911,8,0.0016289961311341885
Phyllis,1911,8,0.0016289961311341885
Roberta,1911,8,0.0016289961311341885
Sophia,1911,8,0.0016289961311341885
Stella,1911,8,0.0016289961311341885
Adelaide,1911,7,0.0014253716147424149
Alberta,1911,7,0.0014253716147424149
Audrey,1911,7,0.0014253716147424149
Daisy,1911,7,0.0014253716147424149
Eunice,1911,7,0.0014253716147424149
Flora,1911,7,0.0014253716147424149
Freda,1911,7,0.0014253716147424149
Frieda,1911,7,0.0014253716147424149
Harriet,1911,7,0.0014253716147424149
Lydia,1911,7,0.0014253716147424149
Mable,1911,7,0.0014253716147424149
