name,year,count,proportion
John,1910,193,0.08650829224562977
James,1910,186,0.08337068579112505
William,1910,174,0.07799193186911699
Charles,1910,160,0.07171671896010758
George,1910,112,0.0502017032720753
Joseph,1910,109,0.04885701479157328
Robert,1910,77,0.03451367099955177
Thomas,1910,63,0.02823845809054236
Edward,1910,59,0.026445540116539667
Harry,1910,45,0.020170327207530255
Frank,1910,41,0.018377409233527566
Walter,1910,41,0.018377409233527566
Henry,1910,35,0.015688032272523533
Howard,1910,33,0.014791573285522188
Samuel,1910,31,0.013895114298520844
Albert,1910,29,0.012998655311519497
Richard,1910,27,0.012102196324518153
Clarence,1910,26,0.01165396683101748
Arthur,1910,25,0.011205737337516808
Paul,1910,24,0.010757507844016136
Ralph,1910,20,0.008964589870013447
Harold,1910,19,0.008516360376512775
Louis,1910,19,0.008516360376512775
Raymond,1910,19,0.008516360376512775
Benjamin,1910,18,0.008068130883012102
Leroy,1910,18,0.008068130883012102
David,1910,17,0.00761990138951143
Norman,1910,17,0.00761990138951143
Earl,1910,16,0.007171671896010758
Elmer,1910,16,0.007171671896010758
Francis,1910,16,0.007171671896010758
Lawrence,1910,15,0.006723442402510085
Vernon,1910,15,0.006723442402510085
Ernest,1910,14,0.0062752129090094125
Herbert,1910,14,0.0062752129090094125
Alfred,1910,13,0.00582698341550874
Donald,1910,13,0.00582698341550874
Herman,1910,13,0.00582698341550874
Leonard,1910,13,0.00582698341550874
Melvin,1910,13,0.00582698341550874
Daniel,1910,12,0.005378753922008068
Frederick,1910,12,0.005378753922008068
Stanley,1910,12,0.005378753922008068
Carl,1910,11,0.004930524428507396
Edgar,1910,11,0.004930524428507396
Milton,1910,11,0.004930524428507396
Roy,1910,11,0.004930524428507396
Russell,1910,11,0.004930524428507396
Theodore,1910,11,0.004930524428507396
Alexander,1910,10,0.0044822949350067235
Anthony,1910,10,0.0044822949350067235
Eugene,1910,10,0.0044822949350067235
Michael,1910,10,0.0044822949350067235
Bernard,1910,9,0.004034065441506051
Jack,1910,9,0.004034065441506051
Lee,1910,9,0.004034065441506051
Andrew,1910,8,0.003585835948005379
Edwin,1910,8,0.003585835948005379
Kenneth,1910,8,0.003585835948005379
Leo,1910,8,0.003585835948005379
Lester,1910,8,0.003585835948005379
Lloyd,1910,8,0.003585835948005379
Oscar,1910,8,0.003585835948005379
Cecil,1910,7,0.0031376064545047063
Clifton,1910,7,0.0031376064545047063
Floyd,1910,7,0.0031376064545047063
Fred,1910,7,0.0031376064545047063
Jacob,1910,7,0.0031376064545047063
Jerome,1910,7,0.0031376064545047063
Wilson,1910,7,0.0031376064545047063
Emory,1910,6,0.002689376961004034
Franklin,1910,6,0.002689376961004034
Gilbert,1910,6,0.002689376961004034
Guy,1910,6,0.002689376961004034
Irving,1910,6,0.002689376961004034
Isaac,1910,6,0.002689376961004034
Jesse,1910,6,0.002689376961004034
Lewis,1910,6,0.002689376961004034
Morris,1910,6,0.002689376961004034
Roscoe,1910,6,0.002689376961004034
Sylvester,1910,6,0.002689376961004034
Vincent,1910,6,0.002689376961004034
Wesley,1910,6,0.002689376961004034
Wilbur,1910,6,0.002689376961004034
Alvin,1910,5,0.0022411474675033617
Carroll,1910,5,0.0022411474675033617
Harvey,1910,5,0.0022411474675033617
Irvin,1910,5,0.0022411474675033617
Leon,1910,5,0.0022411474675033617
Maurice,1910,5,0.0022411474675033617
Nathan,1910,5,0.0022411474675033617
Nathaniel,1910,5,0.0022411474675033617
Oliver,1910,5,0.0022411474675033617
Philip,1910,5,0.0022411474675033617
Phillip,1910,5,0.0022411474675033617
Roland,1910,5,0.0022411474675033617
Warren,1910,5,0.0022411474675033617
William,1911,228,0.08610271903323263
John,1911,200,0.0755287009063444
James,1911,193,0.07288519637462236
Charles,1911,159,0.060045317220543806
Joseph,1911,127,0.047960725075528704
George,1911,111,0.041918429003021146
Robert,1911,91,0.034365558912386705
Thomas,1911,69,0.026057401812688823
Edward,1911,66,0.024924471299093656
Harry,1911,65,0.024546827794561934
Henry,1911,46,0.017371601208459216
Albert,1911,44,0.01661631419939577
Louis,1911,43,0.01623867069486405
Frank,1911,42,0.015861027190332326
Howard,1911,37,0.013972809667673716
Paul,1911,34,0.01283987915407855
Walter,1911,33,0.012462235649546828
Arthur,1911,32,0.012084592145015106
Frederick,1911,31,0.011706948640483383
Richard,1911,31,0.011706948640483383
Earl,1911,29,0.01095166163141994
Raymond,1911,28,0.010574018126888218
David,1911,26,0.009818731117824773
Francis,1911,24,0.00906344410876133
Samuel,1911,24,0.00906344410876133
Alfred,1911,23,0.008685800604229608
Clarence,1911,23,0.008685800604229608
Daniel,1911,22,0.008308157099697885
Lawrence,1911,21,0.007930513595166163
Ernest,1911,20,0.0075528700906344415
Melvin,1911,20,0.0075528700906344415
Bernard,1911,19,0.007175226586102719
Elmer,1911,19,0.007175226586102719
Ralph,1911,19,0.007175226586102719
Norman,1911,18,0.006797583081570997
Eugene,1911,17,0.006419939577039275
Russell,1911,17,0.006419939577039275
Andrew,1911,15,0.0056646525679758305
Carl,1911,15,0.0056646525679758305
Morris,1911,15,0.0056646525679758305
Theodore,1911,15,0.0056646525679758305
Herman,1911,14,0.005287009063444109
Leonard,1911,14,0.005287009063444109
Leroy,1911,14,0.005287009063444109
Roy,1911,14,0.005287009063444109
Roland,1911,13,0.004909365558912387
Benjamin,1911,12,0.004531722054380665
Herbert,1911,12,0.004531722054380665
Lewis,1911,12,0.004531722054380665
Milton,1911,12,0.004531722054380665
Vernon,1911,12,0.004531722054380665
Wilbur,1911,12,0.004531722054380665
Carroll,1911,11,0.004154078549848943
Edgar,1911,11,0.004154078549848943
Fred,1911,11,0.004154078549848943
Leon,1911,11,0.004154078549848943
Philip,1911,11,0.004154078549848943
Jesse,1911,10,0.0037764350453172208
Lester,1911,10,0.0037764350453172208
Anthony,1911,9,0.0033987915407854984
Calvin,1911,9,0.0033987915407854984
Harold,1911,9,0.0033987915407854984
Alvin,1911,8,0.0030211480362537764
Austin,1911,8,0.0030211480362537764
Elwood,1911,8,0.0030211480362537764
Franklin,1911,8,0.0030211480362537764
Gordon,1911,8,0.0030211480362537764
Irvin,1911,8,0.0030211480362537764
Irving,1911,8,0.0030211480362537764
Jerome,1911,8,0.0030211480362537764
Michael,1911,8,0.0030211480362537764
Nathan,1911,8,0.0030211480362537764
Oliver,1911,8,0.0030211480362537764
Stanley,1911,8,0.0030211480362537764
Allen,1911,7,0.0026435045317220545
