name,year,count,proportion
John,1910,190,0.05594817432273263
William,1910,154,0.04534746760895171
George,1910,134,0.039458186101295645
James,1910,115,0.03386336866902238
Robert,1910,113,0.03327444051825677
Edward,1910,111,0.03268551236749117
Frank,1910,105,0.030918727915194347
Charles,1910,104,0.030624263839811542
Joseph,1910,98,0.028857479387514724
Harold,1910,81,0.023851590106007067
Harry,1910,64,0.01884570082449941
Raymond,1910,58,0.01707891637220259
Walter,1910,58,0.01707891637220259
Clarence,1910,51,0.015017667844522967
Kenneth,1910,49,0.014428739693757362
Donald,1910,48,0.014134275618374558
Ralph,1910,48,0.014134275618374558
Albert,1910,45,0.013250883392226149
Carl,1910,45,0.013250883392226149
Arthur,1910,44,0.012956419316843345
Henry,1910,44,0.012956419316843345
Stanley,1910,39,0.011484098939929329
Thomas,1910,39,0.011484098939929329
Earl,1910,38,0.011189634864546525
Leonard,1910,38,0.011189634864546525
Howard,1910,37,0.010895170789163721
Richard,1910,37,0.010895170789163721
Fred,1910,36,0.01060070671378092
Paul,1910,35,0.010306242638398116
Roy,1910,35,0.010306242638398116
Lawrence,1910,34,0.010011778563015312
Louis,1910,33,0.009717314487632508
Jack,1910,31,0.009128386336866903
Russell,1910,30,0.0088339222614841
Norman,1910,29,0.008539458186101296
Alfred,1910,27,0.007950530035335688
Clifford,1910,25,0.007361601884570083
Ernest,1910,25,0.007361601884570083
Floyd,1910,25,0.007361601884570083
Bernard,1910,23,0.006772673733804476
Leo,1910,23,0.006772673733804476
David,1910,21,0.006183745583038869
Edwin,1910,21,0.006183745583038869
Elmer,1910,20,0.005889281507656066
Francis,1910,20,0.005889281507656066
Gerald,1910,20,0.005889281507656066
Peter,1910,19,0.0055948174322732625
Lester,1910,18,0.00530035335689046
Anthony,1910,17,0.005005889281507656
Chester,1910,17,0.005005889281507656
Andrew,1910,16,0.004711425206124852
Frederick,1910,16,0.004711425206124852
Michael,1910,16,0.004711425206124852
Claude,1910,15,0.00441696113074205
Leslie,1910,15,0.00441696113074205
Lloyd,1910,15,0.00441696113074205
Theodore,1910,15,0.00441696113074205
Clyde,1910,14,0.004122497055359246
Glenn,1910,14,0.004122497055359246
Joe,1910,14,0.004122497055359246
Ray,1910,14,0.004122497055359246
Melvin,1910,13,0.0038280329799764428
Samuel,1910,13,0.0038280329799764428
Allen,1910,12,0.0035335689045936395
Edmund,1910,12,0.0035335689045936395
Lyle,1910,12,0.0035335689045936395
Arnold,1910,11,0.0032391048292108363
Cecil,1910,11,0.0032391048292108363
Daniel,1910,11,0.0032391048292108363
Everett,1910,11,0.0032391048292108363
Lewis,1910,11,0.0032391048292108363
Alex,1910,10,0.002944640753828033
Eugene,1910,10,0.002944640753828033
Gordon,1910,10,0.002944640753828033
Herbert,1910,10,0.002944640753828033
Herman,1910,10,0.002944640753828033
Julius,1910,10,0.002944640753828033
Gilbert,1910,9,0.00265017667844523
Harvey,1910,9,0.00265017667844523
Lee,1910,9,0.00265017667844523
Nelson,1910,9,0.00265017667844523
Orville,1910,9,0.00265017667844523
Stephen,1910,9,0.00265017667844523
Vernon,1910,9,0.00265017667844523
Alvin,1910,8,0.002355712603062426
Benjamin,1910,8,0.002355712603062426
Emil,1910,8,0.002355712603062426
Ivan,1910,8,0.002355712603062426
Karl,1910,8,0.002355712603062426
Maurice,1910,8,0.002355712603062426
Mike,1910,8,0.002355712603062426
Morris,1910,8,0.002355712603062426
Roland,1910,8,0.002355712603062426
Victor,1910,8,0.002355712603062426
Warren,1910,8,0.002355712603062426
Wilfred,1910,8,0.002355712603062426
Willis,1910,8,0.002355712603062426
Adam,1910,7,0.002061248527679623
Archie,1910,7,0.002061248527679623
Clayton,1910,7,0.002061248527679623
Don,1910,7,0.002061248527679623
Douglas,1910,7,0.002061248527679623
Eino,1910,7,0.002061248527679623
Franklin,1910,7,0.002061248527679623
Jesse,1910,7,0.002061248527679623
Leon,1910,7,0.002061248527679623
Max,1910,7,0.002061248527679623
Oliver,1910,7,0.002061248527679623
Orval,1910,7,0.002061248527679623
Oscar,1910,7,0.002061248527679623
Otto,1910,7,0.002061248527679623
Patrick,1910,7,0.002061248527679623
Steve,1910,7,0.002061248527679623
Wilbert,1910,7,0.002061248527679623
Wilbur,1910,7,0.002061248527679623
Willard,1910,7,0.002061248527679623
Charlie,1910,6,0.0017667844522968198
Delbert,1910,6,0.0017667844522968198
Edmond,1910,6,0.0017667844522968198
Glen,1910,6,0.0017667844522968198
Irving,1910,6,0.0017667844522968198
Jerome,1910,6,0.0017667844522968198
Jerry,1910,6,0.0017667844522968198
Martin,1910,6,0.0017667844522968198
Milton,1910,6,0.0017667844522968198
Nicholas,1910,6,0.0017667844522968198
Virgil,1910,6,0.0017667844522968198
Wallace,1910,6,0.0017667844522968198
Wesley,1910,6,0.0017667844522968198
Willie,1910,6,0.0017667844522968198
Alexander,1910,5,0.0014723203769140165
Anton,1910,5,0.0014723203769140165
Antonio,1910,5,0.0014723203769140165
August,1910,5,0.0014723203769140165
Ben,1910,5,0.0014723203769140165
Dennis,1910,5,0.0014723203769140165
Edgar,1910,5,0.0014723203769140165
Hubert,1910,5,0.0014723203769140165
Jacob,1910,5,0.0014723203769140165
Leroy,1910,5,0.0014723203769140165
Marion,1910,5,0.0014723203769140165
Myron,1910,5,0.0014723203769140165
Nathan,1910,5,0.0014723203769140165
Percy,1910,5,0.0014723203769140165
Philip,1910,5,0.0014723203769140165
Roger,1910,5,0.0014723203769140165
Ronald,1910,5,0.0014723203769140165
Rudolph,1910,5,0.0014723203769140165
Stuart,1910,5,0.0014723203769140165
Toivo,1910,5,0.0014723203769140165
John,1911,230,0.064661231374754
William,1911,171,0.048074219848186675
Robert,1911,136,0.03823446724768063
George,1911,122,0.03429856620747821
Charles,1911,109,0.03064380095586168
Joseph,1911,107,0.03008152937868991
Edward,1911,103,0.028956986224346358
Harold,1911,100,0.028113578858588697
Frank,1911,94,0.026426764127073378
James,1911,88,0.024739949395558056
Walter,1911,74,0.020804048355355636
Donald,1911,64,0.017992690469496767
Harry,1911,64,0.017992690469496767
Arthur,1911,61,0.017149283103739105
Raymond,1911,53,0.01490019679505201
Fred,1911,46,0.012932246274950801
Albert,1911,45,0.012651110486364914
Clarence,1911,45,0.012651110486364914
Henry,1911,45,0.012651110486364914
Kenneth,1911,44,0.012369974697779028
Carl,1911,43,0.01208883890919314
Richard,1911,40,0.011245431543435479
Howard,1911,38,0.010683159966263706
Paul,1911,38,0.010683159966263706
Lawrence,1911,37,0.010402024177677818
Leonard,1911,36,0.010120888389091932
Stanley,1911,36,0.010120888389091932
Thomas,1911,36,0.010120888389091932
Jack,1911,33,0.009277481023334271
Louis,1911,31,0.008715209446162496
Russell,1911,31,0.008715209446162496
David,1911,30,0.00843407365757661
Gerald,1911,29,0.008152937868990722
Ralph,1911,29,0.008152937868990722
Norman,1911,28,0.007871802080404836
Roy,1911,28,0.007871802080404836
Theodore,1911,28,0.007871802080404836
Ernest,1911,27,0.007590666291818949
Bernard,1911,26,0.007309530503233062
Edwin,1911,25,0.007028394714647174
Leo,1911,25,0.007028394714647174
Elmer,1911,24,0.0067472589260612875
Peter,1911,24,0.0067472589260612875
Andrew,1911,23,0.006466123137475401
Earl,1911,22,0.006184987348889514
Alfred,1911,21,0.005903851560303626
Francis,1911,21,0.005903851560303626
Eugene,1911,19,0.005341579983131853
Joe,1911,19,0.005341579983131853
Anthony,1911,18,0.005060444194545966
Floyd,1911,18,0.005060444194545966
Clifford,1911,17,0.004779308405960078
Frederick,1911,17,0.004779308405960078
Samuel,1911,17,0.004779308405960078
Herbert,1911,16,0.004498172617374192
Lloyd,1911,16,0.004498172617374192
Gordon,1911,15,0.004217036828788305
Harvey,1911,15,0.004217036828788305
Clayton,1911,14,0.003935901040202418
Michael,1911,14,0.003935901040202418
Willard,1911,14,0.003935901040202418
Alvin,1911,13,0.003654765251616531
Arnold,1911,13,0.003654765251616531
Lester,1911,13,0.003654765251616531
Oscar,1911,13,0.003654765251616531
Clyde,1911,12,0.0033736294630306437
Daniel,1911,12,0.0033736294630306437
Herman,1911,12,0.0033736294630306437
Lewis,1911,12,0.0033736294630306437
Melvin,1911,12,0.0033736294630306437
Milton,1911,12,0.0033736294630306437
Oliver,1911,12,0.0033736294630306437
Otto,1911,12,0.0033736294630306437
Phillip,1911,12,0.0033736294630306437
Leroy,1911,11,0.003092493674444757
Martin,1911,11,0.003092493674444757
Maurice,1911,11,0.003092493674444757
Stephen,1911,11,0.003092493674444757
Tom,1911,11,0.003092493674444757
Chester,1911,10,0.0028113578858588698
Jacob,1911,10,0.0028113578858588698
