name,year,count,proportion
Mary,1910,216,0.03700531094740449
Helen,1910,201,0.03443549768716807
Margaret,1910,184,0.03152304265890012
Dorothy,1910,163,0.02792530409456913
Ruth,1910,136,0.023299640226143566
Evelyn,1910,135,0.023128319342127807
Florence,1910,128,0.021929073154017476
Alice,1910,116,0.019873222545828337
Esther,1910,113,0.019359259893781053
Mildred,1910,112,0.01918793900976529
Gladys,1910,106,0.018160013705670722
Marie,1910,102,0.017474730169607676
Frances,1910,96,0.016446804865513105
Irene,1910,94,0.016104163097481583
Lillian,1910,84,0.014390954257323969
Mabel,1910,82,0.014048312489292445
Anna,1910,80,0.013705670721260922
Clara,1910,78,0.013363028953229399
Edna,1910,77,0.013191708069213636
Myrtle,1910,77,0.013191708069213636
Lucille,1910,76,0.013020387185197876
Agnes,1910,75,0.012849066301182113
Hazel,1910,74,0.012677745417166352
Bernice,1910,72,0.01233510364913483
Rose,1910,69,0.011821140997087545
Elizabeth,1910,68,0.011649820113071783
Grace,1910,66,0.01130717834504026
Gertrude,1910,61,0.010450573924961452
Ethel,1910,59,0.01010793215692993
Eleanor,1910,58,0.009936611272914168
Viola,1910,55,0.009422648620866884
Emma,1910,53,0.009080006852835361
Ann,1910,49,0.008394723316772315
Violet,1910,49,0.008394723316772315
Edith,1910,48,0.008223402432756552
Pearl,1910,48,0.008223402432756552
Catherine,1910,46,0.00788076066472503
Marion,1910,46,0.00788076066472503
Martha,1910,46,0.00788076066472503
Doris,1910,41,0.007024156244646223
Elsie,1910,41,0.007024156244646223
Marjorie,1910,41,0.007024156244646223
Ruby,1910,41,0.007024156244646223
Josephine,1910,40,0.006852835360630461
Louise,1910,39,0.0066815144766146995
Bertha,1910,38,0.006510193592598938
Verna,1910,38,0.006510193592598938
Alma,1910,35,0.005996230940551653
Ella,1910,35,0.005996230940551653
Hilda,1910,34,0.005824910056535891
Leona,1910,34,0.005824910056535891
Genevieve,1910,31,0.005310947404488607
Katherine,1910,31,0.005310947404488607
Ellen,1910,30,0.005139626520472846
Laura,1910,30,0.005139626520472846
Marian,1910,30,0.005139626520472846
Beatrice,1910,28,0.004796984752441323
Sylvia,1910,28,0.004796984752441323
Ida,1910,27,0.004625663868425561
Minnie,1910,27,0.004625663868425561
Anne,1910,26,0.004454342984409799
Julia,1910,26,0.004454342984409799
Stella,1910,26,0.004454342984409799
Thelma,1910,26,0.004454342984409799
Vera,1910,26,0.004454342984409799
Blanche,1910,24,0.004111701216378276
Charlotte,1910,24,0.004111701216378276
Mae,1910,24,0.004111701216378276
Vivian,1910,24,0.004111701216378276
Eva,1910,23,0.003940380332362515
Loretta,1910,23,0.003940380332362515
Luella,1910,23,0.003940380332362515
Olga,1910,22,0.0037690594483467533
Virginia,1910,22,0.0037690594483467533
Marguerite,1910,20,0.0034264176803152305
Cecelia,1910,19,0.003255096796299469
Harriet,1910,19,0.003255096796299469
Inez,1910,19,0.003255096796299469
Jean,1910,19,0.003255096796299469
Jennie,1910,19,0.003255096796299469
Olive,1910,19,0.003255096796299469
Kathryn,1910,18,0.0030837759122837073
Eunice,1910,17,0.0029124550282679457
Lydia,1910,17,0.0029124550282679457
Nora,1910,17,0.0029124550282679457
Betty,1910,16,0.0027411341442521845
Beulah,1910,16,0.0027411341442521845
Caroline,1910,16,0.0027411341442521845
Muriel,1910,15,0.002569813260236423
Pauline,1910,15,0.002569813260236423
Adeline,1910,14,0.0023984923762206613
Audrey,1910,14,0.0023984923762206613
Emily,1910,14,0.0023984923762206613
Fern,1910,14,0.0023984923762206613
Inga,1910,14,0.0023984923762206613
Lois,1910,14,0.0023984923762206613
Marcella,1910,14,0.0023984923762206613
Sally,1910,14,0.0023984923762206613
Selma,1910,14,0.0023984923762206613
Christine,1910,13,0.0022271714922048997
Ina,1910,13,0.0022271714922048997
Lila,1910,13,0.0022271714922048997
Nellie,1910,13,0.0022271714922048997
Phyllis,1910,13,0.0022271714922048997
Sarah,1910,13,0.0022271714922048997
Theresa,1910,13,0.0022271714922048997
Bessie,1910,12,0.002055850608189138
Freda,1910,12,0.002055850608189138
Jeanette,1910,12,0.002055850608189138
Lorraine,1910,12,0.002055850608189138
Lucile,1910,12,0.002055850608189138
Clarice,1910,11,0.0018845297241733767
Cora,1910,11,0.0018845297241733767
Ada,1910,10,0.0017132088401576153
Cecilia,1910,10,0.0017132088401576153
Dolores,1910,10,0.0017132088401576153
Dorothea,1910,10,0.0017132088401576153
Eileen,1910,10,0.0017132088401576153
Elaine,1910,10,0.0017132088401576153
Erma,1910,10,0.0017132088401576153
Hulda,1910,10,0.0017132088401576153
Johanna,1910,10,0.0017132088401576153
Kathleen,1910,10,0.0017132088401576153
Maxine,1910,10,0.0017132088401576153
Regina,1910,10,0.0017132088401576153
Shirley,1910,10,0.0017132088401576153
Annie,1910,9,0.0015418879561418537
Barbara,1910,9,0.0015418879561418537
Effie,1910,9,0.0015418879561418537
Erna,1910,9,0.0015418879561418537
Hattie,1910,9,0.0015418879561418537
Jessie,1910,9,0.0015418879561418537
Lillie,1910,9,0.0015418879561418537
Lucy,1910,9,0.0015418879561418537
Nina,1910,9,0.0015418879561418537
Norma,1910,9,0.0015418879561418537
Signe,1910,9,0.0015418879561418537
Winifred,1910,9,0.0015418879561418537
Adelaide,1910,8,0.0013705670721260923
Alvina,1910,8,0.0013705670721260923
Amanda,1910,8,0.0013705670721260923
Amy,1910,8,0.0013705670721260923
Angeline,1910,8,0.0013705670721260923
Elvira,1910,8,0.0013705670721260923
Frieda,1910,8,0.0013705670721260923
Isabel,1910,8,0.0013705670721260923
Jane,1910,8,0.0013705670721260923
Jeanne,1910,8,0.0013705670721260923
Lena,1910,8,0.0013705670721260923
Madeline,1910,8,0.0013705670721260923
Sadie,1910,8,0.0013705670721260923
Susan,1910,8,0.0013705670721260923
Veronica,1910,8,0.0013705670721260923
Wilma,1910,8,0.0013705670721260923
Carol,1910,7,0.0011992461881103306
Geraldine,1910,7,0.0011992461881103306
Irma,1910,7,0.0011992461881103306
June,1910,7,0.0011992461881103306
Lily,1910,7,0.0011992461881103306
Melba,1910,7,0.0011992461881103306
Sophie,1910,7,0.0011992461881103306
Tillie,1910,7,0.0011992461881103306
Victoria,1910,7,0.0011992461881103306
Wanda,1910,7,0.0011992461881103306
Amelia,1910,6,0.001027925304094569
Angela,1910,6,0.001027925304094569
Bernadette,1910,6,0.001027925304094569
Carmen,1910,6,0.001027925304094569
Claire,1910,6,0.001027925304094569
Constance,1910,6,0.001027925304094569
Dora,1910,6,0.001027925304094569
Eleanore,1910,6,0.001027925304094569
Elvera,1910,6,0.001027925304094569
Gladyce,1910,6,0.001027925304094569
Helene,1910,6,0.001027925304094569
Hildegarde,1910,6,0.001027925304094569
Hilma,1910,6,0.001027925304094569
Isabelle,1910,6,0.001027925304094569
Iva,1910,6,0.001027925304094569
Jeannette,1910,6,0.001027925304094569
Josie,1910,6,0.001027925304094569
Joyce,1910,6,0.001027925304094569
Leone,1910,6,0.001027925304094569
Linda,1910,6,0.001027925304094569
Lorna,1910,6,0.001027925304094569
Mable,1910,6,0.001027925304094569
Marvel,1910,6,0.001027925304094569
Rita,1910,6,0.001027925304094569
Rosalie,1910,6,0.001027925304094569
Aili,1910,5,8.566044200788076e-4
Annette,1910,5,8.566044200788076e-4
Celia,1910,5,8.566044200788076e-4
Delia,1910,5,8.566044200788076e-4
Elinor,1910,5,8.566044200788076e-4
Elva,1910,5,8.566044200788076e-4
Goldie,1910,5,8.566044200788076e-4
Hazelle,1910,5,8.566044200788076e-4
Hedwig,1910,5,8.566044200788076e-4
Hildur,1910,5,8.566044200788076e-4
Janet,1910,5,8.566044200788076e-4
Lauretta,1910,5,8.566044200788076e-4
Lenore,1910,5,8.566044200788076e-4
Madelyn,1910,5,8.566044200788076e-4
Marianne,1910,5,8.566044200788076e-4
Maude,1910,5,8.566044200788076e-4
Meta,1910,5,8.566044200788076e-4
Myra,1910,5,8.566044200788076e-4
Nancy,1910,5,8.566044200788076e-4
Opal,1910,5,8.566044200788076e-4
Patricia,1910,5,8.566044200788076e-4
Priscilla,1910,5,8.566044200788076e-4
Teresa,1910,5,8.566044200788076e-4
Mary,1911,267,0.041466066159341515
Helen,1911,246,0.03820469016928094
Dorothy,1911,203,0.03152663457058549
Margaret,1911,167,0.025935704301910233
Ruth,1911,161,0.02500388259046436
Evelyn,1911,143,0.022208417456126728
Florence,1911,133,0.0206553812703836
Mildred,1911,125,0.019412952321789096
Gladys,1911,120,0.018636434228917535
Alice,1911,117,0.018170523373194594
Irene,1911,116,0.018015219754620282
Frances,1911,102,0.015840969094579903
Esther,1911,99,0.015375058238856966
Lillian,1911,98,0.015219754620282652
Marie,1911,97,0.01506445100170834
Agnes,1911,96,0.014909147383134027
Bernice,1911,83,0.01289020034166796
Clara,1911,83,0.01289020034166796
Anna,1911,75,0.011647771393073459
Elizabeth,1911,72,0.01118186053735052
Rose,1911,69,0.010715949681627581
Ethel,1911,68,0.010560646063053269
Mabel,1911,68,0.010560646063053269
Hazel,1911,67,0.010405342444478957
Myrtle,1911,65,0.01009473520733033
Martha,1911,64,0.009939431588756018
Gertrude,1911,61,0.00947352073303308
Violet,1911,60,0.009318217114458767
Lucille,1911,59,0.009162913495884453
Eleanor,1911,58,0.009007609877310141
Edna,1911,57,0.008852306258735829
Grace,1911,56,0.008697002640161516
Edith,1911,52,0.008075788165864265
Leona,1911,52,0.008075788165864265
Pearl,1911,52,0.008075788165864265
Elsie,1911,51,0.007920484547289951
Catherine,1911,49,0.007609877310141326
Doris,1911,47,0.0072992700729927005
Louise,1911,47,0.0072992700729927005
Ann,1911,46,0.007143966454418388
Josephine,1911,46,0.007143966454418388
Emma,1911,43,0.00667805559869545
Ida,1911,43,0.00667805559869545
Marjorie,1911,43,0.00667805559869545
Harriet,1911,41,0.006367448361546824
Ruby,1911,40,0.006212144742972511
Katherine,1911,39,0.006056841124398199
Sylvia,1911,39,0.006056841124398199
Ellen,1911,38,0.0059015375058238855
Marion,1911,37,0.005746233887249573
Viola,1911,37,0.005746233887249573
Vivian,1911,36,0.00559093026867526
Alma,1911,35,0.005435626650100948
Beatrice,1911,35,0.005435626650100948
Anne,1911,34,0.0052803230315266346
Bertha,1911,34,0.0052803230315266346
Virginia,1911,34,0.0052803230315266346
Genevieve,1911,33,0.005125019412952321
Laura,1911,33,0.005125019412952321
Blanche,1911,31,0.004814412175803696
Eva,1911,31,0.004814412175803696
Marian,1911,30,0.004659108557229384
Kathryn,1911,29,0.0045038049386550705
Julia,1911,28,0.004348501320080758
Vera,1911,28,0.004348501320080758
Ella,1911,27,0.004193197701506445
Jean,1911,26,0.004037894082932133
Jennie,1911,26,0.004037894082932133
Olga,1911,26,0.004037894082932133
Stella,1911,26,0.004037894082932133
Luella,1911,25,0.0038825904643578196
Loretta,1911,24,0.003727286845783507
Lois,1911,23,0.003571983227209194
Minnie,1911,23,0.003571983227209194
Betty,1911,22,0.0034166796086348814
Caroline,1911,22,0.0034166796086348814
Selma,1911,22,0.0034166796086348814
Adeline,1911,21,0.003261375990060568
Cora,1911,21,0.003261375990060568
Dora,1911,21,0.003261375990060568
Inez,1911,21,0.003261375990060568
Mae,1911,21,0.003261375990060568
Thelma,1911,21,0.003261375990060568
Jane,1911,20,0.0031060723714862555
Marcella,1911,20,0.0031060723714862555
Alvina,1911,19,0.0029507687529119427
Lydia,1911,19,0.0029507687529119427
Amy,1911,18,0.00279546513433763
Barbara,1911,18,0.00279546513433763
Angeline,1911,17,0.0026401615157633173
Charlotte,1911,17,0.0026401615157633173
Irma,1911,17,0.0026401615157633173
Olive,1911,17,0.0026401615157633173
Veronica,1911,17,0.0026401615157633173
Cecilia,1911,16,0.0024848578971890046
Hilda,1911,16,0.0024848578971890046
Mathilda,1911,16,0.0024848578971890046
Fern,1911,15,0.002329554278614692
Frieda,1911,15,0.002329554278614692
Lorraine,1911,15,0.002329554278614692
Mamie,1911,15,0.002329554278614692
Marguerite,1911,15,0.002329554278614692
Pauline,1911,15,0.002329554278614692
Sadie,1911,15,0.002329554278614692
Eunice,1911,14,0.002174250660040379
Isabelle,1911,14,0.002174250660040379
Verna,1911,14,0.002174250660040379
Beulah,1911,13,0.0020189470414660664
Erma,1911,13,0.0020189470414660664
Henrietta,1911,13,0.0020189470414660664
Maxine,1911,13,0.0020189470414660664
Norma,1911,13,0.0020189470414660664
Sarah,1911,13,0.0020189470414660664
Theresa,1911,13,0.0020189470414660664
Wilma,1911,13,0.0020189470414660664
Christine,1911,12,0.0018636434228917534
Eileen,1911,12,0.0018636434228917534
Emily,1911,12,0.0018636434228917534
June,1911,12,0.0018636434228917534
Leone,1911,12,0.0018636434228917534
Mable,1911,12,0.0018636434228917534
Nellie,1911,12,0.0018636434228917534
Phyllis,1911,12,0.0018636434228917534
Audrey,1911,11,0.0017083398043174407
Della,1911,11,0.0017083398043174407
Dolores,1911,11,0.0017083398043174407
Dorothea,1911,11,0.0017083398043174407
Freda,1911,11,0.0017083398043174407
Ione,1911,11,0.0017083398043174407
