name,year,count,proportion
John,1910,146,0.06228668941979522
George,1910,98,0.041808873720136516
Harold,1910,69,0.029436860068259386
William,1910,67,0.02858361774744027
James,1910,66,0.028156996587030716
Walter,1910,58,0.024744027303754267
Robert,1910,57,0.02431740614334471
Frank,1910,54,0.02303754266211604
Joseph,1910,54,0.02303754266211604
Carl,1910,53,0.022610921501706484
Edward,1910,52,0.02218430034129693
Clarence,1910,51,0.021757679180887373
Harry,1910,51,0.021757679180887373
Raymond,1910,48,0.020477815699658702
Charles,1910,47,0.020051194539249147
Arthur,1910,42,0.017918088737201365
Donald,1910,37,0.015784982935153583
Kenneth,1910,37,0.015784982935153583
Henry,1910,36,0.015358361774744027
Albert,1910,31,0.013225255972696246
Roy,1910,29,0.012372013651877133
Leonard,1910,26,0.011092150170648464
Ralph,1910,26,0.011092150170648464
Earl,1910,25,0.010665529010238909
Edwin,1910,24,0.010238907849829351
Francis,1910,24,0.010238907849829351
Howard,1910,24,0.010238907849829351
Lloyd,1910,24,0.010238907849829351
Fred,1910,22,0.00938566552901024
Leo,1910,22,0.00938566552901024
Theodore,1910,22,0.00938566552901024
Arnold,1910,21,0.008959044368600682
Ernest,1910,21,0.008959044368600682
Louis,1910,21,0.008959044368600682
Martin,1910,21,0.008959044368600682
Melvin,1910,21,0.008959044368600682
Richard,1910,21,0.008959044368600682
Paul,1910,20,0.008532423208191127
Stanley,1910,20,0.008532423208191127
Elmer,1910,19,0.008105802047781569
Norman,1910,19,0.008105802047781569
Alfred,1910,18,0.007679180887372013
Bernard,1910,18,0.007679180887372013
Herbert,1910,18,0.007679180887372013
Thomas,1910,18,0.007679180887372013
Clifford,1910,17,0.007252559726962458
Floyd,1910,17,0.007252559726962458
Peter,1910,17,0.007252559726962458
Alvin,1910,16,0.006825938566552901
Jack,1910,16,0.006825938566552901
Russell,1910,16,0.006825938566552901
David,1910,15,0.0063993174061433445
Anthony,1910,14,0.005972696245733789
Eugene,1910,14,0.005972696245733789
Michael,1910,14,0.005972696245733789
Vernon,1910,14,0.005972696245733789
Chester,1910,13,0.005546075085324232
Everett,1910,13,0.005546075085324232
Jerome,1910,13,0.005546075085324232
Lawrence,1910,13,0.005546075085324232
Ray,1910,13,0.005546075085324232
Marvin,1910,12,0.005119453924914676
Milton,1910,12,0.005119453924914676
August,1910,11,0.00469283276450512
Emil,1910,11,0.00469283276450512
Lester,1910,11,0.00469283276450512
Oscar,1910,11,0.00469283276450512
Otto,1910,10,0.004266211604095563
Rudolph,1910,10,0.004266211604095563
Andrew,1910,9,0.0038395904436860067
Archie,1910,9,0.0038395904436860067
Ben,1910,9,0.0038395904436860067
Glenn,1910,9,0.0038395904436860067
Gordon,1910,9,0.0038395904436860067
Lyle,1910,9,0.0038395904436860067
Maurice,1910,9,0.0038395904436860067
Victor,1910,9,0.0038395904436860067
Gerald,1910,8,0.0034129692832764505
Leslie,1910,8,0.0034129692832764505
Mike,1910,8,0.0034129692832764505
Patrick,1910,8,0.0034129692832764505
Roman,1910,8,0.0034129692832764505
Sylvester,1910,8,0.0034129692832764505
Edmund,1910,7,0.0029863481228668944
Gilbert,1910,7,0.0029863481228668944
Leroy,1910,7,0.0029863481228668944
Lewis,1910,7,0.0029863481228668944
Morris,1910,7,0.0029863481228668944
Oliver,1910,7,0.0029863481228668944
Philip,1910,7,0.0029863481228668944
Warren,1910,7,0.0029863481228668944
Wilbur,1910,7,0.0029863481228668944
Willard,1910,7,0.0029863481228668944
Alex,1910,6,0.002559726962457338
Ervin,1910,6,0.002559726962457338
Frederick,1910,6,0.002559726962457338
Herman,1910,6,0.002559726962457338
Orville,1910,6,0.002559726962457338
Stephen,1910,6,0.002559726962457338
Vincent,1910,6,0.002559726962457338
Wallace,1910,6,0.002559726962457338
Alphonse,1910,5,0.0021331058020477816
Alton,1910,5,0.0021331058020477816
Arvid,1910,5,0.0021331058020477816
Bert,1910,5,0.0021331058020477816
Clinton,1910,5,0.0021331058020477816
