name,year,count,proportion
Mary,1910,611,0.05590630432793485
Helen,1910,313,0.028639399762100833
Dorothy,1910,270,0.024704913532802634
Mildred,1910,267,0.024430414493549272
Ruth,1910,237,0.021685424101015646
Marie,1910,218,0.01994693018574435
Margaret,1910,207,0.01894043370848202
Gladys,1910,167,0.015280446518437185
Edna,1910,165,0.015097447158934943
Anna,1910,162,0.014822948119681581
Hazel,1910,143,0.013084454204410284
Frances,1910,133,0.012169457406899075
Grace,1910,132,0.012077957727147955
Lucille,1910,129,0.011803458687894593
Thelma,1910,129,0.011803458687894593
Virginia,1910,128,0.011711959008143471
Alice,1910,126,0.01152895964864123
Ruby,1910,119,0.010888461890383384
Opal,1910,118,0.010796962210632264
Ethel,1910,116,0.010613962851130022
Irene,1910,104,0.00951596669411657
Lillian,1910,104,0.00951596669411657
Mabel,1910,103,0.00942446701436545
Florence,1910,100,0.009149967975112087
Louise,1910,99,0.009058468295360967
Clara,1910,98,0.008966968615609845
Elsie,1910,94,0.008600969896605361
Elizabeth,1910,93,0.008509470216854241
Martha,1910,93,0.008509470216854241
Evelyn,1910,90,0.008234971177600879
Bernice,1910,87,0.007960472138347515
Edith,1910,87,0.007960472138347515
Catherine,1910,85,0.007777472778845274
Pauline,1910,85,0.007777472778845274
Bessie,1910,84,0.0076859730990941535
Bertha,1910,83,0.0075944734193430325
Rose,1910,81,0.007411474059840791
Gertrude,1910,77,0.007045475340836307
Myrtle,1910,77,0.007045475340836307
Nellie,1910,77,0.007045475340836307
Eva,1910,75,0.006862475981334065
Pearl,1910,75,0.006862475981334065
Beulah,1910,69,0.00631347790282734
Lena,1910,68,0.006221978223076219
Esther,1910,67,0.006130478543325098
Josephine,1910,66,0.0060389788635739775
Ida,1910,64,0.005855979504071736
Alma,1910,62,0.005672980144569494
Velma,1910,58,0.005306981425565011
Emma,1910,57,0.00521548174581389
Georgia,1910,56,0.005123982066062769
Viola,1910,55,0.005032482386311648
Laura,1910,53,0.004849483026809406
Marguerite,1910,53,0.004849483026809406
Minnie,1910,53,0.004849483026809406
Agnes,1910,51,0.004666483667307164
Leona,1910,51,0.004666483667307164
Blanche,1910,50,0.004574983987556043
Ella,1910,50,0.004574983987556043
Juanita,1910,49,0.004483484307804922
Katherine,1910,48,0.0043919846280538015
Vera,1910,48,0.0043919846280538015
Wilma,1910,48,0.0043919846280538015
Goldie,1910,47,0.0043004849483026806
Jessie,1910,46,0.0042089852685515605
Violet,1910,46,0.0042089852685515605
Marjorie,1910,45,0.0041174855888004395
Betty,1910,43,0.003934486229298198
Eleanor,1910,40,0.003659987190044835
Stella,1910,40,0.003659987190044835
Alberta,1910,39,0.003568487510293714
Fern,1910,39,0.003568487510293714
Julia,1910,39,0.003568487510293714
Sarah,1910,39,0.003568487510293714
Ada,1910,38,0.003476987830542593
Beatrice,1910,38,0.003476987830542593
Lois,1910,37,0.003385488150791472
Ann,1910,36,0.0032939884710403516
Lillie,1910,36,0.0032939884710403516
Mae,1910,36,0.0032939884710403516
Sylvia,1910,36,0.0032939884710403516
Lela,1910,35,0.0032024887912892306
Vivian,1910,35,0.0032024887912892306
Loretta,1910,34,0.0031109891115381097
Mable,1910,34,0.0031109891115381097
Alta,1910,32,0.002927989752035868
Dora,1910,32,0.002927989752035868
Doris,1910,32,0.002927989752035868
Geneva,1910,32,0.002927989752035868
Lola,1910,32,0.002927989752035868
Jewell,1910,31,0.002836490072284747
Lorene,1910,31,0.002836490072284747
Ellen,1910,30,0.002744990392533626
Erma,1910,30,0.002744990392533626
Genevieve,1910,30,0.002744990392533626
Kathryn,1910,30,0.002744990392533626
Eunice,1910,29,0.0026534907127825054
Nora,1910,29,0.0026534907127825054
Cora,1910,28,0.0025619910330313845
Flora,1910,28,0.0025619910330313845
Lula,1910,27,0.0024704913532802636
Verna,1910,27,0.0024704913532802636
Annie,1910,26,0.0023789916735291426
Hilda,1910,26,0.0023789916735291426
Inez,1910,26,0.0023789916735291426
Freda,1910,25,0.0022874919937780217
Daisy,1910,24,0.0021959923140269007
Iva,1910,24,0.0021959923140269007
Naomi,1910,24,0.0021959923140269007
Carrie,1910,23,0.0021044926342757802
Eula,1910,23,0.0021044926342757802
Norma,1910,23,0.0021044926342757802
Adele,1910,22,0.0020129929545246593
Charlotte,1910,22,0.0020129929545246593
Geraldine,1910,22,0.0020129929545246593
Mattie,1910,22,0.0020129929545246593
Nancy,1910,22,0.0020129929545246593
Sadie,1910,22,0.0020129929545246593
Christine,1910,21,0.0019214932747735384
Della,1910,21,0.0019214932747735384
Estelle,1910,21,0.0019214932747735384
Jane,1910,21,0.0019214932747735384
Jean,1910,21,0.0019214932747735384
Maxine,1910,21,0.0019214932747735384
Nina,1910,21,0.0019214932747735384
Emily,1910,20,0.0018299935950224174
Flossie,1910,20,0.0018299935950224174
Lucile,1910,20,0.0018299935950224174
Lucy,1910,20,0.0018299935950224174
Madge,1910,20,0.0018299935950224174
Marian,1910,20,0.0018299935950224174
Susie,1910,20,0.0018299935950224174
Addie,1910,19,0.0017384939152712965
Frieda,1910,19,0.0017384939152712965
Irma,1910,19,0.0017384939152712965
Jewel,1910,19,0.0017384939152712965
Maude,1910,19,0.0017384939152712965
May,1910,19,0.0017384939152712965
Olive,1910,19,0.0017384939152712965
Elva,1910,18,0.0016469942355201758
Hattie,1910,18,0.0016469942355201758
Lorraine,1910,18,0.0016469942355201758
Barbara,1910,17,0.0015554945557690548
Cleo,1910,17,0.0015554945557690548
Faye,1910,17,0.0015554945557690548
Marion,1910,17,0.0015554945557690548
Pansy,1910,17,0.0015554945557690548
Anne,1910,16,0.001463994876017934
Effie,1910,16,0.001463994876017934
Lydia,1910,16,0.001463994876017934
Marcella,1910,16,0.001463994876017934
Mollie,1910,16,0.001463994876017934
Nadine,1910,16,0.001463994876017934
Nettie,1910,16,0.001463994876017934
Ollie,1910,16,0.001463994876017934
Roberta,1910,16,0.001463994876017934
Rosie,1910,16,0.001463994876017934
Etta,1910,15,0.001372495196266813
Fannie,1910,15,0.001372495196266813
Mamie,1910,15,0.001372495196266813
Regina,1910,15,0.001372495196266813
Aileen,1910,14,0.0012809955165156922
Dollie,1910,14,0.0012809955165156922
Essie,1910,14,0.0012809955165156922
Jennie,1910,14,0.0012809955165156922
Melba,1910,14,0.0012809955165156922
Oma,1910,14,0.0012809955165156922
Rosa,1910,14,0.0012809955165156922
Theresa,1910,14,0.0012809955165156922
Victoria,1910,14,0.0012809955165156922
Harriet,1910,13,0.0011894958367645713
Maudie,1910,13,0.0011894958367645713
Rachel,1910,13,0.0011894958367645713
Winifred,1910,13,0.0011894958367645713
Bonnie,1910,12,0.0010979961570134504
Cecilia,1910,12,0.0010979961570134504
Lila,1910,12,0.0010979961570134504
Lora,1910,12,0.0010979961570134504
Mayme,1910,12,0.0010979961570134504
Muriel,1910,12,0.0010979961570134504
Ola,1910,12,0.0010979961570134504
Ora,1910,12,0.0010979961570134504
Verda,1910,12,0.0010979961570134504
Zelma,1910,12,0.0010979961570134504
Audrey,1910,11,0.0010064964772623297
Caroline,1910,11,0.0010064964772623297
Elma,1910,11,0.0010064964772623297
Ina,1910,11,0.0010064964772623297
June,1910,11,0.0010064964772623297
Kathleen,1910,11,0.0010064964772623297
Loraine,1910,11,0.0010064964772623297
Maggie,1910,11,0.0010064964772623297
Susan,1910,11,0.0010064964772623297
Virgie,1910,11,0.0010064964772623297
Amy,1910,10,9.149967975112087e-4
Berniece,1910,10,9.149967975112087e-4
Carolyn,1910,10,9.149967975112087e-4
Celeste,1910,10,9.149967975112087e-4
Dorothea,1910,10,9.149967975112087e-4
Estella,1910,10,9.149967975112087e-4
Fay,1910,10,9.149967975112087e-4
Gertie,1910,10,9.149967975112087e-4
Henrietta,1910,10,9.149967975112087e-4
Imogene,1910,10,9.149967975112087e-4
Jeanette,1910,10,9.149967975112087e-4
Katie,1910,10,9.149967975112087e-4
Leola,1910,10,9.149967975112087e-4
Leta,1910,10,9.149967975112087e-4
Letha,1910,10,9.149967975112087e-4
Lottie,1910,10,9.149967975112087e-4
Madeline,1910,10,9.149967975112087e-4
Nell,1910,10,9.149967975112087e-4
Neva,1910,10,9.149967975112087e-4
Nola,1910,10,9.149967975112087e-4
Wanda,1910,10,9.149967975112087e-4
Zella,1910,10,9.149967975112087e-4
Allie,1910,9,8.234971177600879e-4
Anita,1910,9,8.234971177600879e-4
Cecelia,1910,9,8.234971177600879e-4
Helene,1910,9,8.234971177600879e-4
Hester,1910,9,8.234971177600879e-4
Isabelle,1910,9,8.234971177600879e-4
Laverne,1910,9,8.234971177600879e-4
Lenora,1910,9,8.234971177600879e-4
Leota,1910,9,8.234971177600879e-4
Luella,1910,9,8.234971177600879e-4
Merle,1910,9,8.234971177600879e-4
Nona,1910,9,8.234971177600879e-4
Reba,1910,9,8.234971177600879e-4
Sally,1910,9,8.234971177600879e-4
Willa,1910,9,8.234971177600879e-4
Allene,1910,8,7.31997438008967e-4
Alpha,1910,8,7.31997438008967e-4
Alyce,1910,8,7.31997438008967e-4
Bernadine,1910,8,7.31997438008967e-4
Carmen,1910,8,7.31997438008967e-4
Dolly,1910,8,7.31997438008967e-4
Elda,1910,8,7.31997438008967e-4
Eugenia,1910,8,7.31997438008967e-4
Floy,1910,8,7.31997438008967e-4
Goldia,1910,8,7.31997438008967e-4
Iris,1910,8,7.31997438008967e-4
Josie,1910,8,7.31997438008967e-4
Millie,1910,8,7.31997438008967e-4
Olga,1910,8,7.31997438008967e-4
Olivia,1910,8,7.31997438008967e-4
Rebecca,1910,8,7.31997438008967e-4
Sara,1910,8,7.31997438008967e-4
Shirley,1910,8,7.31997438008967e-4
Teresa,1910,8,7.31997438008967e-4
Vada,1910,8,7.31997438008967e-4
Vesta,1910,8,7.31997438008967e-4
Adeline,1910,7,6.404977582578461e-4
Aline,1910,7,6.404977582578461e-4
Amanda,1910,7,6.404977582578461e-4
Bess,1910,7,6.404977582578461e-4
Bethel,1910,7,6.404977582578461e-4
Billie,1910,7,6.404977582578461e-4
Blanch,1910,7,6.404977582578461e-4
Delphia,1910,7,6.404977582578461e-4
Dolores,1910,7,6.404977582578461e-4
Harriett,1910,7,6.404977582578461e-4
Ila,1910,7,6.404977582578461e-4
Lelah,1910,7,6.404977582578461e-4
Lilly,1910,7,6.404977582578461e-4
Lura,1910,7,6.404977582578461e-4
Neoma,1910,7,6.404977582578461e-4
Peggy,1910,7,6.404977582578461e-4
Reva,1910,7,6.404977582578461e-4
Sophie,1910,7,6.404977582578461e-4
Willie,1910,7,6.404977582578461e-4
Amelia,1910,6,5.489980785067252e-4
Antoinette,1910,6,5.489980785067252e-4
Birdie,1910,6,5.489980785067252e-4
Clarice,1910,6,5.489980785067252e-4
Crystal,1910,6,5.489980785067252e-4
