name,year,count,proportion
Mary,1910,762,0.07282806078562554
Annie,1910,354,0.03383350855395202
Willie,1910,208,0.019879575647519833
Mattie,1910,178,0.01701232915989678
Lillie,1910,158,0.01510083150148141
Rosie,1910,158,0.01510083150148141
Ruby,1910,152,0.0145273822039568
Ethel,1910,127,0.01213801013093759
Emma,1910,124,0.011851285482175284
Minnie,1910,121,0.011564560833412979
Bessie,1910,116,0.011086686418809137
Lucille,1910,112,0.010704386887126063
Carrie,1910,111,0.010608812004205295
Elizabeth,1910,109,0.010417662238363759
Hattie,1910,109,0.010417662238363759
Alice,1910,105,0.010035362706680684
Clara,1910,103,0.009844212940839148
Sarah,1910,101,0.00965306317499761
Beatrice,1910,99,0.009461913409156074
Lillian,1910,99,0.009461913409156074
Louise,1910,99,0.009461913409156074
Gladys,1910,94,0.008984038994552232
Ruth,1910,93,0.008888464111631463
Maggie,1910,92,0.008792889228710694
Ida,1910,90,0.008601739462869159
Jessie,1910,86,0.008219439931186085
Edna,1910,85,0.008123865048265316
Susie,1910,84,0.008028290165344548
Fannie,1910,82,0.00783714039950301
Laura,1910,81,0.007741565516582242
Bertha,1910,77,0.0073592659848991685
Lula,1910,76,0.0072636911019784
Marie,1910,75,0.007168116219057632
Martha,1910,75,0.007168116219057632
Mildred,1910,74,0.007072541336136863
Ella,1910,72,0.006881391570295326
Frances,1910,70,0.00669024180445379
Viola,1910,69,0.006594666921533021
Irene,1910,68,0.006499092038612253
Katie,1910,67,0.006403517155691484
Thelma,1910,67,0.006403517155691484
Mamie,1910,66,0.006307942272770716
Myrtle,1910,64,0.006116792506929179
Anna,1910,62,0.005925642741087642
Virginia,1910,62,0.005925642741087642
Josephine,1910,61,0.005830067858166874
Alberta,1910,60,0.005734492975246105
Eva,1910,59,0.005638918092325337
Gertrude,1910,59,0.005638918092325337
Helen,1910,57,0.0054477683264838005
Margaret,1910,56,0.005352193443563032
Daisy,1910,55,0.005256618560642263
Pearl,1910,55,0.005256618560642263
Sallie,1910,55,0.005256618560642263
Velma,1910,55,0.005256618560642263
Georgia,1910,54,0.005161043677721495
Cora,1910,53,0.005065468794800726
Lena,1910,53,0.005065468794800726
Julia,1910,51,0.0048743190289591894
Nellie,1910,51,0.0048743190289591894
Evelyn,1910,49,0.004683169263117653
Flora,1910,48,0.004587594380196884
Lucy,1910,48,0.004587594380196884
Alma,1910,47,0.004492019497276116
Dorothy,1910,47,0.004492019497276116
Essie,1910,44,0.0042052948485138105
Pauline,1910,44,0.0042052948485138105
Inez,1910,43,0.0041097199655930425
Eula,1910,42,0.004014145082672274
Geneva,1910,42,0.004014145082672274
Sadie,1910,42,0.004014145082672274
Grace,1910,40,0.003822995316830737
Ora,1910,40,0.003822995316830737
Christine,1910,39,0.0037274204339099687
Ollie,1910,39,0.0037274204339099687
Florence,1910,38,0.0036318455509892
Hazel,1910,38,0.0036318455509892
Lizzie,1910,38,0.0036318455509892
Nancy,1910,38,0.0036318455509892
Effie,1910,37,0.0035362706680684315
Ada,1910,36,0.003440695785147663
Addie,1910,36,0.003440695785147663
Mae,1910,36,0.003440695785147663
Rosa,1910,36,0.003440695785147663
Callie,1910,35,0.003345120902226895
Edith,1910,34,0.0032495460193061264
Eunice,1910,34,0.0032495460193061264
Lela,1910,34,0.0032495460193061264
Mable,1910,34,0.0032495460193061264
Leola,1910,33,0.003153971136385358
Catherine,1910,32,0.0030583962534645897
Estelle,1910,32,0.0030583962534645897
Vera,1910,32,0.0030583962534645897
Virgie,1910,32,0.0030583962534645897
Dora,1910,31,0.002962821370543821
Lois,1910,31,0.002962821370543821
Mabel,1910,31,0.002962821370543821
Johnnie,1910,30,0.0028672464876230526
Lucile,1910,30,0.0028672464876230526
Elnora,1910,29,0.002771671604702284
Lola,1910,29,0.002771671604702284
Rose,1910,29,0.002771671604702284
Agnes,1910,27,0.0025805218388607475
Estella,1910,27,0.0025805218388607475
Nettie,1910,27,0.0025805218388607475
Beulah,1910,26,0.002484946955939979
Ellen,1910,26,0.002484946955939979
Juanita,1910,26,0.002484946955939979
Doris,1910,25,0.0023893720730192108
Leona,1910,25,0.0023893720730192108
Roberta,1910,25,0.0023893720730192108
Winnie,1910,25,0.0023893720730192108
Lee,1910,24,0.002293797190098442
Nora,1910,24,0.002293797190098442
Rebecca,1910,24,0.002293797190098442
Allie,1910,23,0.0021982223071776736
Bernice,1910,23,0.0021982223071776736
Betty,1910,23,0.0021982223071776736
Jewel,1910,23,0.0021982223071776736
Ola,1910,23,0.0021982223071776736
Pearlie,1910,23,0.0021982223071776736
