name,year,count,proportion
James,1910,465,0.07221618263705544
John,1910,385,0.05979189315111042
Willie,1910,377,0.058549464202515916
William,1910,259,0.04022363721074701
Robert,1910,254,0.03944711911787545
George,1910,201,0.03121602733343687
Henry,1910,158,0.02453797173474142
Frank,1910,105,0.016306879950302843
Charlie,1910,103,0.015996272713154215
Sam,1910,103,0.015996272713154215
Walter,1910,102,0.015840969094579903
Joe,1910,91,0.014132629290262462
Charles,1910,86,0.0133561111973909
Albert,1910,85,0.013200807578816587
Thomas,1910,82,0.012734896723093648
Fred,1910,72,0.01118186053735052
Jessie,1910,72,0.01118186053735052
Eddie,1910,71,0.011026556918776208
Johnnie,1910,66,0.010250038825904643
Jack,1910,59,0.009162913495884453
Joseph,1910,59,0.009162913495884453
Edward,1910,55,0.008541699021587202
Leroy,1910,55,0.008541699021587202
Andrew,1910,49,0.007609877310141326
Lee,1910,49,0.007609877310141326
Eugene,1910,48,0.007454573691567014
Ernest,1910,47,0.0072992700729927005
Jim,1910,47,0.0072992700729927005
Tom,1910,46,0.007143966454418388
Louis,1910,45,0.006988662835844075
Roosevelt,1910,45,0.006988662835844075
Arthur,1910,43,0.00667805559869545
David,1910,43,0.00667805559869545
Richard,1910,41,0.006367448361546824
Percy,1910,40,0.006212144742972511
Will,1910,39,0.006056841124398199
Jimmie,1910,38,0.0059015375058238855
Clarence,1910,37,0.005746233887249573
Ed,1910,37,0.005746233887249573
Howard,1910,37,0.005746233887249573
Jesse,1910,35,0.005435626650100948
Curtis,1910,34,0.0052803230315266346
Ben,1910,33,0.005125019412952321
Earl,1910,33,0.005125019412952321
Tommie,1910,33,0.005125019412952321
Mack,1910,31,0.004814412175803696
Leon,1910,30,0.004659108557229384
Luther,1910,30,0.004659108557229384
Roy,1910,30,0.004659108557229384
Charley,1910,29,0.0045038049386550705
Lawrence,1910,28,0.004348501320080758
Samuel,1910,28,0.004348501320080758
Clyde,1910,27,0.004193197701506445
Paul,1910,26,0.004037894082932133
Oscar,1910,25,0.0038825904643578196
Booker,1910,24,0.003727286845783507
Nathaniel,1910,24,0.003727286845783507
Bill,1910,23,0.003571983227209194
Otis,1910,23,0.003571983227209194
Claude,1910,22,0.0034166796086348814
Edgar,1910,22,0.0034166796086348814
Alfred,1910,21,0.003261375990060568
Bennie,1910,21,0.003261375990060568
Earnest,1910,21,0.003261375990060568
Herman,1910,21,0.003261375990060568
Alex,1910,20,0.0031060723714862555
Archie,1910,20,0.0031060723714862555
Elmer,1910,20,0.0031060723714862555
Harry,1910,20,0.0031060723714862555
Cleveland,1910,19,0.0029507687529119427
Dan,1910,19,0.0029507687529119427
Allen,1910,18,0.00279546513433763
Floyd,1910,18,0.00279546513433763
Homer,1910,18,0.00279546513433763
Johnie,1910,18,0.00279546513433763
Johnny,1910,18,0.00279546513433763
Leonard,1910,18,0.00279546513433763
Marvin,1910,18,0.00279546513433763
Rufus,1910,18,0.00279546513433763
Cecil,1910,17,0.0026401615157633173
Dave,1910,17,0.0026401615157633173
Grady,1910,17,0.0026401615157633173
Ira,1910,17,0.0026401615157633173
Lester,1910,17,0.0026401615157633173
Lonnie,1910,17,0.0026401615157633173
Oliver,1910,17,0.0026401615157633173
Amos,1910,16,0.0024848578971890046
Daniel,1910,16,0.0024848578971890046
Elbert,1910,16,0.0024848578971890046
Herbert,1910,16,0.0024848578971890046
Jerry,1910,16,0.0024848578971890046
Sidney,1910,16,0.0024848578971890046
Chester,1910,15,0.002329554278614692
Guy,1910,15,0.002329554278614692
Lewis,1910,15,0.002329554278614692
Theodore,1910,15,0.002329554278614692
Clifton,1910,14,0.002174250660040379
Hugh,1910,14,0.002174250660040379
Isaac,1910,14,0.002174250660040379
Jake,1910,14,0.002174250660040379
Willis,1910,14,0.002174250660040379
Carl,1910,13,0.0020189470414660664
Elijah,1910,13,0.0020189470414660664
Harvey,1910,13,0.0020189470414660664
Milton,1910,13,0.0020189470414660664
Ollie,1910,13,0.0020189470414660664
Simon,1910,13,0.0020189470414660664
Calvin,1910,12,0.0018636434228917534
