name,year,count,proportion
Mary,1910,81,0.08804347826086957
Helen,1910,58,0.06304347826086956
Margaret,1910,51,0.05543478260869565
Dorothy,1910,41,0.04456521739130435
Elizabeth,1910,22,0.02391304347826087
Frances,1910,22,0.02391304347826087
Gladys,1910,22,0.02391304347826087
Alice,1910,21,0.02282608695652174
Ruth,1910,21,0.02282608695652174
Agnes,1910,20,0.021739130434782608
Mildred,1910,20,0.021739130434782608
Anna,1910,17,0.018478260869565218
Edith,1910,17,0.018478260869565218
Ethel,1910,16,0.017391304347826087
Evelyn,1910,16,0.017391304347826087
Marie,1910,15,0.016304347826086956
Catherine,1910,14,0.015217391304347827
Doris,1910,14,0.015217391304347827
Esther,1910,14,0.015217391304347827
Eva,1910,14,0.015217391304347827
Thelma,1910,14,0.015217391304347827
Elsie,1910,13,0.014130434782608696
Florence,1910,13,0.014130434782608696
Lillian,1910,13,0.014130434782608696
Rose,1910,13,0.014130434782608696
Clara,1910,12,0.013043478260869565
Edna,1910,12,0.013043478260869565
Nellie,1910,11,0.011956521739130435
Ruby,1910,11,0.011956521739130435
Ann,1910,10,0.010869565217391304
Gertrude,1910,10,0.010869565217391304
Katherine,1910,10,0.010869565217391304
Bertha,1910,9,0.009782608695652175
Jennie,1910,9,0.009782608695652175
Josephine,1910,9,0.009782608695652175
Mabel,1910,9,0.009782608695652175
Viola,1910,9,0.009782608695652175
Alma,1910,8,0.008695652173913044
Grace,1910,8,0.008695652173913044
Hazel,1910,8,0.008695652173913044
Irene,1910,8,0.008695652173913044
Kathryn,1910,8,0.008695652173913044
Marjorie,1910,8,0.008695652173913044
Bernice,1910,7,0.007608695652173913
Eleanor,1910,7,0.007608695652173913
Genevieve,1910,7,0.007608695652173913
Jessie,1910,7,0.007608695652173913
Julia,1910,7,0.007608695652173913
Laura,1910,7,0.007608695652173913
Lois,1910,7,0.007608695652173913
Emma,1910,6,0.006521739130434782
Ida,1910,6,0.006521739130434782
Jane,1910,6,0.006521739130434782
Louise,1910,6,0.006521739130434782
Lucille,1910,6,0.006521739130434782
Marion,1910,6,0.006521739130434782
Martha,1910,6,0.006521739130434782
Patricia,1910,6,0.006521739130434782
Phyllis,1910,6,0.006521739130434782
Virginia,1910,6,0.006521739130434782
Adeline,1910,5,0.005434782608695652
Anne,1910,5,0.005434782608695652
Annie,1910,5,0.005434782608695652
Beatrice,1910,5,0.005434782608695652
Blanche,1910,5,0.005434782608695652
Cora,1910,5,0.005434782608695652
Iola,1910,5,0.005434782608695652
Kathleen,1910,5,0.005434782608695652
Lucile,1910,5,0.005434782608695652
Mae,1910,5,0.005434782608695652
Myrtle,1910,5,0.005434782608695652
Theresa,1910,5,0.005434782608695652
Mary,1911,72,0.0653950953678474
Margaret,1911,59,0.053587647593097185
Dorothy,1911,51,0.04632152588555858
Helen,1911,33,0.02997275204359673
Alice,1911,29,0.02633969118982743
Ruth,1911,29,0.02633969118982743
Frances,1911,26,0.023614895549500452
Elizabeth,1911,25,0.022706630336058128
Gladys,1911,23,0.02089009990917348
Florence,1911,22,0.019981834695731154
Anna,1911,21,0.01907356948228883
Edna,1911,21,0.01907356948228883
Hazel,1911,20,0.018165304268846504
Agnes,1911,19,0.01725703905540418
Marie,1911,19,0.01725703905540418
Violet,1911,19,0.01725703905540418
Evelyn,1911,18,0.01634877384196185
Mildred,1911,18,0.01634877384196185
Ethel,1911,17,0.015440508628519528
Lillian,1911,17,0.015440508628519528
Irene,1911,16,0.014532243415077202
Clara,1911,15,0.013623978201634877
Edith,1911,15,0.013623978201634877
Katherine,1911,15,0.013623978201634877
Pearl,1911,15,0.013623978201634877
Ann,1911,14,0.012715712988192553
Esther,1911,14,0.012715712988192553
Jean,1911,14,0.012715712988192553
Josephine,1911,14,0.012715712988192553
Martha,1911,14,0.012715712988192553
Catherine,1911,13,0.011807447774750226
Rose,1911,13,0.011807447774750226
Myrtle,1911,12,0.010899182561307902
Grace,1911,11,0.009990917347865577
Lucille,1911,11,0.009990917347865577
Virginia,1911,11,0.009990917347865577
Vivian,1911,11,0.009990917347865577
Doris,1911,10,0.009082652134423252
Elsie,1911,10,0.009082652134423252
Jennie,1911,10,0.009082652134423252
Laura,1911,10,0.009082652134423252
Mabel,1911,10,0.009082652134423252
Bertha,1911,9,0.008174386920980926
Eva,1911,9,0.008174386920980926
Louise,1911,9,0.008174386920980926
Pauline,1911,9,0.008174386920980926
Anne,1911,8,0.007266121707538601
Beulah,1911,8,0.007266121707538601
Gertrude,1911,8,0.007266121707538601
Kathryn,1911,8,0.007266121707538601
Leona,1911,8,0.007266121707538601
Mae,1911,8,0.007266121707538601
Marguerite,1911,8,0.007266121707538601
Marjorie,1911,8,0.007266121707538601
Beatrice,1911,7,0.006357856494096276
Bernice,1911,7,0.006357856494096276
Bessie,1911,7,0.006357856494096276
Blanche,1911,7,0.006357856494096276
Ellen,1911,7,0.006357856494096276
Emma,1911,7,0.006357856494096276
Georgia,1911,7,0.006357856494096276
Harriet,1911,7,0.006357856494096276
Marion,1911,7,0.006357856494096276
Minnie,1911,7,0.006357856494096276
Vera,1911,7,0.006357856494096276
Eleanor,1911,6,0.005449591280653951
Genevieve,1911,6,0.005449591280653951
Geraldine,1911,6,0.005449591280653951
Lois,1911,6,0.005449591280653951
Ruby,1911,6,0.005449591280653951
Viola,1911,6,0.005449591280653951
Wilma,1911,6,0.005449591280653951
Winifred,1911,6,0.005449591280653951
Cora,1911,5,0.004541326067211626
Erma,1911,5,0.004541326067211626
Julia,1911,5,0.004541326067211626
Kathleen,1911,5,0.004541326067211626
Naomi,1911,5,0.004541326067211626
Nellie,1911,5,0.004541326067211626
Sylvia,1911,5,0.004541326067211626
Thelma,1911,5,0.004541326067211626
Mary,1912,108,0.068268015170670035
Margaret,1912,81,0.05120101137800253
Helen,1912,73,0.0461441213653603
Dorothy,1912,65,0.04108723135271808
Ruth,1912,52,0.03286978508217446
Alice,1912,48,0.03034134007585335
Elizabeth,1912,39,0.02465233881163085
Evelyn,1912,37,0.02338811630847029
Frances,1912,37,0.02338811630847029
Mildred,1912,34,0.021491782553729456
Anna,1912,30,0.018963337547408345
Grace,1912,29,0.018331226295828066
Lillian,1912,28,0.017699115044247787
Florence,1912,27,0.01706700379266751
Ann,1912,26,0.01643489254108723
Edna,1912,25,0.01580278128950695
Edith,1912,24,0.015170670037926675
Marie,1912,24,0.015170670037926675
Gladys,1912,22,0.01390644753476612
Lucille,1912,21,0.01327433628318584
Catherine,1912,20,0.012642225031605562
Ethel,1912,20,0.012642225031605562
Doris,1912,19,0.012010113780025285
Esther,1912,19,0.012010113780025285
Irene,1912,19,0.012010113780025285
Virginia,1912,19,0.012010113780025285
Rose,1912,18,0.011378002528445006
Jean,1912,17,0.010745891276864728
Myrtle,1912,17,0.010745891276864728
Ruby,1912,17,0.010745891276864728
Hazel,1912,16,0.010113780025284451
Louise,1912,16,0.010113780025284451
Mabel,1912,16,0.010113780025284451
Thelma,1912,16,0.010113780025284451
Katherine,1912,15,0.009481668773704172
Agnes,1912,14,0.008849557522123894
Elsie,1912,14,0.008849557522123894
Gertrude,1912,14,0.008849557522123894
Marjorie,1912,14,0.008849557522123894
Bernice,1912,13,0.008217446270543615
Josephine,1912,13,0.008217446270543615
Anne,1912,12,0.007585335018963337
Clara,1912,12,0.007585335018963337
Emma,1912,12,0.007585335018963337
Ida,1912,12,0.007585335018963337
Kathryn,1912,12,0.007585335018963337
Marion,1912,12,0.007585335018963337
Eva,1912,11,0.00695322376738306
Genevieve,1912,11,0.00695322376738306
Martha,1912,11,0.00695322376738306
Pearl,1912,11,0.00695322376738306
Bertha,1912,10,0.006321112515802781
Eleanor,1912,10,0.006321112515802781
Audrey,1912,9,0.005689001264222503
Betty,1912,9,0.005689001264222503
Ellen,1912,9,0.005689001264222503
Julia,1912,9,0.005689001264222503
Laura,1912,9,0.005689001264222503
Leona,1912,9,0.005689001264222503
Lois,1912,9,0.005689001264222503
Lydia,1912,9,0.005689001264222503
Viola,1912,9,0.005689001264222503
Beatrice,1912,8,0.0050568900126422255
Caroline,1912,8,0.0050568900126422255
Ella,1912,8,0.0050568900126422255
Nellie,1912,8,0.0050568900126422255
Beulah,1912,7,0.004424778761061947
Jessie,1912,7,0.004424778761061947
Mae,1912,7,0.004424778761061947
Phyllis,1912,7,0.004424778761061947
Vera,1912,7,0.004424778761061947
Barbara,1912,6,0.0037926675094816687
Charlotte,1912,6,0.0037926675094816687
Jane,1912,6,0.0037926675094816687
Jennie,1912,6,0.0037926675094816687
Kathleen,1912,6,0.0037926675094816687
Marguerite,1912,6,0.0037926675094816687
May,1912,6,0.0037926675094816687
Olga,1912,6,0.0037926675094816687
Pauline,1912,6,0.0037926675094816687
Violet,1912,6,0.0037926675094816687
Vivian,1912,6,0.0037926675094816687
Wilma,1912,6,0.0037926675094816687
Bessie,1912,5,0.0031605562579013905
Blanche,1912,5,0.0031605562579013905
Eileen,1912,5,0.0031605562579013905
Geraldine,1912,5,0.0031605562579013905
Loretta,1912,5,0.0031605562579013905
Maxine,1912,5,0.0031605562579013905
Norma,1912,5,0.0031605562579013905
Patricia,1912,5,0.0031605562579013905
Stella,1912,5,0.0031605562579013905
Victoria,1912,5,0.0031605562579013905
Mary,1913,140,0.06548175865294668
Helen,1913,110,0.05144995322731525
Dorothy,1913,91,0.042563143124415344
Margaret,1913,77,0.03601496725912067
Ruth,1913,70,0.03274087932647334
Alice,1913,49,0.022918615528531337
Frances,1913,47,0.021983161833489244
