name,year,count,proportion
John,1910,45,0.10416666666666667
William,1910,41,0.09490740740740741
George,1910,29,0.06712962962962964
James,1910,25,0.05787037037037037
Harold,1910,15,0.034722222222222224
Charles,1910,14,0.032407407407407406
Edward,1910,14,0.032407407407407406
Jack,1910,14,0.032407407407407406
Joseph,1910,14,0.032407407407407406
Albert,1910,12,0.027777777777777776
Carl,1910,12,0.027777777777777776
Frank,1910,12,0.027777777777777776
Robert,1910,12,0.027777777777777776
Walter,1910,12,0.027777777777777776
Clarence,1910,11,0.02546296296296296
Thomas,1910,11,0.02546296296296296
Kenneth,1910,10,0.023148148148148147
Arthur,1910,9,0.020833333333333332
David,1910,9,0.020833333333333332
Henry,1910,9,0.020833333333333332
Joe,1910,9,0.020833333333333332
Harry,1910,8,0.018518518518518517
Raymond,1910,8,0.018518518518518517
Donald,1910,7,0.016203703703703703
Ernest,1910,7,0.016203703703703703
Fred,1910,7,0.016203703703703703
Norman,1910,7,0.016203703703703703
Clyde,1910,6,0.013888888888888888
Francis,1910,6,0.013888888888888888
Louis,1910,6,0.013888888888888888
Ralph,1910,6,0.013888888888888888
Alfred,1910,5,0.011574074074074073
Melvin,1910,5,0.011574074074074073
Ray,1910,5,0.011574074074074073
Richard,1910,5,0.011574074074074073
Ted,1910,5,0.011574074074074073
John,1911,56,0.1042830540037244
William,1911,46,0.0856610800744879
James,1911,31,0.05772811918063315
Joseph,1911,28,0.0521415270018622
Robert,1911,27,0.05027932960893855
Frank,1911,26,0.048417132216014895
Edward,1911,24,0.0446927374301676
Charles,1911,20,0.037243947858473
George,1911,19,0.035381750465549346
Jack,1911,18,0.0335195530726257
Henry,1911,15,0.027932960893854747
Thomas,1911,13,0.024208566108007448
Raymond,1911,12,0.0223463687150838
Ernest,1911,11,0.020484171322160148
Francis,1911,11,0.020484171322160148
Paul,1911,11,0.020484171322160148
Carl,1911,10,0.0186219739292365
Roy,1911,10,0.0186219739292365
Donald,1911,9,0.01675977653631285
Fred,1911,9,0.01675977653631285
Harold,1911,9,0.01675977653631285
Harry,1911,9,0.01675977653631285
Albert,1911,8,0.0148975791433892
David,1911,7,0.01303538175046555
Earl,1911,7,0.01303538175046555
Joe,1911,7,0.01303538175046555
Lawrence,1911,7,0.01303538175046555
Leonard,1911,7,0.01303538175046555
Lloyd,1911,7,0.01303538175046555
Russell,1911,7,0.01303538175046555
Walter,1911,7,0.01303538175046555
Arthur,1911,6,0.0111731843575419
Clarence,1911,6,0.0111731843575419
Elmer,1911,6,0.0111731843575419
Howard,1911,6,0.0111731843575419
Andrew,1911,5,0.00931098696461825
Kenneth,1911,5,0.00931098696461825
Norman,1911,5,0.00931098696461825
Pete,1911,5,0.00931098696461825
Ray,1911,5,0.00931098696461825
John,1912,124,0.09604957397366383
William,1912,91,0.0704879938032533
James,1912,68,0.052672347017815646
Robert,1912,68,0.052672347017815646
George,1912,58,0.044926413632842756
Frank,1912,37,0.02865995352439969
Harold,1912,37,0.02865995352439969
Joseph,1912,34,0.026336173508907823
Edward,1912,28,0.021688613477924088
Harry,1912,27,0.020914020139426802
Charles,1912,26,0.020139426800929512
Jack,1912,26,0.020139426800929512
Arthur,1912,24,0.018590240123934933
Donald,1912,23,0.017815646785437646
Richard,1912,21,0.016266460108443067
Kenneth,1912,20,0.015491866769945779
Walter,1912,19,0.01471727343144849
Albert,1912,18,0.013942680092951201
David,1912,17,0.013168086754453912
Fred,1912,17,0.013168086754453912
Raymond,1912,17,0.013168086754453912
Thomas,1912,17,0.013168086754453912
Clarence,1912,15,0.011618900077459334
Carl,1912,14,0.010844306738962044
Leonard,1912,14,0.010844306738962044
Joe,1912,13,0.010069713400464756
Elmer,1912,12,0.009295120061967466
Henry,1912,12,0.009295120061967466
Lawrence,1912,12,0.009295120061967466
Louis,1912,12,0.009295120061967466
Ralph,1912,12,0.009295120061967466
Roy,1912,12,0.009295120061967466
Theodore,1912,12,0.009295120061967466
Alfred,1912,11,0.008520526723470178
Earl,1912,11,0.008520526723470178
Herbert,1912,11,0.008520526723470178
Howard,1912,11,0.008520526723470178
Peter,1912,11,0.008520526723470178
Don,1912,10,0.0077459333849728895
Edwin,1912,10,0.0077459333849728895
Paul,1912,10,0.0077459333849728895
Chester,1912,9,0.006971340046475601
Ernest,1912,9,0.006971340046475601
Eugene,1912,9,0.006971340046475601
Francis,1912,9,0.006971340046475601
Leo,1912,9,0.006971340046475601
Lester,1912,9,0.006971340046475601
Melvin,1912,9,0.006971340046475601
Glenn,1912,8,0.006196746707978312
Phillip,1912,8,0.006196746707978312
Andrew,1912,7,0.005422153369481022
Anthony,1912,7,0.005422153369481022
Clifford,1912,7,0.005422153369481022
Daniel,1912,7,0.005422153369481022
Gerald,1912,7,0.005422153369481022
Gilbert,1912,7,0.005422153369481022
Gordon,1912,7,0.005422153369481022
Norman,1912,7,0.005422153369481022
Patrick,1912,7,0.005422153369481022
Victor,1912,7,0.005422153369481022
Wayne,1912,7,0.005422153369481022
Leroy,1912,6,0.004647560030983733
Lloyd,1912,6,0.004647560030983733
Milton,1912,6,0.004647560030983733
Otto,1912,6,0.004647560030983733
Philip,1912,6,0.004647560030983733
Samuel,1912,6,0.004647560030983733
Stanley,1912,6,0.004647560030983733
Stephen,1912,6,0.004647560030983733
Alex,1912,5,0.0038729666924864447
Alvin,1912,5,0.0038729666924864447
Floyd,1912,5,0.0038729666924864447
Frederick,1912,5,0.0038729666924864447
Martin,1912,5,0.0038729666924864447
Morris,1912,5,0.0038729666924864447
Ray,1912,5,0.0038729666924864447
Russell,1912,5,0.0038729666924864447
Woodrow,1912,5,0.0038729666924864447
John,1913,142,0.07461902259590121
William,1913,99,0.05202312138728324
Robert,1913,90,0.047293746715712036
James,1913,88,0.046242774566473986
George,1913,79,0.04151339989490278
Charles,1913,67,0.03520756699947451
Joseph,1913,57,0.02995270625328429
Frank,1913,45,0.023646873357856018
Donald,1913,42,0.02207041513399895
Arthur,1913,41,0.021544929059379925
Edward,1913,38,0.019968470835522858
Walter,1913,36,0.018917498686284815
Albert,1913,34,0.01786652653704677
Thomas,1913,34,0.01786652653704677
Harold,1913,31,0.0162900683131897
Richard,1913,31,0.0162900683131897
Harry,1913,30,0.015764582238570676
Henry,1913,30,0.015764582238570676
Jack,1913,28,0.014713610089332634
Earl,1913,27,0.01418812401471361
Howard,1913,25,0.013137151865475564
Carl,1913,24,0.012611665790856543
Fred,1913,22,0.011560693641618497
Kenneth,1913,22,0.011560693641618497
Paul,1913,22,0.011560693641618497
Louis,1913,19,0.009984235417761429
Francis,1913,18,0.009458749343142408
Lloyd,1913,18,0.009458749343142408
Peter,1913,17,0.008933263268523384
Ralph,1913,17,0.008933263268523384
Raymond,1913,17,0.008933263268523384
Edwin,1913,16,0.008407777193904361
Leonard,1913,16,0.008407777193904361
Clarence,1913,15,0.007882291119285338
David,1913,15,0.007882291119285338
Stanley,1913,15,0.007882291119285338
Andrew,1913,14,0.007356805044666317
Eugene,1913,14,0.007356805044666317
Lawrence,1913,13,0.006831318970047294
Norman,1913,13,0.006831318970047294
Bernard,1913,12,0.006305832895428271
Elmer,1913,12,0.006305832895428271
Ernest,1913,12,0.006305832895428271
Lester,1913,12,0.006305832895428271
Ray,1913,12,0.006305832895428271
Daniel,1913,11,0.005780346820809248
Frederick,1913,11,0.005780346820809248
Glenn,1913,11,0.005780346820809248
Gordon,1913,11,0.005780346820809248
Herbert,1913,11,0.005780346820809248
Joe,1913,11,0.005780346820809248
Roy,1913,11,0.005780346820809248
Alfred,1913,10,0.005254860746190226
Clifford,1913,10,0.005254860746190226
Leslie,1913,10,0.005254860746190226
Lewis,1913,10,0.005254860746190226
Cecil,1913,9,0.004729374671571204
Don,1913,9,0.004729374671571204
Harvey,1913,9,0.004729374671571204
Michael,1913,9,0.004729374671571204
Everett,1913,8,0.004203888596952181
Percy,1913,8,0.004203888596952181
Russell,1913,8,0.004203888596952181
Samuel,1913,8,0.004203888596952181
Alvin,1913,7,0.0036784025223331584
Archie,1913,7,0.0036784025223331584
Arnold,1913,7,0.0036784025223331584
Emil,1913,7,0.0036784025223331584
Herman,1913,7,0.0036784025223331584
Hugh,1913,7,0.0036784025223331584
Orville,1913,7,0.0036784025223331584
Patrick,1913,7,0.0036784025223331584
Stephen,1913,7,0.0036784025223331584
Theodore,1913,7,0.0036784025223331584
Wayne,1913,7,0.0036784025223331584
Alex,1913,6,0.0031529164477141357
Allen,1913,6,0.0031529164477141357
Benjamin,1913,6,0.0031529164477141357
Floyd,1913,6,0.0031529164477141357
Gerald,1913,6,0.0031529164477141357
Gilbert,1913,6,0.0031529164477141357
Ivan,1913,6,0.0031529164477141357
Jesse,1913,6,0.0031529164477141357
Lee,1913,6,0.0031529164477141357
Nick,1913,6,0.0031529164477141357
Philip,1913,6,0.0031529164477141357
Rudolph,1913,6,0.0031529164477141357
Vernon,1913,6,0.0031529164477141357
Victor,1913,6,0.0031529164477141357
Willard,1913,6,0.0031529164477141357
Alexander,1913,5,0.002627430373095113
August,1913,5,0.002627430373095113
Byron,1913,5,0.002627430373095113
Clyde,1913,5,0.002627430373095113
Edgar,1913,5,0.002627430373095113
Glen,1913,5,0.002627430373095113
Leo,1913,5,0.002627430373095113
Mark,1913,5,0.002627430373095113
Marvin,1913,5,0.002627430373095113
Maurice,1913,5,0.002627430373095113
Milton,1913,5,0.002627430373095113
Vincent,1913,5,0.002627430373095113
Warren,1913,5,0.002627430373095113
Woodrow,1913,5,0.002627430373095113
John,1914,177,0.06471663619744059
William,1914,170,0.062157221206581355
Robert,1914,139,0.05082266910420475
George,1914,114,0.041681901279707494
James,1914,106,0.038756855575868374
Charles,1914,81,0.029616087751371114
Frank,1914,69,0.02522851919561243
Arthur,1914,56,0.020475319926873858
Joseph,1914,55,0.02010968921389397
Edward,1914,53,0.019378427787934187
Walter,1914,51,0.018647166361974405
Donald,1914,48,0.017550274223034734
Albert,1914,46,0.016819012797074956
Paul,1914,45,0.016453382084095063
Harold,1914,43,0.015722120658135285
Harry,1914,43,0.015722120658135285
Richard,1914,43,0.015722120658135285
Henry,1914,41,0.014990859232175503
Jack,1914,40,0.014625228519195612
Thomas,1914,38,0.013893967093235832
Ralph,1914,37,0.013528336380255941
Raymond,1914,34,0.01243144424131627
Carl,1914,31,0.0113345521023766
Clarence,1914,30,0.010968921389396709
Fred,1914,30,0.010968921389396709
Kenneth,1914,29,0.01060329067641682
Roy,1914,29,0.01060329067641682
Howard,1914,28,0.010237659963436929
Francis,1914,27,0.009872029250457038
Melvin,1914,23,0.008409506398537478
Elmer,1914,22,0.008043875685557587
Earl,1914,21,0.007678244972577696
Clifford,1914,20,0.007312614259597806
David,1914,20,0.007312614259597806
Ernest,1914,20,0.007312614259597806
Norman,1914,20,0.007312614259597806
Alfred,1914,19,0.006946983546617916
Eugene,1914,19,0.006946983546617916
Leo,1914,18,0.006581352833638025
Lloyd,1914,18,0.006581352833638025
Louis,1914,18,0.006581352833638025
Daniel,1914,17,0.006215722120658135
Leonard,1914,17,0.006215722120658135
Glen,1914,16,0.005850091407678245
Joe,1914,16,0.005850091407678245
Peter,1914,16,0.005850091407678245
Stanley,1914,16,0.005850091407678245
Ray,1914,15,0.005484460694698354
Floyd,1914,14,0.005118829981718464
Lawrence,1914,14,0.005118829981718464
Leslie,1914,14,0.005118829981718464
Wayne,1914,14,0.005118829981718464
Gordon,1914,13,0.004753199268738574
Lester,1914,13,0.004753199268738574
Orville,1914,13,0.004753199268738574
Oscar,1914,13,0.004753199268738574
Willard,1914,13,0.004753199268738574
Alvin,1914,12,0.0043875685557586835
Frederick,1914,12,0.0043875685557586835
Glenn,1914,12,0.0043875685557586835
Martin,1914,12,0.0043875685557586835
Andrew,1914,11,0.0040219378427787935
Bernard,1914,11,0.0040219378427787935
Patrick,1914,11,0.0040219378427787935
Claude,1914,10,0.003656307129798903
Gerald,1914,10,0.003656307129798903
Harvey,1914,10,0.003656307129798903
Herbert,1914,10,0.003656307129798903
Marvin,1914,10,0.003656307129798903
Maurice,1914,10,0.003656307129798903
Russell,1914,10,0.003656307129798903
Anthony,1914,9,0.0032906764168190127
Arnold,1914,9,0.0032906764168190127
Chester,1914,9,0.0032906764168190127
Clyde,1914,9,0.0032906764168190127
Edwin,1914,9,0.0032906764168190127
Herman,1914,9,0.0032906764168190127
Lyle,1914,9,0.0032906764168190127
Milton,1914,9,0.0032906764168190127
Sam,1914,9,0.0032906764168190127
Vernon,1914,9,0.0032906764168190127
Alex,1914,8,0.0029250457038391227
Bert,1914,8,0.0029250457038391227
Don,1914,8,0.0029250457038391227
Ronald,1914,8,0.0029250457038391227
Samuel,1914,8,0.0029250457038391227
Victor,1914,8,0.0029250457038391227
Wesley,1914,8,0.0029250457038391227
Allen,1914,7,0.002559414990859232
Cecil,1914,7,0.002559414990859232
Edgar,1914,7,0.002559414990859232
Edmund,1914,7,0.002559414990859232
Emil,1914,7,0.002559414990859232
Gilbert,1914,7,0.002559414990859232
Irvin,1914,7,0.002559414990859232
Mike,1914,7,0.002559414990859232
Tom,1914,7,0.002559414990859232
Virgil,1914,7,0.002559414990859232
Anton,1914,6,0.0021937842778793418
Bruce,1914,6,0.0021937842778793418
Byron,1914,6,0.0021937842778793418
Dan,1914,6,0.0021937842778793418
Eddie,1914,6,0.0021937842778793418
Everett,1914,6,0.0021937842778793418
Homer,1914,6,0.0021937842778793418
Larry,1914,6,0.0021937842778793418
Lowell,1914,6,0.0021937842778793418
Michael,1914,6,0.0021937842778793418
Morris,1914,6,0.0021937842778793418
Oliver,1914,6,0.0021937842778793418
Philip,1914,6,0.0021937842778793418
Rudolph,1914,6,0.0021937842778793418
Sidney,1914,6,0.0021937842778793418
Theodore,1914,6,0.0021937842778793418
Warren,1914,6,0.0021937842778793418
Wilbur,1914,6,0.0021937842778793418
Boyd,1914,5,0.0018281535648994515
Gene,1914,5,0.0018281535648994515
Hugh,1914,5,0.0018281535648994515
