name,year,count,proportion
John,1910,358,0.09752111141378371
Joseph,1910,244,0.06646690275129392
William,1910,222,0.060473985290111686
James,1910,171,0.04658131299373468
Frank,1910,142,0.03868155815853991
Charles,1910,139,0.03786434214110596
George,1910,133,0.036229910106238085
Edward,1910,125,0.03405066739308091
Robert,1910,89,0.024244075183873604
Michael,1910,77,0.02097521111413784
Thomas,1910,77,0.02097521111413784
Anthony,1910,76,0.02070280577499319
Harry,1910,67,0.018251157722691366
Albert,1910,65,0.01770634704440207
Louis,1910,62,0.016889131026968127
Walter,1910,57,0.015527104331244893
Henry,1910,56,0.015254698992100245
Harold,1910,55,0.014982293652955598
Paul,1910,55,0.014982293652955598
Arthur,1910,42,0.011441024244075185
Francis,1910,41,0.011168618904930537
Raymond,1910,41,0.011168618904930537
Stanley,1910,38,0.010351402887496594
Andrew,1910,36,0.0098065922092073
Alfred,1910,35,0.009534186870062654
Nicholas,1910,33,0.008989376191773358
Stephen,1910,33,0.008989376191773358
Richard,1910,32,0.008716970852628712
Peter,1910,31,0.008444565513484064
Samuel,1910,31,0.008444565513484064
David,1910,29,0.00789975483519477
Ralph,1910,27,0.007354944156905475
Theodore,1910,27,0.007354944156905475
Clarence,1910,24,0.006537728139471534
Fred,1910,24,0.006537728139471534
Vincent,1910,24,0.006537728139471534
Benjamin,1910,23,0.006265322800326887
Howard,1910,23,0.006265322800326887
Frederick,1910,22,0.0059929174611822395
Russell,1910,22,0.0059929174611822395
Philip,1910,21,0.005720512122037592
Herbert,1910,20,0.005448106782892944
Jack,1910,20,0.005448106782892944
Dominick,1910,19,0.005175701443748297
Kenneth,1910,19,0.005175701443748297
Milton,1910,19,0.005175701443748297
Alexander,1910,18,0.00490329610460365
Donald,1910,18,0.00490329610460365
Lawrence,1910,18,0.00490329610460365
Chester,1910,17,0.004630890765459003
Daniel,1910,17,0.004630890765459003
Angelo,1910,16,0.004358485426314356
Herman,1910,16,0.004358485426314356
Leonard,1910,16,0.004358485426314356
Martin,1910,16,0.004358485426314356
Edwin,1910,15,0.004086080087169709
Irving,1910,15,0.004086080087169709
Sam,1910,15,0.004086080087169709
Bernard,1910,14,0.003813674748025061
Ernest,1910,14,0.003813674748025061
Elmer,1910,13,0.003541269408880414
Eugene,1910,13,0.003541269408880414
Leon,1910,12,0.003268864069735767
Norman,1910,12,0.003268864069735767
Clifford,1910,11,0.0029964587305911197
Everett,1910,11,0.0029964587305911197
Matthew,1910,11,0.0029964587305911197
Morris,1910,11,0.0029964587305911197
Patrick,1910,11,0.0029964587305911197
Salvatore,1910,11,0.0029964587305911197
Steve,1910,11,0.0029964587305911197
Victor,1910,11,0.0029964587305911197
Carl,1910,10,0.002724053391446472
Jacob,1910,10,0.002724053391446472
Julius,1910,10,0.002724053391446472
Leo,1910,10,0.002724053391446472
Lewis,1910,10,0.002724053391446472
Rudolph,1910,10,0.002724053391446472
Earl,1910,9,0.002451648052301825
Oscar,1910,9,0.002451648052301825
Roy,1910,9,0.002451648052301825
Wilbur,1910,9,0.002451648052301825
Edmund,1910,8,0.002179242713157178
Rocco,1910,8,0.002179242713157178
Dominic,1910,7,0.0019068373740125306
Douglas,1910,7,0.0019068373740125306
Jay,1910,7,0.0019068373740125306
Jerome,1910,7,0.0019068373740125306
Joe,1910,7,0.0019068373740125306
Nick,1910,7,0.0019068373740125306
Adam,1910,6,0.0016344320348678834
Alex,1910,6,0.0016344320348678834
Bruno,1910,6,0.0016344320348678834
Edgar,1910,6,0.0016344320348678834
Edmond,1910,6,0.0016344320348678834
Elwood,1910,6,0.0016344320348678834
Gerald,1910,6,0.0016344320348678834
Jerry,1910,6,0.0016344320348678834
Leroy,1910,6,0.0016344320348678834
Max,1910,6,0.0016344320348678834
