name,year,count,proportion
Mary,1910,10,0.38461538461538464
Mildred,1910,6,0.23076923076923078
Emma,1910,5,0.19230769230769232
Helen,1910,5,0.19230769230769232
Margaret,1911,8,0.16326530612244897
Helen,1911,7,0.14285714285714285
Dorothy,1911,6,0.12244897959183673
Louise,1911,6,0.12244897959183673
Mary,1911,6,0.12244897959183673
Virginia,1911,6,0.12244897959183673
Alice,1911,5,0.10204081632653061
Esther,1911,5,0.10204081632653061
Dorothy,1912,8,0.19047619047619047
Helen,1912,7,0.16666666666666666
Josephine,1912,7,0.16666666666666666
Irene,1912,5,0.11904761904761904
Louise,1912,5,0.11904761904761904
Margaret,1912,5,0.11904761904761904
Mary,1912,5,0.11904761904761904
Mary,1913,21,0.16279069767441862
Helen,1913,13,0.10077519379844961
Dorothy,1913,10,0.07751937984496124
Florence,1913,9,0.06976744186046512
Margaret,1913,9,0.06976744186046512
Mildred,1913,9,0.06976744186046512
Edna,1913,8,0.06201550387596899
Jean,1913,7,0.05426356589147287
Alice,1913,6,0.046511627906976744
Marion,1913,6,0.046511627906976744
Ruth,1913,6,0.046511627906976744
Bernice,1913,5,0.03875968992248062
Evelyn,1913,5,0.03875968992248062
Ida,1913,5,0.03875968992248062
Josephine,1913,5,0.03875968992248062
Marie,1913,5,0.03875968992248062
Ruth,1914,15,0.075
Dorothy,1914,13,0.065
Mary,1914,12,0.06
Alice,1914,11,0.055
Helen,1914,11,0.055
Louise,1914,10,0.05
Margaret,1914,10,0.05
Elizabeth,1914,8,0.04
Marie,1914,8,0.04
Virginia,1914,8,0.04
Florence,1914,7,0.035
Lois,1914,7,0.035
Clara,1914,6,0.03
Edith,1914,6,0.03
Irene,1914,6,0.03
Josephine,1914,6,0.03
Stella,1914,6,0.03
Adele,1914,5,0.025
Anne,1914,5,0.025
Doris,1914,5,0.025
Eleanor,1914,5,0.025
Evelyn,1914,5,0.025
Frances,1914,5,0.025
Ida,1914,5,0.025
Mildred,1914,5,0.025
Rose,1914,5,0.025
Thelma,1914,5,0.025
Mary,1915,27,0.12735849056603774
Margaret,1915,18,0.08490566037735849
Ruth,1915,14,0.0660377358490566
Helen,1915,13,0.06132075471698113
Dorothy,1915,12,0.05660377358490566
Louise,1915,11,0.05188679245283019
June,1915,10,0.04716981132075472
Josephine,1915,8,0.03773584905660377
Alice,1915,7,0.0330188679245283
Frances,1915,7,0.0330188679245283
Ida,1915,7,0.0330188679245283
Virginia,1915,7,0.0330188679245283
Elizabeth,1915,6,0.02830188679245283
Evelyn,1915,6,0.02830188679245283
Florence,1915,6,0.02830188679245283
Hazel,1915,6,0.02830188679245283
Lena,1915,6,0.02830188679245283
Mildred,1915,6,0.02830188679245283
Betty,1915,5,0.02358490566037736
Esther,1915,5,0.02358490566037736
Ethel,1915,5,0.02358490566037736
Jane,1915,5,0.02358490566037736
Lillian,1915,5,0.02358490566037736
Lois,1915,5,0.02358490566037736
Marie,1915,5,0.02358490566037736
Mary,1916,40,0.14492753623188406
Dorothy,1916,17,0.06159420289855073
Alice,1916,14,0.050724637681159424
Frances,1916,12,0.043478260869565216
Irene,1916,11,0.03985507246376811
Margaret,1916,11,0.03985507246376811
Catherine,1916,10,0.036231884057971016
Helen,1916,10,0.036231884057971016
Ruth,1916,10,0.036231884057971016
Edith,1916,9,0.03260869565217391
Grace,1916,9,0.03260869565217391
