name,year,count,proportion
John,1910,61,0.10701754385964912
William,1910,48,0.08421052631578947
Robert,1910,40,0.07017543859649122
James,1910,30,0.05263157894736842
Charles,1910,29,0.05087719298245614
George,1910,29,0.05087719298245614
Frank,1910,19,0.03333333333333333
Edward,1910,17,0.02982456140350877
Walter,1910,17,0.02982456140350877
Donald,1910,14,0.02456140350877193
Joseph,1910,14,0.02456140350877193
Harold,1910,12,0.021052631578947368
Henry,1910,12,0.021052631578947368
Richard,1910,12,0.021052631578947368
Roy,1910,11,0.01929824561403509
Arthur,1910,10,0.017543859649122806
Howard,1910,10,0.017543859649122806
Jack,1910,10,0.017543859649122806
Thomas,1910,10,0.017543859649122806
Harry,1910,9,0.015789473684210527
Ralph,1910,9,0.015789473684210527
Albert,1910,8,0.014035087719298246
Carl,1910,8,0.014035087719298246
Clarence,1910,8,0.014035087719298246
Earl,1910,8,0.014035087719298246
Ernest,1910,8,0.014035087719298246
Elmer,1910,7,0.012280701754385965
Francis,1910,7,0.012280701754385965
Lawrence,1910,7,0.012280701754385965
Leo,1910,7,0.012280701754385965
Melvin,1910,7,0.012280701754385965
Ray,1910,7,0.012280701754385965
Raymond,1910,7,0.012280701754385965
Edwin,1910,6,0.010526315789473684
Fred,1910,6,0.010526315789473684
Kenneth,1910,6,0.010526315789473684
Alvin,1910,5,0.008771929824561403
Chester,1910,5,0.008771929824561403
Clyde,1910,5,0.008771929824561403
David,1910,5,0.008771929824561403
Eugene,1910,5,0.008771929824561403
Joe,1910,5,0.008771929824561403
Lester,1910,5,0.008771929824561403
Lloyd,1910,5,0.008771929824561403
John,1911,53,0.0703851261620186
James,1911,39,0.05179282868525897
William,1911,39,0.05179282868525897
Robert,1911,38,0.05046480743691899
George,1911,37,0.049136786188579015
Charles,1911,29,0.03851261620185923
Harold,1911,27,0.035856573705179286
Jack,1911,25,0.033200531208499334
Donald,1911,23,0.03054448871181939
Edward,1911,22,0.029216467463479414
Frank,1911,22,0.029216467463479414
Paul,1911,21,0.027888446215139442
Walter,1911,20,0.02656042496679947
Henry,1911,18,0.02390438247011952
Kenneth,1911,16,0.021248339973439574
Raymond,1911,16,0.021248339973439574
Joseph,1911,14,0.01859229747675963
Ralph,1911,14,0.01859229747675963
Thomas,1911,14,0.01859229747675963
Harry,1911,12,0.01593625498007968
Howard,1911,11,0.014608233731739707
Richard,1911,11,0.014608233731739707
Melvin,1911,10,0.013280212483399735
Carl,1911,9,0.01195219123505976
Louis,1911,9,0.01195219123505976
Vernon,1911,9,0.01195219123505976
Earl,1911,8,0.010624169986719787
Elmer,1911,8,0.010624169986719787
Fred,1911,8,0.010624169986719787
Roy,1911,8,0.010624169986719787
David,1911,7,0.009296148738379814
Eugene,1911,7,0.009296148738379814
Lawrence,1911,7,0.009296148738379814
Ray,1911,7,0.009296148738379814
Theodore,1911,7,0.009296148738379814
Alvin,1911,6,0.00796812749003984
Arthur,1911,6,0.00796812749003984
Edwin,1911,6,0.00796812749003984
Glen,1911,6,0.00796812749003984
Stanley,1911,6,0.00796812749003984
Tom,1911,6,0.00796812749003984
Wayne,1911,6,0.00796812749003984
Willard,1911,6,0.00796812749003984
Albert,1911,5,0.006640106241699867
Alfred,1911,5,0.006640106241699867
Allen,1911,5,0.006640106241699867
Cecil,1911,5,0.006640106241699867
Clarence,1911,5,0.006640106241699867
Don,1911,5,0.006640106241699867
Ernest,1911,5,0.006640106241699867
Francis,1911,5,0.006640106241699867
Gordon,1911,5,0.006640106241699867
Herbert,1911,5,0.006640106241699867
Lester,1911,5,0.006640106241699867
Marvin,1911,5,0.006640106241699867
Norman,1911,5,0.006640106241699867
Oscar,1911,5,0.006640106241699867
Rex,1911,5,0.006640106241699867
Virgil,1911,5,0.006640106241699867
Robert,1912,114,0.060221870047543584
John,1912,113,0.05969360802958267
William,1912,106,0.055995773903856315
James,1912,88,0.04648705758055996
George,1912,79,0.04173269941891178
Harold,1912,50,0.02641310089804543
Donald,1912,46,0.024300052826201797
Charles,1912,44,0.02324352879027998
Richard,1912,43,0.02271526677231907
Jack,1912,39,0.020602218700475437
Kenneth,1912,37,0.01954569466455362
Frank,1912,36,0.01901743264659271
Harry,1912,33,0.017432646592709985
Walter,1912,32,0.016904384574749076
Joseph,1912,31,0.016376122556788168
Clarence,1912,30,0.01584786053882726
Earl,1912,26,0.013734812466983624
Ernest,1912,26,0.013734812466983624
Henry,1912,26,0.013734812466983624
Ralph,1912,26,0.013734812466983624
Thomas,1912,25,0.013206550449022716
Edward,1912,24,0.012678288431061807
Arthur,1912,23,0.012150026413100899
David,1912,23,0.012150026413100899
Raymond,1912,23,0.012150026413100899
Fred,1912,22,0.01162176439513999
Carl,1912,21,0.011093502377179081
Albert,1912,19,0.010036978341257264
Claude,1912,19,0.010036978341257264
Howard,1912,19,0.010036978341257264
Paul,1912,19,0.010036978341257264
Herbert,1912,18,0.009508716323296355
Lloyd,1912,18,0.009508716323296355
Roy,1912,18,0.009508716323296355
Alfred,1912,17,0.008980454305335447
Francis,1912,17,0.008980454305335447
Glenn,1912,17,0.008980454305335447
Louis,1912,17,0.008980454305335447
Chester,1912,16,0.008452192287374538
Eugene,1912,16,0.008452192287374538
Lawrence,1912,16,0.008452192287374538
Clifford,1912,15,0.00792393026941363
Ronald,1912,14,0.007395668251452721
Stanley,1912,14,0.007395668251452721
Elmer,1912,13,0.006867406233491812
Ray,1912,13,0.006867406233491812
Andrew,1912,12,0.006339144215530904
Virgil,1912,12,0.006339144215530904
Joe,1912,11,0.005810882197569995
Leonard,1912,11,0.005810882197569995
Lester,1912,11,0.005810882197569995
Victor,1912,11,0.005810882197569995
Lee,1912,10,0.005282620179609086
Lewis,1912,10,0.005282620179609086
Cecil,1912,9,0.004754358161648178
Edwin,1912,9,0.004754358161648178
Gerald,1912,9,0.004754358161648178
Marvin,1912,9,0.004754358161648178
Delbert,1912,8,0.004226096143687269
Everett,1912,8,0.004226096143687269
Frederick,1912,8,0.004226096143687269
Gilbert,1912,8,0.004226096143687269
Melvin,1912,8,0.004226096143687269
Norman,1912,8,0.004226096143687269
Philip,1912,8,0.004226096143687269
Vernon,1912,8,0.004226096143687269
Archie,1912,7,0.0036978341257263604
Arnold,1912,7,0.0036978341257263604
Bernard,1912,7,0.0036978341257263604
Gordon,1912,7,0.0036978341257263604
Jesse,1912,7,0.0036978341257263604
Marion,1912,7,0.0036978341257263604
Sam,1912,7,0.0036978341257263604
Vincent,1912,7,0.0036978341257263604
Wilbur,1912,7,0.0036978341257263604
Wilfred,1912,7,0.0036978341257263604
Willard,1912,7,0.0036978341257263604
Willis,1912,7,0.0036978341257263604
Bruce,1912,6,0.003169572107765452
Dale,1912,6,0.003169572107765452
Harvey,1912,6,0.003169572107765452
Leroy,1912,6,0.003169572107765452
Leslie,1912,6,0.003169572107765452
Loren,1912,6,0.003169572107765452
Wallace,1912,6,0.003169572107765452
Warren,1912,6,0.003169572107765452
Wayne,1912,6,0.003169572107765452
Woodrow,1912,6,0.003169572107765452
Clyde,1912,5,0.002641310089804543
Floyd,1912,5,0.002641310089804543
Glen,1912,5,0.002641310089804543
Leland,1912,5,0.002641310089804543
Lowell,1912,5,0.002641310089804543
