name,year,count,proportion
John,1910,66,0.11978221415607986
Joseph,1910,56,0.10163339382940109
William,1910,37,0.06715063520871144
James,1910,35,0.06352087114337568
George,1910,26,0.047186932849364795
Charles,1910,24,0.043557168784029036
Edward,1910,21,0.038112522686025406
Henry,1910,18,0.032667876588021776
Francis,1910,16,0.029038112522686024
Arthur,1910,15,0.02722323049001815
Frank,1910,15,0.02722323049001815
Harold,1910,14,0.025408348457350273
Walter,1910,14,0.025408348457350273
Raymond,1910,13,0.023593466424682397
Thomas,1910,13,0.023593466424682397
Anthony,1910,12,0.021778584392014518
Robert,1910,12,0.021778584392014518
Albert,1910,11,0.019963702359346643
Alfred,1910,11,0.019963702359346643
Ernest,1910,10,0.018148820326678767
Louis,1910,10,0.018148820326678767
Frederick,1910,9,0.016333938294010888
Leo,1910,9,0.016333938294010888
Richard,1910,9,0.016333938294010888
Harry,1910,8,0.014519056261343012
Paul,1910,8,0.014519056261343012
Peter,1910,8,0.014519056261343012
Stanley,1910,7,0.012704174228675136
Vincent,1910,7,0.012704174228675136
Clarence,1910,6,0.010889292196007259
Herbert,1910,6,0.010889292196007259
Chester,1910,5,0.009074410163339383
Daniel,1910,5,0.009074410163339383
Eugene,1910,5,0.009074410163339383
Lawrence,1910,5,0.009074410163339383
Manuel,1910,5,0.009074410163339383
John,1911,110,0.09181969949916527
Joseph,1911,108,0.09015025041736227
William,1911,65,0.05425709515859766
George,1911,63,0.052587646076794656
James,1911,57,0.04757929883138564
Edward,1911,51,0.04257095158597663
Frank,1911,37,0.030884808013355594
Charles,1911,36,0.03005008347245409
Thomas,1911,36,0.03005008347245409
Raymond,1911,32,0.02671118530884808
Robert,1911,32,0.02671118530884808
Albert,1911,30,0.025041736227045076
Anthony,1911,26,0.021702838063439065
Henry,1911,26,0.021702838063439065
Arthur,1911,25,0.020868113522537562
Harry,1911,21,0.017529215358931552
Leo,1911,20,0.01669449081803005
Louis,1911,19,0.015859766277128547
Francis,1911,18,0.015025041736227046
Peter,1911,18,0.015025041736227046
Alfred,1911,17,0.014190317195325543
Ernest,1911,17,0.014190317195325543
Harold,1911,14,0.011686143572621035
Walter,1911,14,0.011686143572621035
Frederick,1911,12,0.01001669449081803
Manuel,1911,12,0.01001669449081803
Michael,1911,12,0.01001669449081803
David,1911,11,0.009181969949916527
Carl,1911,10,0.008347245409015025
Eugene,1911,10,0.008347245409015025
Herbert,1911,10,0.008347245409015025
Paul,1911,10,0.008347245409015025
Fred,1911,9,0.007512520868113523
Russell,1911,9,0.007512520868113523
Samuel,1911,9,0.007512520868113523
Vincent,1911,9,0.007512520868113523
Antonio,1911,8,0.00667779632721202
Donald,1911,8,0.00667779632721202
Philip,1911,8,0.00667779632721202
Richard,1911,8,0.00667779632721202
Bernard,1911,7,0.005843071786310518
Maurice,1911,7,0.005843071786310518
Max,1911,7,0.005843071786310518
Milton,1911,7,0.005843071786310518
Theodore,1911,7,0.005843071786310518
Andrew,1911,6,0.005008347245409015
Chester,1911,6,0.005008347245409015
Daniel,1911,6,0.005008347245409015
Earl,1911,6,0.005008347245409015
Edgar,1911,6,0.005008347245409015
Kenneth,1911,6,0.005008347245409015
Leonard,1911,6,0.005008347245409015
Norman,1911,6,0.005008347245409015
Roland,1911,6,0.005008347245409015
Salvatore,1911,6,0.005008347245409015
Stanley,1911,6,0.005008347245409015
Clarence,1911,5,0.004173622704507512
Earle,1911,5,0.004173622704507512
Howard,1911,5,0.004173622704507512
Jesse,1911,5,0.004173622704507512
Leon,1911,5,0.004173622704507512
Oscar,1911,5,0.004173622704507512
Pasquale,1911,5,0.004173622704507512
Roy,1911,5,0.004173622704507512
Victor,1911,5,0.004173622704507512
Wilfred,1911,5,0.004173622704507512
John,1912,172,0.08898085876875324
Joseph,1912,123,0.0636316606311433
William,1912,117,0.060527677185721676
Edward,1912,80,0.04138644593895499
James,1912,75,0.0387997930677703
Charles,1912,69,0.03569580962234868
George,1912,68,0.03517847904811174
Thomas,1912,55,0.028453181583031558
Albert,1912,53,0.027418520434557683
Robert,1912,52,0.026901189860320744
Raymond,1912,48,0.024831867563372995
Anthony,1912,45,0.023279875840662184
Frank,1912,45,0.023279875840662184
Arthur,1912,40,0.020693222969477496
Harold,1912,35,0.01810657009829281
Walter,1912,35,0.01810657009829281
Louis,1912,33,0.017071908949818936
Henry,1912,32,0.016554578375581996
Ernest,1912,30,0.015519917227108122
Francis,1912,30,0.015519917227108122
Leo,1912,25,0.012933264355923435
Ralph,1912,24,0.012415933781686497
Michael,1912,23,0.01189860320744956
Alfred,1912,19,0.00982928091050181
Frederick,1912,18,0.009311950336264873
Harry,1912,18,0.009311950336264873
Paul,1912,17,0.008794619762027936
Vincent,1912,17,0.008794619762027936
Antonio,1912,15,0.007759958613554061
Fred,1912,15,0.007759958613554061
Milton,1912,15,0.007759958613554061
Norman,1912,14,0.007242628039317123
Peter,1912,14,0.007242628039317123
Richard,1912,14,0.007242628039317123
Everett,1912,13,0.006725297465080186
Howard,1912,13,0.006725297465080186
Samuel,1912,13,0.006725297465080186
Philip,1912,12,0.006207966890843249
Angelo,1912,11,0.005690636316606311
Daniel,1912,11,0.005690636316606311
Eugene,1912,11,0.005690636316606311
Kenneth,1912,11,0.005690636316606311
Manuel,1912,11,0.005690636316606311
Nicholas,1912,11,0.005690636316606311
Russell,1912,11,0.005690636316606311
Salvatore,1912,11,0.005690636316606311
Stanley,1912,11,0.005690636316606311
Theodore,1912,11,0.005690636316606311
Edmund,1912,10,0.005173305742369374
Herbert,1912,10,0.005173305742369374
Leonard,1912,10,0.005173305742369374
Andrew,1912,9,0.0046559751681324365
Pasquale,1912,9,0.0046559751681324365
Benjamin,1912,8,0.004138644593895499
David,1912,8,0.004138644593895499
Donald,1912,8,0.004138644593895499
Earl,1912,8,0.004138644593895499
Lawrence,1912,8,0.004138644593895499
Morris,1912,8,0.004138644593895499
Abraham,1912,7,0.0036213140196585617
Armand,1912,7,0.0036213140196585617
