name,year,count,proportion
Mary,1910,602,0.06432998503953836
Annie,1910,305,0.03259243428082924
Louise,1910,173,0.018486856165847405
Rosa,1910,145,0.015494763838427014
Elizabeth,1910,144,0.015387903398162001
Ruth,1910,144,0.015387903398162001
Ethel,1910,143,0.015281042957896987
Bessie,1910,135,0.014426159435776876
Carrie,1910,131,0.01399871767471682
Sarah,1910,128,0.013678136353921778
Mattie,1910,123,0.013143834152596708
Marie,1910,119,0.012716392391536654
Hattie,1910,116,0.012395811070741612
Maggie,1910,114,0.012182090190211584
Lillie,1910,111,0.011861508869416542
Bertha,1910,107,0.011434067108356486
Margaret,1910,101,0.010792904466766402
Willie,1910,101,0.010792904466766402
Anna,1910,97,0.010365462705706348
Mamie,1910,94,0.010044881384911306
Minnie,1910,93,0.009938020944646292
Alice,1910,92,0.009831160504381278
Ella,1910,89,0.009510579183586236
Frances,1910,88,0.009403718743321222
Ida,1910,88,0.009403718743321222
Julia,1910,88,0.009403718743321222
Lucille,1910,86,0.009189997862791194
Jessie,1910,85,0.00908313742252618
Emma,1910,84,0.008976276982261167
Eva,1910,84,0.008976276982261167
Helen,1910,83,0.008869416541996153
Martha,1910,81,0.008655695661466125
Viola,1910,81,0.008655695661466125
Lillian,1910,79,0.008441974780936097
Pearl,1910,78,0.008335114340671083
Gladys,1910,76,0.008121393460141057
Janie,1910,76,0.008121393460141057
Daisy,1910,72,0.007693951699081001
Geneva,1910,72,0.007693951699081001
Ruby,1910,71,0.007587091258815987
Alma,1910,70,0.007480230818550973
Fannie,1910,67,0.007159649497755931
Clara,1910,64,0.006839068176960889
Evelyn,1910,63,0.006732207736695875
Laura,1910,60,0.006411626415900834
Cora,1910,58,0.006197905535370806
Gertrude,1910,58,0.006197905535370806
Irene,1910,58,0.006197905535370806
Essie,1910,57,0.006091045095105792
Lula,1910,56,0.005984184654840778
Mildred,1910,55,0.005877324214575764
Grace,1910,54,0.00577046377431075
Rebecca,1910,54,0.00577046377431075
Sadie,1910,52,0.005556742893780722
Thelma,1910,52,0.005556742893780722
Dorothy,1910,51,0.005449882453515708
Lizzie,1910,51,0.005449882453515708
Nellie,1910,51,0.005449882453515708
Pauline,1910,51,0.005449882453515708
Inez,1910,50,0.005343022013250694
Susie,1910,50,0.005343022013250694
Beatrice,1910,49,0.005236161572985681
Edna,1910,49,0.005236161572985681
Estelle,1910,49,0.005236161572985681
Rose,1910,49,0.005236161572985681
Lucile,1910,48,0.005129301132720667
Florence,1910,47,0.005022440692455653
Lois,1910,47,0.005022440692455653
Sallie,1910,47,0.005022440692455653
Virginia,1910,46,0.004915580252190639
Josephine,1910,45,0.004808719811925625
Lottie,1910,42,0.004488138491130583
Ellen,1910,41,0.004381278050865569
Ada,1910,39,0.004167557170335541
Edith,1910,39,0.004167557170335541
Mabel,1910,38,0.004060696730070528
Agnes,1910,37,0.003953836289805514
Katie,1910,36,0.0038469758495405003
Mae,1910,36,0.0038469758495405003
Alberta,1910,35,0.0037401154092754864
Nancy,1910,35,0.0037401154092754864
Jannie,1910,34,0.0036332549690104724
Beulah,1910,33,0.0035263945287454584
Eliza,1910,33,0.0035263945287454584
Myrtle,1910,33,0.0035263945287454584
Christine,1910,32,0.0034195340884804444
Eunice,1910,32,0.0034195340884804444
Georgia,1910,32,0.0034195340884804444
Henrietta,1910,32,0.0034195340884804444
Sara,1910,32,0.0034195340884804444
Catherine,1910,31,0.0033126736482154305
Dora,1910,31,0.0033126736482154305
Esther,1910,31,0.0033126736482154305
Addie,1910,30,0.003205813207950417
Blanche,1910,30,0.003205813207950417
Eula,1910,30,0.003205813207950417
Maude,1910,30,0.003205813207950417
Nettie,1910,30,0.003205813207950417
Victoria,1910,29,0.003098952767685403
Eloise,1910,27,0.002885231887155375
Hazel,1910,27,0.002885231887155375
Ollie,1910,27,0.002885231887155375
Mable,1910,26,0.002778371446890361
Rachel,1910,26,0.002778371446890361
Vera,1910,26,0.002778371446890361
Leola,1910,25,0.002671511006625347
Lucy,1910,23,0.0024577901260953196
Wilhelmina,1910,23,0.0024577901260953196
Jennie,1910,22,0.0023509296858303056
Lena,1910,22,0.0023509296858303056
Bernice,1910,21,0.0022440692455652916
Cleo,1910,21,0.0022440692455652916
Effie,1910,21,0.0022440692455652916
Katherine,1910,21,0.0022440692455652916
Nora,1910,21,0.0022440692455652916
Juanita,1910,20,0.0021372088053002777
Ola,1910,20,0.0021372088053002777
Rosalie,1910,20,0.0021372088053002777
Sue,1910,20,0.0021372088053002777
Earline,1910,19,0.002030348365035264
Lila,1910,19,0.002030348365035264
Emily,1910,18,0.0019234879247702502
Flora,1910,18,0.0019234879247702502
Flossie,1910,18,0.0019234879247702502
Gussie,1910,18,0.0019234879247702502
Leona,1910,18,0.0019234879247702502
May,1910,18,0.0019234879247702502
Lessie,1910,17,0.0018166274845052362
Anne,1910,16,0.0017097670442402222
Hester,1910,16,0.0017097670442402222
Kate,1910,16,0.0017097670442402222
Albertha,1910,15,0.0016029066039752085
Ann,1910,15,0.0016029066039752085
Isabelle,1910,15,0.0016029066039752085
Leila,1910,15,0.0016029066039752085
Marion,1910,15,0.0016029066039752085
Naomi,1910,15,0.0016029066039752085
Queenie,1910,15,0.0016029066039752085
Rosie,1910,15,0.0016029066039752085
Charlotte,1910,14,0.0014960461637101945
Etta,1910,14,0.0014960461637101945
Kathleen,1910,14,0.0014960461637101945
Lydia,1910,14,0.0014960461637101945
Odessa,1910,14,0.0014960461637101945
Ora,1910,14,0.0014960461637101945
Amanda,1910,13,0.0013891857234451805
Amelia,1910,13,0.0013891857234451805
Della,1910,13,0.0013891857234451805
Elsie,1910,13,0.0013891857234451805
Estella,1910,13,0.0013891857234451805
Gracie,1910,13,0.0013891857234451805
Hallie,1910,13,0.0013891857234451805
Hannah,1910,13,0.0013891857234451805
Lela,1910,13,0.0013891857234451805
Lola,1910,13,0.0013891857234451805
Wilma,1910,13,0.0013891857234451805
Betty,1910,12,0.0012823252831801668
Corine,1910,12,0.0012823252831801668
Elma,1910,12,0.0012823252831801668
Margie,1910,12,0.0012823252831801668
Sylvia,1910,12,0.0012823252831801668
Caroline,1910,11,0.0011754648429151528
Cornelia,1910,11,0.0011754648429151528
Corrie,1910,11,0.0011754648429151528
Dessie,1910,11,0.0011754648429151528
Eleanor,1910,11,0.0011754648429151528
Estell,1910,11,0.0011754648429151528
Eugenia,1910,11,0.0011754648429151528
Florine,1910,11,0.0011754648429151528
Maybelle,1910,11,0.0011754648429151528
Sally,1910,11,0.0011754648429151528
Susan,1910,11,0.0011754648429151528
Violet,1910,11,0.0011754648429151528
Dollie,1910,10,0.0010686044026501388
Marguerite,1910,10,0.0010686044026501388
Nannie,1910,10,0.0010686044026501388
Queen,1910,10,0.0010686044026501388
Roberta,1910,10,0.0010686044026501388
Rosalee,1910,10,0.0010686044026501388
Vivian,1910,10,0.0010686044026501388
Allie,1910,9,9.617439623851251e-4
Amy,1910,9,9.617439623851251e-4
Annabelle,1910,9,9.617439623851251e-4
Corrine,1910,9,9.617439623851251e-4
Doris,1910,9,9.617439623851251e-4
Elise,1910,9,9.617439623851251e-4
