name,year,count,proportion
Helen,1910,60,0.03397508493771234
Mary,1910,58,0.03284258210645526
Ruth,1910,52,0.02944507361268403
Dorothy,1910,50,0.028312570781426953
Florence,1910,49,0.027746319365798414
Margaret,1910,43,0.02434881087202718
Mildred,1910,43,0.02434881087202718
Evelyn,1910,40,0.022650056625141562
Gladys,1910,39,0.022083805209513023
Viola,1910,38,0.021517553793884484
Alice,1910,37,0.020951302378255945
Frances,1910,36,0.020385050962627407
Anna,1910,34,0.01925254813137033
Marie,1910,34,0.01925254813137033
Hazel,1910,31,0.017553793884484713
Esther,1910,30,0.01698754246885617
Lucille,1910,30,0.01698754246885617
Elsie,1910,29,0.01642129105322763
Edna,1910,27,0.015288788221970554
Irene,1910,27,0.015288788221970554
Lillian,1910,27,0.015288788221970554
Clara,1910,25,0.014156285390713477
Myrtle,1910,25,0.014156285390713477
Agnes,1910,22,0.01245753114382786
Edith,1910,22,0.01245753114382786
Mabel,1910,22,0.01245753114382786
Rose,1910,21,0.01189127972819932
Emma,1910,20,0.011325028312570781
Grace,1910,20,0.011325028312570781
Bernice,1910,19,0.010758776896942242
Ella,1910,19,0.010758776896942242
Elizabeth,1910,18,0.010192525481313703
Ida,1910,18,0.010192525481313703
Marjorie,1910,17,0.009626274065685165
Ruby,1910,17,0.009626274065685165
Bertha,1910,16,0.009060022650056626
Catherine,1910,16,0.009060022650056626
Gertrude,1910,16,0.009060022650056626
Pearl,1910,16,0.009060022650056626
Alma,1910,15,0.008493771234428085
Thelma,1910,15,0.008493771234428085
Doris,1910,14,0.007927519818799546
Eva,1910,14,0.007927519818799546
Sylvia,1910,14,0.007927519818799546
Violet,1910,14,0.007927519818799546
Martha,1910,13,0.007361268403171008
Ethel,1910,12,0.006795016987542469
Lois,1910,12,0.006795016987542469
Louise,1910,12,0.006795016987542469
Blanche,1910,11,0.00622876557191393
Julia,1910,11,0.00622876557191393
Leona,1910,11,0.00622876557191393
Vera,1910,11,0.00622876557191393
Eleanor,1910,10,0.0056625141562853904
Eunice,1910,10,0.0056625141562853904
Hilda,1910,10,0.0056625141562853904
Laura,1910,10,0.0056625141562853904
Lydia,1910,10,0.0056625141562853904
Marian,1910,10,0.0056625141562853904
Maxine,1910,10,0.0056625141562853904
Sarah,1910,10,0.0056625141562853904
Beulah,1910,9,0.005096262740656852
Fern,1910,9,0.005096262740656852
Genevieve,1910,9,0.005096262740656852
Josephine,1910,9,0.005096262740656852
Mae,1910,9,0.005096262740656852
Nellie,1910,9,0.005096262740656852
Olga,1910,9,0.005096262740656852
Opal,1910,9,0.005096262740656852
Pauline,1910,9,0.005096262740656852
Virginia,1910,9,0.005096262740656852
Anne,1910,8,0.004530011325028313
Caroline,1910,8,0.004530011325028313
Erma,1910,8,0.004530011325028313
Kathryn,1910,8,0.004530011325028313
Verna,1910,8,0.004530011325028313
Adeline,1910,7,0.003963759909399773
Ann,1910,7,0.003963759909399773
Beatrice,1910,7,0.003963759909399773
Bessie,1910,7,0.003963759909399773
Jessie,1910,7,0.003963759909399773
Lena,1910,7,0.003963759909399773
Loretta,1910,7,0.003963759909399773
Lucy,1910,7,0.003963759909399773
Minnie,1910,7,0.003963759909399773
Selma,1910,7,0.003963759909399773
Velma,1910,7,0.003963759909399773
Vivian,1910,7,0.003963759909399773
Wilma,1910,7,0.003963759909399773
Carrie,1910,6,0.0033975084937712344
Eileen,1910,6,0.0033975084937712344
Ellen,1910,6,0.0033975084937712344
Harriet,1910,6,0.0033975084937712344
Hattie,1910,6,0.0033975084937712344
Irma,1910,6,0.0033975084937712344
Katherine,1910,6,0.0033975084937712344
Lorraine,1910,6,0.0033975084937712344
Luella,1910,6,0.0033975084937712344
Marguerite,1910,6,0.0033975084937712344
Marion,1910,6,0.0033975084937712344
Olive,1910,6,0.0033975084937712344
Winifred,1910,6,0.0033975084937712344
Alvina,1910,5,0.0028312570781426952
Amy,1910,5,0.0028312570781426952
Christine,1910,5,0.0028312570781426952
Dora,1910,5,0.0028312570781426952
Geneva,1910,5,0.0028312570781426952
Inez,1910,5,0.0028312570781426952
Isabelle,1910,5,0.0028312570781426952
Jennie,1910,5,0.0028312570781426952
Nora,1910,5,0.0028312570781426952
Helen,1911,80,0.04250797024442083
Mary,1911,68,0.036131774707757705
Dorothy,1911,60,0.031880977683315624
Margaret,1911,53,0.0281615302869288
Ruth,1911,48,0.025504782146652496
Evelyn,1911,47,0.02497343251859724
Alice,1911,46,0.024442082890541977
Marie,1911,39,0.020722635494155154
Mildred,1911,39,0.020722635494155154
Edna,1911,34,0.018065887353878853
Hazel,1911,34,0.018065887353878853
Esther,1911,33,0.01753453772582359
Florence,1911,32,0.01700318809776833
Anna,1911,31,0.01647183846971307
Gladys,1911,29,0.015409139213602551
Lillian,1911,29,0.015409139213602551
Viola,1911,27,0.014346439957492029
Frances,1911,26,0.01381509032943677
Martha,1911,26,0.01381509032943677
Rose,1911,26,0.01381509032943677
Clara,1911,25,0.013283740701381509
Mabel,1911,24,0.012752391073326248
Ethel,1911,23,0.012221041445270989
Irene,1911,23,0.012221041445270989
Agnes,1911,22,0.011689691817215728
Emma,1911,22,0.011689691817215728
Gertrude,1911,22,0.011689691817215728
Grace,1911,22,0.011689691817215728
Lucille,1911,22,0.011689691817215728
Bernice,1911,21,0.011158342189160468
Bertha,1911,20,0.010626992561105207
Alma,1911,19,0.010095642933049946
Edith,1911,19,0.010095642933049946
Myrtle,1911,18,0.009564293304994687
Vivian,1911,18,0.009564293304994687
Eva,1911,17,0.009032943676939426
Ruby,1911,17,0.009032943676939426
Thelma,1911,16,0.008501594048884165
Doris,1911,15,0.007970244420828906
Fern,1911,15,0.007970244420828906
Pearl,1911,15,0.007970244420828906
Violet,1911,15,0.007970244420828906
Blanche,1911,14,0.007438894792773645
Ida,1911,14,0.007438894792773645
Leona,1911,14,0.007438894792773645
Lois,1911,14,0.007438894792773645
Marjorie,1911,14,0.007438894792773645
Elsie,1911,13,0.006907545164718385
Laura,1911,13,0.006907545164718385
Nellie,1911,13,0.006907545164718385
Opal,1911,13,0.006907545164718385
Ella,1911,12,0.006376195536663124
Ann,1911,11,0.005844845908607864
Hilda,1911,11,0.005844845908607864
Josephine,1911,11,0.005844845908607864
Louise,1911,11,0.005844845908607864
Beatrice,1911,10,0.005313496280552604
Beulah,1911,10,0.005313496280552604
Katherine,1911,10,0.005313496280552604
Lydia,1911,10,0.005313496280552604
Minnie,1911,10,0.005313496280552604
