name,year,count,proportion
John,1910,54,0.08940397350993377
William,1910,34,0.056291390728476824
George,1910,28,0.046357615894039736
Joseph,1910,25,0.041390728476821195
Charles,1910,23,0.0380794701986755
James,1910,21,0.0347682119205298
Robert,1910,19,0.03145695364238411
Harold,1910,18,0.029801324503311258
Edward,1910,17,0.028145695364238412
Arthur,1910,16,0.026490066225165563
Donald,1910,16,0.026490066225165563
Frank,1910,15,0.024834437086092714
Clarence,1910,14,0.023178807947019868
Albert,1910,13,0.02152317880794702
Elmer,1910,13,0.02152317880794702
Lloyd,1910,13,0.02152317880794702
Raymond,1910,13,0.02152317880794702
Henry,1910,12,0.019867549668874173
Paul,1910,12,0.019867549668874173
Thomas,1910,12,0.019867549668874173
Kenneth,1910,11,0.018211920529801324
Walter,1910,11,0.018211920529801324
Alfred,1910,9,0.014900662251655629
Edwin,1910,9,0.014900662251655629
Fred,1910,9,0.014900662251655629
Roy,1910,9,0.014900662251655629
Alvin,1910,8,0.013245033112582781
Carl,1910,8,0.013245033112582781
Floyd,1910,8,0.013245033112582781
Lawrence,1910,8,0.013245033112582781
Louis,1910,8,0.013245033112582781
Clifford,1910,7,0.011589403973509934
Ernest,1910,7,0.011589403973509934
Francis,1910,7,0.011589403973509934
Harry,1910,7,0.011589403973509934
Jacob,1910,7,0.011589403973509934
Leonard,1910,7,0.011589403973509934
Richard,1910,7,0.011589403973509934
Earl,1910,6,0.009933774834437087
Glenn,1910,6,0.009933774834437087
Herbert,1910,6,0.009933774834437087
Ralph,1910,6,0.009933774834437087
David,1910,5,0.008278145695364239
Eugene,1910,5,0.008278145695364239
Guy,1910,5,0.008278145695364239
Leon,1910,5,0.008278145695364239
Lewis,1910,5,0.008278145695364239
Lyle,1910,5,0.008278145695364239
Oscar,1910,5,0.008278145695364239
Rudolph,1910,5,0.008278145695364239
Theodore,1910,5,0.008278145695364239
John,1911,54,0.06569343065693431
William,1911,36,0.043795620437956206
George,1911,34,0.0413625304136253
Robert,1911,31,0.037712895377128956
Edward,1911,26,0.031630170316301706
Charles,1911,22,0.0267639902676399
Walter,1911,21,0.025547445255474453
Francis,1911,20,0.024330900243309004
Harold,1911,20,0.024330900243309004
Albert,1911,19,0.023114355231143552
Joseph,1911,19,0.023114355231143552
Kenneth,1911,19,0.023114355231143552
Arthur,1911,17,0.02068126520681265
James,1911,17,0.02068126520681265
Floyd,1911,16,0.019464720194647202
Donald,1911,15,0.01824817518248175
Leonard,1911,15,0.01824817518248175
Paul,1911,15,0.01824817518248175
Ralph,1911,15,0.01824817518248175
Lawrence,1911,14,0.0170316301703163
Roy,1911,14,0.0170316301703163
Fred,1911,13,0.015815085158150853
Clarence,1911,12,0.014598540145985401
Clifford,1911,12,0.014598540145985401
Elmer,1911,12,0.014598540145985401
Frank,1911,12,0.014598540145985401
Stanley,1911,11,0.01338199513381995
Thomas,1911,11,0.01338199513381995
Harry,1911,10,0.012165450121654502
Henry,1911,10,0.012165450121654502
Herbert,1911,10,0.012165450121654502
Raymond,1911,10,0.012165450121654502
Carl,1911,9,0.010948905109489052
Earl,1911,9,0.010948905109489052
Howard,1911,9,0.010948905109489052
Oliver,1911,9,0.010948905109489052
Richard,1911,9,0.010948905109489052
Alfred,1911,8,0.009732360097323601
David,1911,8,0.009732360097323601
Ernest,1911,8,0.009732360097323601
Alvin,1911,7,0.00851581508515815
Edwin,1911,7,0.00851581508515815
Harvey,1911,7,0.00851581508515815
Jack,1911,7,0.00851581508515815
Lyle,1911,7,0.00851581508515815
Orville,1911,7,0.00851581508515815
Adolph,1911,6,0.0072992700729927005
Arnold,1911,6,0.0072992700729927005
Emil,1911,6,0.0072992700729927005
Everett,1911,6,0.0072992700729927005
Herman,1911,6,0.0072992700729927005
Lester,1911,6,0.0072992700729927005
Louis,1911,6,0.0072992700729927005
Martin,1911,6,0.0072992700729927005
Marvin,1911,6,0.0072992700729927005
Melvin,1911,6,0.0072992700729927005
Ray,1911,6,0.0072992700729927005
Russell,1911,6,0.0072992700729927005
Vernon,1911,6,0.0072992700729927005
Willard,1911,6,0.0072992700729927005
Bernard,1911,5,0.006082725060827251
Chester,1911,5,0.006082725060827251
Dale,1911,5,0.006082725060827251
Gerald,1911,5,0.006082725060827251
Gordon,1911,5,0.006082725060827251
Lee,1911,5,0.006082725060827251
Lewis,1911,5,0.006082725060827251
Samuel,1911,5,0.006082725060827251
Wilfred,1911,5,0.006082725060827251
John,1912,98,0.05223880597014925
William,1912,69,0.036780383795309166
Robert,1912,59,0.0314498933901919
