name,year,count,proportion
James,1910,419,0.08723714345200916
William,1910,364,0.0757859671038934
John,1910,319,0.06641682281907141
Robert,1910,214,0.044555486154486776
Charles,1910,130,0.027066416822819073
George,1910,129,0.026858213616489695
Willie,1910,129,0.026858213616489695
Thomas,1910,91,0.01894649177597335
Frank,1910,87,0.01811367895065584
Walter,1910,84,0.017489069331667707
Henry,1910,83,0.01728086612533833
Joe,1910,71,0.014782427649385801
Clarence,1910,67,0.01394961482406829
Paul,1910,67,0.01394961482406829
Charlie,1910,60,0.012492192379762648
Edward,1910,56,0.011659379554445138
Roy,1910,55,0.01145117634811576
Albert,1910,53,0.011034769935457007
Sam,1910,53,0.011034769935457007
Fred,1910,52,0.010826566729127629
Joseph,1910,52,0.010826566729127629
Raymond,1910,51,0.010618363522798251
Jack,1910,48,0.009993753903810118
Ernest,1910,47,0.009785550697480742
Howard,1910,43,0.008952737872163231
Arthur,1910,41,0.008536331459504476
Claude,1910,36,0.007495315427857589
Clyde,1910,36,0.007495315427857589
Carl,1910,35,0.007287112221528212
Samuel,1910,35,0.007287112221528212
Earl,1910,33,0.006870705808869456
Harry,1910,33,0.006870705808869456
Jesse,1910,33,0.006870705808869456
David,1910,32,0.006662502602540079
Lee,1910,29,0.006037892983551947
Richard,1910,29,0.006037892983551947
Eddie,1910,28,0.005829689777222569
Jessie,1910,28,0.005829689777222569
Ralph,1910,28,0.005829689777222569
Herbert,1910,27,0.005621486570893191
Andrew,1910,26,0.0054132833645638145
Floyd,1910,26,0.0054132833645638145
Leroy,1910,26,0.0054132833645638145
Herman,1910,25,0.005205080158234437
Ben,1910,24,0.004996876951905059
Louis,1910,24,0.004996876951905059
Will,1910,23,0.004788673745575682
Bill,1910,22,0.004580470539246304
Leonard,1910,21,0.004372267332916927
Alfred,1910,20,0.00416406412658755
Johnnie,1910,20,0.00416406412658755
Oscar,1910,20,0.00416406412658755
Alvin,1910,19,0.003955860920258172
Clifford,1910,19,0.003955860920258172
Edgar,1910,19,0.003955860920258172
Hubert,1910,19,0.003955860920258172
Luther,1910,19,0.003955860920258172
Ray,1910,19,0.003955860920258172
Cecil,1910,18,0.0037476577139287947
Eugene,1910,18,0.0037476577139287947
Horace,1910,18,0.0037476577139287947
Jim,1910,18,0.0037476577139287947
Lawrence,1910,18,0.0037476577139287947
Milton,1910,18,0.0037476577139287947
Marvin,1910,17,0.003539454507599417
Virgil,1910,17,0.003539454507599417
Malcolm,1910,16,0.0033312513012700396
Oliver,1910,16,0.0033312513012700396
Otis,1910,16,0.0033312513012700396
Daniel,1910,15,0.003123048094940662
Jimmie,1910,15,0.003123048094940662
Lewis,1910,15,0.003123048094940662
Theodore,1910,15,0.003123048094940662
Elmer,1910,14,0.0029148448886112846
Hugh,1910,14,0.0029148448886112846
Lester,1910,14,0.0029148448886112846
Mack,1910,14,0.0029148448886112846
Buford,1910,13,0.0027066416822819073
Chester,1910,13,0.0027066416822819073
Curtis,1910,13,0.0027066416822819073
Ed,1910,13,0.0027066416822819073
Harold,1910,13,0.0027066416822819073
Ollie,1910,13,0.0027066416822819073
Roosevelt,1910,13,0.0027066416822819073
Tom,1910,13,0.0027066416822819073
Wallace,1910,13,0.0027066416822819073
Allen,1910,12,0.0024984384759525295
Earnest,1910,12,0.0024984384759525295
Elbert,1910,12,0.0024984384759525295
Homer,1910,12,0.0024984384759525295
Johnie,1910,12,0.0024984384759525295
Norman,1910,12,0.0024984384759525295
Russell,1910,12,0.0024984384759525295
Guy,1910,11,0.002290235269623152
Lonnie,1910,11,0.002290235269623152
Marion,1910,11,0.002290235269623152
Melvin,1910,11,0.002290235269623152
Sidney,1910,11,0.002290235269623152
Everett,1910,10,0.002082032063293775
Isaac,1910,10,0.002082032063293775
Kenneth,1910,10,0.002082032063293775
Leslie,1910,10,0.002082032063293775
Tommie,1910,10,0.002082032063293775
Vernon,1910,10,0.002082032063293775
Archie,1910,9,0.0018738288569643974
Clayton,1910,9,0.0018738288569643974
Gilbert,1910,9,0.0018738288569643974
Lloyd,1910,9,0.0018738288569643974
Neal,1910,9,0.0018738288569643974
Aubrey,1910,8,0.0016656256506350198
Bennie,1910,8,0.0016656256506350198
Bob,1910,8,0.0016656256506350198
Booker,1910,8,0.0016656256506350198
Calvin,1910,8,0.0016656256506350198
Felix,1910,8,0.0016656256506350198
Franklin,1910,8,0.0016656256506350198
Gordon,1910,8,0.0016656256506350198
Harvey,1910,8,0.0016656256506350198
Jess,1910,8,0.0016656256506350198
Julius,1910,8,0.0016656256506350198
Sherman,1910,8,0.0016656256506350198
Steve,1910,8,0.0016656256506350198
Wesley,1910,8,0.0016656256506350198
Austin,1910,7,0.0014574224443056423
Barney,1910,7,0.0014574224443056423
Clifton,1910,7,0.0014574224443056423
Grady,1910,7,0.0014574224443056423
Ross,1910,7,0.0014574224443056423
Stanley,1910,7,0.0014574224443056423
Troy,1910,7,0.0014574224443056423
Wiley,1910,7,0.0014574224443056423
Alonzo,1910,6,0.0012492192379762648
Amos,1910,6,0.0012492192379762648
Bud,1910,6,0.0012492192379762648
Charley,1910,6,0.0012492192379762648
Clinton,1910,6,0.0012492192379762648
Coy,1910,6,0.0012492192379762648
Dan,1910,6,0.0012492192379762648
Dewey,1910,6,0.0012492192379762648
Donald,1910,6,0.0012492192379762648
Douglas,1910,6,0.0012492192379762648
Freddie,1910,6,0.0012492192379762648
Jake,1910,6,0.0012492192379762648
Jerry,1910,6,0.0012492192379762648
Kermit,1910,6,0.0012492192379762648
Lexie,1910,6,0.0012492192379762648
Millard,1910,6,0.0012492192379762648
Monroe,1910,6,0.0012492192379762648
Nathaniel,1910,6,0.0012492192379762648
Tommy,1910,6,0.0012492192379762648
Willis,1910,6,0.0012492192379762648
Aaron,1910,5,0.0010410160316468874
Andy,1910,5,0.0010410160316468874
Bernard,1910,5,0.0010410160316468874
Buster,1910,5,0.0010410160316468874
Chas,1910,5,0.0010410160316468874
Cleo,1910,5,0.0010410160316468874
Dave,1910,5,0.0010410160316468874
Edwin,1910,5,0.0010410160316468874
Glen,1910,5,0.0010410160316468874
Grover,1910,5,0.0010410160316468874
Harley,1910,5,0.0010410160316468874
Hershel,1910,5,0.0010410160316468874
Houston,1910,5,0.0010410160316468874
Leo,1910,5,0.0010410160316468874
Leon,1910,5,0.0010410160316468874
Loyd,1910,5,0.0010410160316468874
Marshall,1910,5,0.0010410160316468874
Morris,1910,5,0.0010410160316468874
Otto,1910,5,0.0010410160316468874
Perry,1910,5,0.0010410160316468874
Pete,1910,5,0.0010410160316468874
Porter,1910,5,0.0010410160316468874
Roger,1910,5,0.0010410160316468874
Roscoe,1910,5,0.0010410160316468874
Rufus,1910,5,0.0010410160316468874
Simon,1910,5,0.0010410160316468874
Taft,1910,5,0.0010410160316468874
Wade,1910,5,0.0010410160316468874
Warren,1910,5,0.0010410160316468874
Wilbert,1910,5,0.0010410160316468874
James,1911,433,0.0908328088944829
William,1911,332,0.0696454793371093
John,1911,312,0.06544996853366897
Robert,1911,235,0.049297251940423746
George,1911,140,0.02936857562408223
Charles,1911,128,0.02685126914201804
Willie,1911,105,0.022026431718061675
Henry,1911,101,0.02118732955737361
Thomas,1911,88,0.018460247535137402
Roy,1911,73,0.015313614432557163
Joe,1911,71,0.014894063352213133
Walter,1911,70,0.014684287812041116
Frank,1911,68,0.014264736731697085
Charlie,1911,66,0.013845185651353053
Edward,1911,59,0.01237675687014894
Clarence,1911,58,0.012166981329976925
Fred,1911,58,0.012166981329976925
Joseph,1911,54,0.011327879169288861
Paul,1911,51,0.010698552548772814
Albert,1911,46,0.009649674847912734
Carl,1911,42,0.00881057268722467
Earl,1911,40,0.008391021606880638
Richard,1911,40,0.008391021606880638
Ernest,1911,39,0.008181246066708621
Jack,1911,39,0.008181246066708621
Harry,1911,38,0.007971470526536606
Samuel,1911,38,0.007971470526536606
Clyde,1911,37,0.00776169498636459
Howard,1911,37,0.00776169498636459
