name,year,count,proportion
John,1910,39,0.08803611738148984
William,1910,32,0.07223476297968397
James,1910,26,0.05869074492099323
George,1910,19,0.04288939051918736
Charles,1910,17,0.03837471783295711
Kenneth,1910,16,0.03611738148984198
Robert,1910,16,0.03611738148984198
Henry,1910,15,0.033860045146726865
Fred,1910,13,0.029345372460496615
Frank,1910,12,0.02708803611738149
Joseph,1910,12,0.02708803611738149
Ralph,1910,12,0.02708803611738149
Thomas,1910,12,0.02708803611738149
Edward,1910,11,0.024830699774266364
Carl,1910,9,0.020316027088036117
Harold,1910,9,0.020316027088036117
Albert,1910,8,0.01805869074492099
Jack,1910,8,0.01805869074492099
Leroy,1910,8,0.01805869074492099
Max,1910,8,0.01805869074492099
Owen,1910,8,0.01805869074492099
Richard,1910,8,0.01805869074492099
Arthur,1910,7,0.01580135440180587
Clarence,1910,7,0.01580135440180587
David,1910,7,0.01580135440180587
Louis,1910,7,0.01580135440180587
Paul,1910,7,0.01580135440180587
Raymond,1910,7,0.01580135440180587
Victor,1910,7,0.01580135440180587
Wayne,1910,7,0.01580135440180587
Elmer,1910,6,0.013544018058690745
Lloyd,1910,6,0.013544018058690745
Oscar,1910,6,0.013544018058690745
Ray,1910,6,0.013544018058690745
Don,1910,5,0.011286681715575621
Lee,1910,5,0.011286681715575621
Leslie,1910,5,0.011286681715575621
Melvin,1910,5,0.011286681715575621
Milton,1910,5,0.011286681715575621
Norman,1910,5,0.011286681715575621
Ronald,1910,5,0.011286681715575621
Theodore,1910,5,0.011286681715575621
Walter,1910,5,0.011286681715575621
John,1911,49,0.09107806691449814
George,1911,39,0.0724907063197026
William,1911,31,0.05762081784386617
James,1911,28,0.05204460966542751
Robert,1911,24,0.04460966542750929
Joseph,1911,21,0.03903345724907063
Frank,1911,20,0.03717472118959108
Charles,1911,19,0.03531598513011153
Edward,1911,17,0.031598513011152414
Raymond,1911,14,0.026022304832713755
Arthur,1911,12,0.022304832713754646
Kenneth,1911,11,0.020446096654275093
Thomas,1911,10,0.01858736059479554
David,1911,9,0.016728624535315983
Donald,1911,9,0.016728624535315983
Lawrence,1911,9,0.016728624535315983
Glen,1911,8,0.01486988847583643
Richard,1911,8,0.01486988847583643
Walter,1911,8,0.01486988847583643
Wilford,1911,8,0.01486988847583643
Alfred,1911,7,0.013011152416356878
Clyde,1911,7,0.013011152416356878
Gilbert,1911,7,0.013011152416356878
Harold,1911,7,0.013011152416356878
Howard,1911,7,0.013011152416356878
Paul,1911,7,0.013011152416356878
Ralph,1911,7,0.013011152416356878
Ray,1911,7,0.013011152416356878
Roy,1911,7,0.013011152416356878
Theodore,1911,7,0.013011152416356878
Carl,1911,6,0.011152416356877323
Clifford,1911,6,0.011152416356877323
Earl,1911,6,0.011152416356877323
Elmer,1911,6,0.011152416356877323
Lewis,1911,6,0.011152416356877323
Max,1911,6,0.011152416356877323
Melvin,1911,6,0.011152416356877323
Milton,1911,6,0.011152416356877323
Reed,1911,6,0.011152416356877323
Albert,1911,5,0.00929368029739777
Clarence,1911,5,0.00929368029739777
Don,1911,5,0.00929368029739777
Ellis,1911,5,0.00929368029739777
Herman,1911,5,0.00929368029739777
Hugh,1911,5,0.00929368029739777
Hyrum,1911,5,0.00929368029739777
Jack,1911,5,0.00929368029739777
Leo,1911,5,0.00929368029739777
Leonard,1911,5,0.00929368029739777
Lloyd,1911,5,0.00929368029739777
Louis,1911,5,0.00929368029739777
John,1912,76,0.04977079240340537
William,1912,74,0.04846103470857891
George,1912,66,0.043222003929273084
James,1912,60,0.03929273084479371
Joseph,1912,43,0.028159790438768827
Robert,1912,41,0.026850032743942372
Frank,1912,40,0.02619515389652914
