name,year,count,proportion
James,1910,461,0.09065880039331367
William,1910,381,0.07492625368731563
John,1910,342,0.06725663716814159
Robert,1910,228,0.044837758112094395
George,1910,198,0.03893805309734513
Charles,1910,159,0.03126843657817109
Thomas,1910,129,0.02536873156342183
Edward,1910,109,0.02143559488692232
Joseph,1910,108,0.021238938053097345
Willie,1910,105,0.02064896755162242
Henry,1910,95,0.018682399213372666
Frank,1910,75,0.014749262536873156
Charlie,1910,72,0.01415929203539823
Walter,1910,72,0.01415929203539823
Clarence,1910,68,0.013372664700098328
Richard,1910,64,0.012586037364798427
Harry,1910,60,0.011799410029498525
Raymond,1910,58,0.011406096361848575
Roy,1910,55,0.010816125860373648
Albert,1910,54,0.010619469026548672
Samuel,1910,51,0.010029498525073746
Paul,1910,49,0.009636184857423796
Arthur,1910,48,0.00943952802359882
Howard,1910,47,0.009242871189773844
Ernest,1910,41,0.008062930186823991
Fred,1910,37,0.00727630285152409
Herman,1910,35,0.00688298918387414
David,1910,34,0.006686332350049164
Jack,1910,33,0.006489675516224189
Ralph,1910,33,0.006489675516224189
Lewis,1910,31,0.006096361848574238
Norman,1910,30,0.0058997050147492625
Herbert,1910,29,0.005703048180924287
Theodore,1910,29,0.005703048180924287
Russell,1910,28,0.005506391347099311
Cecil,1910,26,0.005113077679449361
Leonard,1910,25,0.004916420845624385
Alfred,1910,24,0.00471976401179941
Eddie,1910,24,0.00471976401179941
Jessie,1910,24,0.00471976401179941
Benjamin,1910,23,0.004523107177974435
Carl,1910,23,0.004523107177974435
Floyd,1910,23,0.004523107177974435
Luther,1910,23,0.004523107177974435
Claude,1910,22,0.004326450344149459
Daniel,1910,22,0.004326450344149459
Louis,1910,22,0.004326450344149459
Earl,1910,21,0.004129793510324484
Eugene,1910,21,0.004129793510324484
Lawrence,1910,21,0.004129793510324484
Lee,1910,21,0.004129793510324484
Leroy,1910,21,0.004129793510324484
Linwood,1910,21,0.004129793510324484
Sam,1910,21,0.004129793510324484
Harold,1910,20,0.003933136676499509
Joe,1910,20,0.003933136676499509
Percy,1910,20,0.003933136676499509
Allen,1910,19,0.003736479842674533
Elmer,1910,19,0.003736479842674533
Milton,1910,19,0.003736479842674533
Clyde,1910,18,0.0035398230088495575
Alexander,1910,17,0.003343166175024582
Bernard,1910,17,0.003343166175024582
Jesse,1910,17,0.003343166175024582
Oscar,1910,17,0.003343166175024582
Andrew,1910,16,0.003146509341199607
Emmett,1910,16,0.003146509341199607
Everett,1910,16,0.003146509341199607
Harvey,1910,16,0.003146509341199607
Johnnie,1910,16,0.003146509341199607
Lester,1910,16,0.003146509341199607
Tom,1910,16,0.003146509341199607
Aubrey,1910,15,0.0029498525073746312
Edwin,1910,15,0.0029498525073746312
Melvin,1910,15,0.0029498525073746312
Otis,1910,15,0.0029498525073746312
Ray,1910,15,0.0029498525073746312
Edgar,1910,14,0.0027531956735496557
Homer,1910,14,0.0027531956735496557
Horace,1910,14,0.0027531956735496557
Ben,1910,13,0.0025565388397246805
Curtis,1910,13,0.0025565388397246805
Earnest,1910,13,0.0025565388397246805
Vernon,1910,13,0.0025565388397246805
Clifton,1910,12,0.002359882005899705
Hubert,1910,12,0.002359882005899705
Leslie,1910,12,0.002359882005899705
Lloyd,1910,12,0.002359882005899705
Moses,1910,12,0.002359882005899705
Rufus,1910,12,0.002359882005899705
Francis,1910,11,0.0021632251720747294
Hugh,1910,11,0.0021632251720747294
Johnny,1910,11,0.0021632251720747294
Kenneth,1910,11,0.0021632251720747294
Sidney,1910,11,0.0021632251720747294
Wallace,1910,11,0.0021632251720747294
Archie,1910,10,0.0019665683382497543
Booker,1910,10,0.0019665683382497543
Clifford,1910,10,0.0019665683382497543
Gordon,1910,10,0.0019665683382497543
Leon,1910,10,0.0019665683382497543
Oliver,1910,10,0.0019665683382497543
Wilbur,1910,10,0.0019665683382497543
Willis,1910,10,0.0019665683382497543
Clinton,1910,9,0.0017699115044247787
Douglas,1910,9,0.0017699115044247787
Elbert,1910,9,0.0017699115044247787
Nathaniel,1910,9,0.0017699115044247787
Willard,1910,9,0.0017699115044247787
Alvin,1910,8,0.0015732546705998034
Arnold,1910,8,0.0015732546705998034
Ellis,1910,8,0.0015732546705998034
Garland,1910,8,0.0015732546705998034
Gilbert,1910,8,0.0015732546705998034
Irving,1910,8,0.0015732546705998034
Isaac,1910,8,0.0015732546705998034
Johnie,1910,8,0.0015732546705998034
Junius,1910,8,0.0015732546705998034
Patrick,1910,8,0.0015732546705998034
Philip,1910,8,0.0015732546705998034
Phillip,1910,8,0.0015732546705998034
Wesley,1910,8,0.0015732546705998034
Abner,1910,7,0.0013765978367748278
Bennie,1910,7,0.0013765978367748278
Donald,1910,7,0.0013765978367748278
Frederick,1910,7,0.0013765978367748278
Grover,1910,7,0.0013765978367748278
Jacob,1910,7,0.0013765978367748278
Jerry,1910,7,0.0013765978367748278
Julian,1910,7,0.0013765978367748278
Lonnie,1910,7,0.0013765978367748278
Marshall,1910,7,0.0013765978367748278
Mary,1910,7,0.0013765978367748278
Morris,1910,7,0.0013765978367748278
Nelson,1910,7,0.0013765978367748278
Randolph,1910,7,0.0013765978367748278
Roosevelt,1910,7,0.0013765978367748278
Roscoe,1910,7,0.0013765978367748278
Royal,1910,7,0.0013765978367748278
Alex,1910,6,0.0011799410029498525
Alphonso,1910,6,0.0011799410029498525
Bill,1910,6,0.0011799410029498525
Calvin,1910,6,0.0011799410029498525
Chester,1910,6,0.0011799410029498525
Clayton,1910,6,0.0011799410029498525
Cleveland,1910,6,0.0011799410029498525
Felix,1910,6,0.0011799410029498525
Glenn,1910,6,0.0011799410029498525
Irvin,1910,6,0.0011799410029498525
Jake,1910,6,0.0011799410029498525
Kermit,1910,6,0.0011799410029498525
Lacy,1910,6,0.0011799410029498525
Marvin,1910,6,0.0011799410029498525
Matthew,1910,6,0.0011799410029498525
Mckinley,1910,6,0.0011799410029498525
Stephen,1910,6,0.0011799410029498525
Sylvester,1910,6,0.0011799410029498525
Will,1910,6,0.0011799410029498525
Aaron,1910,5,9.832841691248771e-4
Beverly,1910,5,9.832841691248771e-4
Bruce,1910,5,9.832841691248771e-4
Buster,1910,5,9.832841691248771e-4
Cornelius,1910,5,9.832841691248771e-4
Dennis,1910,5,9.832841691248771e-4
Fletcher,1910,5,9.832841691248771e-4
Freddie,1910,5,9.832841691248771e-4
Garfield,1910,5,9.832841691248771e-4
Guy,1910,5,9.832841691248771e-4
Jerome,1910,5,9.832841691248771e-4
Jim,1910,5,9.832841691248771e-4
Julius,1910,5,9.832841691248771e-4
Lynwood,1910,5,9.832841691248771e-4
Martin,1910,5,9.832841691248771e-4
Roger,1910,5,9.832841691248771e-4
Sandy,1910,5,9.832841691248771e-4
Stewart,1910,5,9.832841691248771e-4
Stuart,1910,5,9.832841691248771e-4
Ted,1910,5,9.832841691248771e-4
Thornton,1910,5,9.832841691248771e-4
Wendell,1910,5,9.832841691248771e-4
Wilbert,1910,5,9.832841691248771e-4
Wiley,1910,5,9.832841691248771e-4
Wilson,1910,5,9.832841691248771e-4
James,1911,506,0.08843061866480252
William,1911,494,0.08633344984271234
John,1911,370,0.0646627053477805
Robert,1911,226,0.03949667948269836
George,1911,209,0.036525690318070604
Charles,1911,183,0.03198182453687522
Joseph,1911,113,0.01974833974134918
Thomas,1911,104,0.018175463124781546
Willie,1911,102,0.017825934987766516
Henry,1911,96,0.016777350576721427
Edward,1911,94,0.016427822439706398
Walter,1911,92,0.016078294302691365
Richard,1911,86,0.015029709891646278
Charlie,1911,83,0.014505417686123732
Frank,1911,82,0.014330653617616217
Clarence,1911,77,0.013456833275078644
Harry,1911,69,0.012058720727018525
Raymond,1911,65,0.011359664452988466
Samuel,1911,62,0.01083537224746592
Fred,1911,59,0.010311080041943376
Arthur,1911,55,0.009612023767913317
Howard,1911,55,0.009612023767913317
Roy,1911,54,0.009437259699405802
Ralph,1911,50,0.008738203425375743
Ernest,1911,49,0.008563439356868228
David,1911,47,0.008213911219853199
Albert,1911,42,0.007340090877315624
Paul,1911,42,0.007340090877315624
Herman,1911,39,0.006815798671793079
Herbert,1911,38,0.006641034603285564
Earl,1911,36,0.006291506466270535
Floyd,1911,35,0.00611674239776302
Joe,1911,35,0.00611674239776302
Lewis,1911,35,0.00611674239776302
Carl,1911,33,0.005767214260747991
Russell,1911,32,0.005592450192240475
Eugene,1911,29,0.005068157986717931
Lawrence,1911,28,0.004893393918210416
Jack,1911,27,0.004718629849702901
Benjamin,1911,26,0.004543865781195386
Andrew,1911,25,0.004369101712687872
Bernard,1911,25,0.004369101712687872
Harold,1911,25,0.004369101712687872
Claude,1911,24,0.004194337644180357
Curtis,1911,23,0.004019573575672841
Jesse,1911,23,0.004019573575672841
Louis,1911,23,0.004019573575672841
Alfred,1911,22,0.003844809507165327
Edgar,1911,22,0.003844809507165327
Lee,1911,22,0.003844809507165327
Luther,1911,22,0.003844809507165327
Oscar,1911,21,0.003670045438657812
Vernon,1911,21,0.003670045438657812
Allen,1911,20,0.003495281370150297
Clifton,1911,20,0.003495281370150297
Francis,1911,20,0.003495281370150297
Leroy,1911,20,0.003495281370150297
Lloyd,1911,20,0.003495281370150297
Melvin,1911,20,0.003495281370150297
Milton,1911,20,0.003495281370150297
Jessie,1911,19,0.003320517301642782
Sam,1911,19,0.003320517301642782
Harvey,1911,18,0.0031457532331352674
Marvin,1911,18,0.0031457532331352674
Percy,1911,18,0.0031457532331352674
Ray,1911,18,0.0031457532331352674
Leonard,1911,17,0.0029709891646277527
Cecil,1911,16,0.0027962250961202375
Rufus,1911,16,0.0027962250961202375
Daniel,1911,15,0.0026214610276127227
Elmer,1911,15,0.0026214610276127227
Nathaniel,1911,15,0.0026214610276127227
Clifford,1911,14,0.002446696959105208
Douglas,1911,14,0.002446696959105208
Jacob,1911,14,0.002446696959105208
Johnnie,1911,14,0.002446696959105208
Kenneth,1911,14,0.002446696959105208
Stanley,1911,14,0.002446696959105208
Bennie,1911,13,0.002271932890597693
Clyde,1911,13,0.002271932890597693
Emmett,1911,13,0.002271932890597693
Frederick,1911,13,0.002271932890597693
Horace,1911,13,0.002271932890597693
Leon,1911,13,0.002271932890597693
Theodore,1911,13,0.002271932890597693
Tom,1911,13,0.002271932890597693
Alexander,1911,12,0.0020971688220901784
Aubrey,1911,12,0.0020971688220901784
Earnest,1911,12,0.0020971688220901784
Irvin,1911,12,0.0020971688220901784
Lester,1911,12,0.0020971688220901784
Loyd,1911,12,0.0020971688220901784
Moses,1911,12,0.0020971688220901784
Oliver,1911,12,0.0020971688220901784
Wilbur,1911,12,0.0020971688220901784
Abraham,1911,11,0.0019224047535826635
Archie,1911,11,0.0019224047535826635
Buster,1911,11,0.0019224047535826635
Eddie,1911,11,0.0019224047535826635
Franklin,1911,11,0.0019224047535826635
Hugh,1911,11,0.0019224047535826635
Linwood,1911,11,0.0019224047535826635
Nelson,1911,11,0.0019224047535826635
Ollie,1911,11,0.0019224047535826635
Wilbert,1911,11,0.0019224047535826635
Edwin,1911,10,0.0017476406850751485
Homer,1911,10,0.0017476406850751485
Ira,1911,10,0.0017476406850751485
Leslie,1911,10,0.0017476406850751485
Norman,1911,10,0.0017476406850751485
Silas,1911,10,0.0017476406850751485
Wesley,1911,10,0.0017476406850751485
Emory,1911,9,0.0015728766165676337
Jerome,1911,9,0.0015728766165676337
Marshall,1911,9,0.0015728766165676337
Otis,1911,9,0.0015728766165676337
Randolph,1911,9,0.0015728766165676337
Roscoe,1911,9,0.0015728766165676337
Sidney,1911,9,0.0015728766165676337
Wallace,1911,9,0.0015728766165676337
Woodrow,1911,9,0.0015728766165676337
Alvin,1911,8,0.0013981125480601187
Ben,1911,8,0.0013981125480601187
Bruce,1911,8,0.0013981125480601187
Calvin,1911,8,0.0013981125480601187
Chester,1911,8,0.0013981125480601187
Cleveland,1911,8,0.0013981125480601187
Ellis,1911,8,0.0013981125480601187
Everett,1911,8,0.0013981125480601187
Garland,1911,8,0.0013981125480601187
Gordon,1911,8,0.0013981125480601187
Hubert,1911,8,0.0013981125480601187
Isaac,1911,8,0.0013981125480601187
Jerry,1911,8,0.0013981125480601187
Jimmie,1911,8,0.0013981125480601187
Julian,1911,8,0.0013981125480601187
Mack,1911,8,0.0013981125480601187
Matthew,1911,8,0.0013981125480601187
Morris,1911,8,0.0013981125480601187
Phillip,1911,8,0.0013981125480601187
Preston,1911,8,0.0013981125480601187
Sylvester,1911,8,0.0013981125480601187
Alonzo,1911,7,0.001223348479552604
Anthony,1911,7,0.001223348479552604
Arnold,1911,7,0.001223348479552604
Bascom,1911,7,0.001223348479552604
Dennis,1911,7,0.001223348479552604
Elbert,1911,7,0.001223348479552604
Guy,1911,7,0.001223348479552604
Irving,1911,7,0.001223348479552604
Julius,1911,7,0.001223348479552604
Leo,1911,7,0.001223348479552604
Maurice,1911,7,0.001223348479552604
Nathan,1911,7,0.001223348479552604
Perry,1911,7,0.001223348479552604
Reginald,1911,7,0.001223348479552604
Rudolph,1911,7,0.001223348479552604
Sherman,1911,7,0.001223348479552604
Stuart,1911,7,0.001223348479552604
Virgil,1911,7,0.001223348479552604
Alton,1911,6,0.0010485844110450892
Basil,1911,6,0.0010485844110450892
Bill,1911,6,0.0010485844110450892
Clinton,1911,6,0.0010485844110450892
Dewey,1911,6,0.0010485844110450892
Emanuel,1911,6,0.0010485844110450892
Garnett,1911,6,0.0010485844110450892
Gilbert,1911,6,0.0010485844110450892
Granville,1911,6,0.0010485844110450892
Harrison,1911,6,0.0010485844110450892
Johnie,1911,6,0.0010485844110450892
Junius,1911,6,0.0010485844110450892
Marcellus,1911,6,0.0010485844110450892
Roger,1911,6,0.0010485844110450892
Victor,1911,6,0.0010485844110450892
Vincent,1911,6,0.0010485844110450892
Warren,1911,6,0.0010485844110450892
Waverly,1911,6,0.0010485844110450892
Wiley,1911,6,0.0010485844110450892
Willis,1911,6,0.0010485844110450892
Alex,1911,5,8.738203425375742e-4
