name,year,count,proportion
James,1910,75,0.061677631578947366
John,1910,69,0.05674342105263158
Robert,1910,63,0.05180921052631579
William,1910,62,0.05098684210526316
Charles,1910,47,0.038651315789473686
George,1910,43,0.03536184210526316
Edward,1910,37,0.03042763157894737
Harold,1910,32,0.02631578947368421
Donald,1910,29,0.023848684210526317
Carl,1910,28,0.023026315789473683
Frank,1910,25,0.02055921052631579
Fred,1910,25,0.02055921052631579
Joseph,1910,24,0.019736842105263157
Arthur,1910,23,0.018914473684210526
Raymond,1910,23,0.018914473684210526
Walter,1910,23,0.018914473684210526
Paul,1910,22,0.018092105263157895
Richard,1910,21,0.017269736842105265
Harry,1910,20,0.01644736842105263
Henry,1910,20,0.01644736842105263
Roy,1910,20,0.01644736842105263
Francis,1910,16,0.013157894736842105
Kenneth,1910,16,0.013157894736842105
Lawrence,1910,16,0.013157894736842105
Ralph,1910,16,0.013157894736842105
Clifford,1910,14,0.011513157894736841
David,1910,13,0.01069078947368421
Earl,1910,13,0.01069078947368421
Jack,1910,13,0.01069078947368421
Thomas,1910,13,0.01069078947368421
Albert,1910,12,0.009868421052631578
Clarence,1910,12,0.009868421052631578
Clyde,1910,12,0.009868421052631578
Herbert,1910,12,0.009868421052631578
Leo,1910,12,0.009868421052631578
Lloyd,1910,12,0.009868421052631578
Stanley,1910,12,0.009868421052631578
Martin,1910,11,0.009046052631578948
Orville,1910,11,0.009046052631578948
Gilbert,1910,10,0.008223684210526315
Glen,1910,10,0.008223684210526315
Howard,1910,10,0.008223684210526315
Norman,1910,10,0.008223684210526315
Wallace,1910,10,0.008223684210526315
Don,1910,9,0.007401315789473684
Elmer,1910,9,0.007401315789473684
Joe,1910,9,0.007401315789473684
Ray,1910,9,0.007401315789473684
Russell,1910,9,0.007401315789473684
Wayne,1910,9,0.007401315789473684
Eugene,1910,8,0.006578947368421052
Frederick,1910,8,0.006578947368421052
Vernon,1910,8,0.006578947368421052
Claude,1910,7,0.005756578947368421
Edwin,1910,7,0.005756578947368421
Chester,1910,6,0.004934210526315789
Daniel,1910,6,0.004934210526315789
Ernest,1910,6,0.004934210526315789
Lee,1910,6,0.004934210526315789
Leonard,1910,6,0.004934210526315789
Lester,1910,6,0.004934210526315789
Marion,1910,6,0.004934210526315789
Ben,1910,5,0.004111842105263158
Cecil,1910,5,0.004111842105263158
Everett,1910,5,0.004111842105263158
Forrest,1910,5,0.004111842105263158
Glenn,1910,5,0.004111842105263158
Jerome,1910,5,0.004111842105263158
Jesse,1910,5,0.004111842105263158
Leslie,1910,5,0.004111842105263158
Marvin,1910,5,0.004111842105263158
Mike,1910,5,0.004111842105263158
Patrick,1910,5,0.004111842105263158
Philip,1910,5,0.004111842105263158
Victor,1910,5,0.004111842105263158
John,1911,113,0.08014184397163121
William,1911,86,0.06099290780141844
Robert,1911,82,0.05815602836879433
James,1911,61,0.04326241134751773
George,1911,58,0.04113475177304964
Charles,1911,39,0.027659574468085105
Harold,1911,38,0.02695035460992908
Frank,1911,36,0.02553191489361702
Edward,1911,34,0.024113475177304965
Thomas,1911,28,0.019858156028368795
Harry,1911,27,0.019148936170212766
Joseph,1911,27,0.019148936170212766
Richard,1911,27,0.019148936170212766
Walter,1911,26,0.018439716312056736
Albert,1911,25,0.01773049645390071
Arthur,1911,24,0.01702127659574468
Clarence,1911,24,0.01702127659574468
Jack,1911,24,0.01702127659574468
Paul,1911,24,0.01702127659574468
Fred,1911,23,0.016312056737588652
Carl,1911,21,0.014893617021276596
Donald,1911,21,0.014893617021276596
Eugene,1911,21,0.014893617021276596
Gordon,1911,20,0.014184397163120567
Ralph,1911,20,0.014184397163120567
Howard,1911,19,0.01347517730496454
Roy,1911,18,0.01276595744680851
Earl,1911,17,0.012056737588652482
Kenneth,1911,17,0.012056737588652482
Lawrence,1911,17,0.012056737588652482
Henry,1911,15,0.010638297872340425
Raymond,1911,13,0.009219858156028368
Ray,1911,12,0.00851063829787234
Alfred,1911,11,0.007801418439716312
Cecil,1911,11,0.007801418439716312
Chester,1911,11,0.007801418439716312
Clifford,1911,11,0.007801418439716312
Glen,1911,11,0.007801418439716312
Herbert,1911,11,0.007801418439716312
David,1911,10,0.0070921985815602835
Everett,1911,10,0.0070921985815602835
Gerald,1911,10,0.0070921985815602835
Joe,1911,10,0.0070921985815602835
Andrew,1911,9,0.006382978723404255
Ernest,1911,9,0.006382978723404255
Floyd,1911,9,0.006382978723404255
Hugh,1911,9,0.006382978723404255
Louis,1911,9,0.006382978723404255
Melvin,1911,9,0.006382978723404255
Stanley,1911,9,0.006382978723404255
