name,year,count,proportion
William,1910,151,0.0755
James,1910,134,0.067
John,1910,125,0.0625
Charles,1910,95,0.0475
Robert,1910,70,0.035
George,1910,68,0.034
Joseph,1910,45,0.0225
Harry,1910,43,0.0215
Frank,1910,41,0.0205
Edward,1910,38,0.019
Walter,1910,37,0.0185
Howard,1910,34,0.017
Clarence,1910,33,0.0165
Fred,1910,32,0.016
Paul,1910,32,0.016
Thomas,1910,29,0.0145
Earl,1910,28,0.014
Ralph,1910,28,0.014
Russell,1910,27,0.0135
Harold,1910,26,0.013
Roy,1910,26,0.013
Raymond,1910,24,0.012
Albert,1910,23,0.0115
Carl,1910,23,0.0115
Henry,1910,23,0.0115
Eugene,1910,22,0.011
Willie,1910,21,0.0105
Donald,1910,19,0.0095
Samuel,1910,19,0.0095
Arthur,1910,18,0.009
Cecil,1910,18,0.009
Jack,1910,18,0.009
Richard,1910,18,0.009
Ernest,1910,17,0.0085
Herbert,1910,17,0.0085
Ray,1910,16,0.008
Melvin,1910,14,0.007
Clifford,1910,13,0.0065
Kenneth,1910,13,0.0065
Leonard,1910,13,0.0065
Chester,1910,12,0.006
Joe,1910,12,0.006
Lawrence,1910,12,0.006
Lester,1910,12,0.006
Norman,1910,12,0.006
David,1910,11,0.0055
Homer,1910,11,0.0055
Jesse,1910,11,0.0055
Louis,1910,11,0.0055
Luther,1910,11,0.0055
Hubert,1910,10,0.005
Lewis,1910,10,0.005
Theodore,1910,10,0.005
Alva,1910,9,0.0045
Arnold,1910,9,0.0045
Claude,1910,9,0.0045
Clyde,1910,9,0.0045
Elmer,1910,9,0.0045
Floyd,1910,9,0.0045
Francis,1910,9,0.0045
Herman,1910,9,0.0045
Alfred,1910,8,0.004
Charlie,1910,8,0.004
Curtis,1910,8,0.004
Daniel,1910,8,0.004
Edgar,1910,8,0.004
Everett,1910,8,0.004
Kermit,1910,8,0.004
Sam,1910,8,0.004
Wayne,1910,8,0.004
Wilbur,1910,8,0.004
Alonzo,1910,7,0.0035
Edwin,1910,7,0.0035
Frederick,1910,7,0.0035
Gilbert,1910,7,0.0035
Glen,1910,7,0.0035
Lee,1910,7,0.0035
Leroy,1910,7,0.0035
Leslie,1910,7,0.0035
Virgil,1910,7,0.0035
Aubrey,1910,6,0.003
Boyd,1910,6,0.003
Charley,1910,6,0.003
Dale,1910,6,0.003
Forest,1910,6,0.003
Gerald,1910,6,0.003
Glenn,1910,6,0.003
Ira,1910,6,0.003
Lloyd,1910,6,0.003
Michael,1910,6,0.003
Oliver,1910,6,0.003
Oscar,1910,6,0.003
Philip,1910,6,0.003
Stanley,1910,6,0.003
Aaron,1910,5,0.0025
Calvin,1910,5,0.0025
Earnest,1910,5,0.0025
Edison,1910,5,0.0025
Estel,1910,5,0.0025
Ezra,1910,5,0.0025
Guy,1910,5,0.0025
Harley,1910,5,0.0025
Marvin,1910,5,0.0025
Thurman,1910,5,0.0025
Wilbert,1910,5,0.0025
Willard,1910,5,0.0025
Willis,1910,5,0.0025
William,1911,183,0.0754639175257732
John,1911,151,0.0622680412371134
James,1911,146,0.06020618556701031
Charles,1911,120,0.049484536082474224
Robert,1911,97,0.04
George,1911,74,0.030515463917525774
Harry,1911,60,0.024742268041237112
Joseph,1911,57,0.023505154639175258
Frank,1911,49,0.02020618556701031
Edward,1911,40,0.016494845360824743
Paul,1911,39,0.016082474226804123
Raymond,1911,38,0.015670103092783504
Howard,1911,37,0.015257731958762887
