name,year,count,proportion
James,1910,20,0.16260162601626016
John,1910,16,0.13008130081300814
Robert,1910,13,0.10569105691056911
George,1910,12,0.0975609756097561
William,1910,12,0.0975609756097561
Charles,1910,8,0.06504065040650407
Raymond,1910,6,0.04878048780487805
Thomas,1910,6,0.04878048780487805
Clarence,1910,5,0.04065040650406504
Donald,1910,5,0.04065040650406504
Henry,1910,5,0.04065040650406504
Joseph,1910,5,0.04065040650406504
Lawrence,1910,5,0.04065040650406504
Roy,1910,5,0.04065040650406504
John,1911,17,0.12408759124087591
William,1911,15,0.10948905109489052
Robert,1911,14,0.10218978102189781
George,1911,12,0.08759124087591241
James,1911,12,0.08759124087591241
Charles,1911,9,0.06569343065693431
Louis,1911,9,0.06569343065693431
Harold,1911,8,0.058394160583941604
Kenneth,1911,8,0.058394160583941604
Thomas,1911,7,0.051094890510948905
Joseph,1911,6,0.043795620437956206
Albert,1911,5,0.0364963503649635
Frank,1911,5,0.0364963503649635
Harry,1911,5,0.0364963503649635
Richard,1911,5,0.0364963503649635
John,1912,33,0.10091743119266056
James,1912,25,0.0764525993883792
George,1912,23,0.07033639143730887
William,1912,20,0.06116207951070336
Charles,1912,19,0.0581039755351682
Edward,1912,15,0.045871559633027525
Robert,1912,14,0.04281345565749235
Howard,1912,12,0.03669724770642202
Frank,1912,10,0.03058103975535168
Henry,1912,10,0.03058103975535168
Richard,1912,9,0.027522935779816515
Thomas,1912,9,0.027522935779816515
Albert,1912,8,0.024464831804281346
Ernest,1912,8,0.024464831804281346
Eugene,1912,8,0.024464831804281346
Fred,1912,8,0.024464831804281346
Gordon,1912,8,0.024464831804281346
Jack,1912,8,0.024464831804281346
Kenneth,1912,8,0.024464831804281346
Donald,1912,7,0.021406727828746176
Carl,1912,6,0.01834862385321101
Harold,1912,6,0.01834862385321101
Joe,1912,6,0.01834862385321101
Joseph,1912,6,0.01834862385321101
Ralph,1912,6,0.01834862385321101
Clarence,1912,5,0.01529051987767584
Clyde,1912,5,0.01529051987767584
Elmer,1912,5,0.01529051987767584
Francis,1912,5,0.01529051987767584
Harry,1912,5,0.01529051987767584
Louis,1912,5,0.01529051987767584
Roy,1912,5,0.01529051987767584
John,1913,47,0.11007025761124122
William,1913,34,0.07962529274004684
James,1913,28,0.06557377049180328
Robert,1913,27,0.06323185011709602
George,1913,22,0.05152224824355972
Frank,1913,18,0.04215456674473068
Charles,1913,17,0.03981264637002342
Donald,1913,15,0.0351288056206089
Carl,1913,13,0.03044496487119438
Walter,1913,13,0.03044496487119438
Clarence,1913,12,0.02810304449648712
Thomas,1913,12,0.02810304449648712
Paul,1913,11,0.02576112412177986
Albert,1913,10,0.0234192037470726
Richard,1913,10,0.0234192037470726
Arthur,1913,9,0.02107728337236534
Harry,1913,9,0.02107728337236534
Chester,1913,8,0.01873536299765808
Joseph,1913,8,0.01873536299765808
Louis,1913,8,0.01873536299765808
Edward,1913,7,0.01639344262295082
Fred,1913,7,0.01639344262295082
Jack,1913,7,0.01639344262295082
Lester,1913,7,0.01639344262295082
Roy,1913,7,0.01639344262295082
Elmer,1913,6,0.01405152224824356
Gerald,1913,6,0.01405152224824356
Harold,1913,6,0.01405152224824356
Henry,1913,6,0.01405152224824356
Joe,1913,6,0.01405152224824356
Ralph,1913,6,0.01405152224824356
David,1913,5,0.0117096018735363
Ernest,1913,5,0.0117096018735363
Howard,1913,5,0.0117096018735363
Lewis,1913,5,0.0117096018735363
Rudolph,1913,5,0.0117096018735363
John,1914,53,0.09498207885304659
George,1914,41,0.07347670250896057
William,1914,40,0.07168458781362007
James,1914,30,0.053763440860215055
Robert,1914,30,0.053763440860215055
Charles,1914,28,0.05017921146953405
Frank,1914,27,0.04838709677419355
Arthur,1914,19,0.034050179211469536
Joseph,1914,16,0.02867383512544803
Harold,1914,15,0.026881720430107527
Carl,1914,14,0.025089605734767026
Edward,1914,14,0.025089605734767026
Ralph,1914,14,0.025089605734767026
Raymond,1914,13,0.023297491039426525
Albert,1914,12,0.021505376344086023
Ernest,1914,12,0.021505376344086023
Roy,1914,12,0.021505376344086023
David,1914,11,0.01971326164874552
Fred,1914,10,0.017921146953405017
Thomas,1914,10,0.017921146953405017
Harry,1914,9,0.016129032258064516
Leslie,1914,9,0.016129032258064516
Louis,1914,9,0.016129032258064516
Donald,1914,8,0.014336917562724014
Earl,1914,7,0.012544802867383513
Glenn,1914,7,0.012544802867383513
Howard,1914,7,0.012544802867383513
Joe,1914,7,0.012544802867383513
Lawrence,1914,7,0.012544802867383513
Richard,1914,7,0.012544802867383513
Walter,1914,7,0.012544802867383513
Jay,1914,6,0.010752688172043012
Leonard,1914,6,0.010752688172043012
Paul,1914,6,0.010752688172043012
Clyde,1914,5,0.008960573476702509
Elmer,1914,5,0.008960573476702509
Eugene,1914,5,0.008960573476702509
Everett,1914,5,0.008960573476702509
Henry,1914,5,0.008960573476702509
Jack,1914,5,0.008960573476702509
Lewis,1914,5,0.008960573476702509
William,1915,84,0.09100758396533044
John,1915,74,0.08017334777898158
James,1915,58,0.0628385698808234
Robert,1915,52,0.056338028169014086
Charles,1915,51,0.0552546045503792
George,1915,36,0.0390032502708559
Joseph,1915,33,0.035752979414951244
Frank,1915,24,0.02600216684723727
Harold,1915,20,0.021668472372697724
Donald,1915,19,0.020585048754062838
Jack,1915,19,0.020585048754062838
Edward,1915,15,0.016251354279523293
Fred,1915,15,0.016251354279523293
Kenneth,1915,15,0.016251354279523293
Ralph,1915,15,0.016251354279523293
Raymond,1915,15,0.016251354279523293
Arthur,1915,14,0.015167930660888408
Clarence,1915,14,0.015167930660888408
Walter,1915,14,0.015167930660888408
Albert,1915,13,0.014084507042253521
Harry,1915,13,0.014084507042253521
Joe,1915,13,0.014084507042253521
David,1915,12,0.013001083423618635
Melvin,1915,12,0.013001083423618635
Thomas,1915,11,0.011917659804983749
Andrew,1915,10,0.010834236186348862
Chester,1915,10,0.010834236186348862
Earl,1915,10,0.010834236186348862
Ernest,1915,10,0.010834236186348862
Howard,1915,10,0.010834236186348862
Louis,1915,10,0.010834236186348862
Paul,1915,10,0.010834236186348862
Roy,1915,10,0.010834236186348862
Elmer,1915,9,0.009750812567713976
Gerald,1915,9,0.009750812567713976
Lawrence,1915,9,0.009750812567713976
Richard,1915,9,0.009750812567713976
Francis,1915,8,0.00866738894907909
Max,1915,8,0.00866738894907909
Alfred,1915,7,0.007583965330444204
Eugene,1915,7,0.007583965330444204
Martin,1915,7,0.007583965330444204
Wilbur,1915,7,0.007583965330444204
Arnold,1915,6,0.0065005417118093175
Glen,1915,6,0.0065005417118093175
Leo,1915,6,0.0065005417118093175
Leslie,1915,6,0.0065005417118093175
Lloyd,1915,6,0.0065005417118093175
Norman,1915,6,0.0065005417118093175
Wayne,1915,6,0.0065005417118093175
Alvin,1915,5,0.005417118093174431
Anthony,1915,5,0.005417118093174431
Daniel,1915,5,0.005417118093174431
Everett,1915,5,0.005417118093174431
Floyd,1915,5,0.005417118093174431
Jay,1915,5,0.005417118093174431
Jesse,1915,5,0.005417118093174431
Lewis,1915,5,0.005417118093174431
Marion,1915,5,0.005417118093174431
Mike,1915,5,0.005417118093174431
Ray,1915,5,0.005417118093174431
Ted,1915,5,0.005417118093174431
John,1916,72,0.0703125
William,1916,62,0.060546875
Robert,1916,58,0.056640625
James,1916,53,0.0517578125
Charles,1916,48,0.046875
George,1916,44,0.04296875
Frank,1916,34,0.033203125
Paul,1916,26,0.025390625
Jack,1916,25,0.0244140625
Joseph,1916,23,0.0224609375
Edward,1916,21,0.0205078125
Richard,1916,21,0.0205078125
Albert,1916,20,0.01953125
Arthur,1916,19,0.0185546875
Henry,1916,19,0.0185546875
Clarence,1916,18,0.017578125
Harold,1916,18,0.017578125
Kenneth,1916,18,0.017578125
Ralph,1916,18,0.017578125
Thomas,1916,18,0.017578125
Donald,1916,15,0.0146484375
Fred,1916,15,0.0146484375
Walter,1916,15,0.0146484375
Joe,1916,14,0.013671875
Raymond,1916,14,0.013671875
Roy,1916,14,0.013671875
David,1916,13,0.0126953125
Ernest,1916,10,0.009765625
Howard,1916,10,0.009765625
Cecil,1916,9,0.0087890625
Earl,1916,9,0.0087890625
Harry,1916,9,0.0087890625
Louis,1916,9,0.0087890625
Alfred,1916,8,0.0078125
Andrew,1916,8,0.0078125
Edwin,1916,8,0.0078125
Elmer,1916,8,0.0078125
Leonard,1916,8,0.0078125
Mike,1916,8,0.0078125
Stanley,1916,8,0.0078125
Vernon,1916,8,0.0078125
Allen,1916,7,0.0068359375
Eugene,1916,7,0.0068359375
Floyd,1916,7,0.0068359375
Martin,1916,7,0.0068359375
Victor,1916,7,0.0068359375
Byron,1916,6,0.005859375
Chester,1916,6,0.005859375
Clyde,1916,6,0.005859375
Dale,1916,6,0.005859375
Everett,1916,6,0.005859375
Francis,1916,6,0.005859375
Gerald,1916,6,0.005859375
Herbert,1916,6,0.005859375
Michael,1916,6,0.005859375
Ben,1916,5,0.0048828125
Carl,1916,5,0.0048828125
Dean,1916,5,0.0048828125
Douglas,1916,5,0.0048828125
Glen,1916,5,0.0048828125
Glenn,1916,5,0.0048828125
Lawrence,1916,5,0.0048828125
Lloyd,1916,5,0.0048828125
Lyle,1916,5,0.0048828125
Marvin,1916,5,0.0048828125
Max,1916,5,0.0048828125
Morris,1916,5,0.0048828125
Peter,1916,5,0.0048828125
Wilbur,1916,5,0.0048828125
Willard,1916,5,0.0048828125
Woodrow,1916,5,0.0048828125
John,1917,83,0.06865177832919768
William,1917,82,0.06782464846980976
George,1917,64,0.05293631100082713
James,1917,60,0.04962779156327544
Robert,1917,56,0.04631927212572374
Charles,1917,52,0.043010752688172046
Joseph,1917,34,0.028122415219189414
Edward,1917,33,0.02729528535980149
Frank,1917,31,0.02564102564102564
Jack,1917,27,0.022332506203473945
Harold,1917,25,0.0206782464846981
Ralph,1917,24,0.019851116625310174
Albert,1917,21,0.017369727047146403
Paul,1917,21,0.017369727047146403
Earl,1917,19,0.015715467328370553
Richard,1917,18,0.01488833746898263
Thomas,1917,18,0.01488833746898263
Harry,1917,17,0.014061207609594707
Kenneth,1917,17,0.014061207609594707
Walter,1917,16,0.013234077750206782
Carl,1917,15,0.01240694789081886
Henry,1917,15,0.01240694789081886
Eugene,1917,14,0.011579818031430935
Louis,1917,14,0.011579818031430935
Lawrence,1917,13,0.010752688172043012
Raymond,1917,13,0.010752688172043012
Russell,1917,13,0.010752688172043012
Donald,1917,12,0.009925558312655087
Ernest,1917,12,0.009925558312655087
Glenn,1917,12,0.009925558312655087
Joe,1917,12,0.009925558312655087
Wayne,1917,12,0.009925558312655087
Howard,1917,11,0.009098428453267164
Arthur,1917,10,0.008271298593879239
Roy,1917,10,0.008271298593879239
Alfred,1917,9,0.007444168734491315
David,1917,9,0.007444168734491315
Fred,1917,9,0.007444168734491315
Woodrow,1917,9,0.007444168734491315
Andrew,1917,8,0.006617038875103391
Clarence,1917,8,0.006617038875103391
Daniel,1917,8,0.006617038875103391
Francis,1917,8,0.006617038875103391
Lee,1917,8,0.006617038875103391
Lloyd,1917,8,0.006617038875103391
Ray,1917,8,0.006617038875103391
Bert,1917,7,0.005789909015715467
Clifford,1917,7,0.005789909015715467
Dale,1917,7,0.005789909015715467
Elmer,1917,7,0.005789909015715467
Gerald,1917,7,0.005789909015715467
Gordon,1917,7,0.005789909015715467
Keith,1917,7,0.005789909015715467
Leland,1917,7,0.005789909015715467
Peter,1917,7,0.005789909015715467
Stanley,1917,7,0.005789909015715467
Alvin,1917,6,0.004962779156327543
Bill,1917,6,0.004962779156327543
Don,1917,6,0.004962779156327543
Jesse,1917,6,0.004962779156327543
Lynn,1917,6,0.004962779156327543
Mike,1917,6,0.004962779156327543
Norman,1917,6,0.004962779156327543
Orville,1917,6,0.004962779156327543
Samuel,1917,6,0.004962779156327543
Ted,1917,6,0.004962779156327543
Willard,1917,6,0.004962779156327543
Allen,1917,5,0.0041356492969396195
Archie,1917,5,0.0041356492969396195
Bruce,1917,5,0.0041356492969396195
Cecil,1917,5,0.0041356492969396195
Chester,1917,5,0.0041356492969396195
Clyde,1917,5,0.0041356492969396195
Jacob,1917,5,0.0041356492969396195
Leo,1917,5,0.0041356492969396195
Leslie,1917,5,0.0041356492969396195
Lewis,1917,5,0.0041356492969396195
Max,1917,5,0.0041356492969396195
Philip,1917,5,0.0041356492969396195
Vernon,1917,5,0.0041356492969396195
Victor,1917,5,0.0041356492969396195
Willis,1917,5,0.0041356492969396195
John,1918,114,0.08376193975018369
Robert,1918,87,0.0639235855988244
William,1918,74,0.05437178545187362
James,1918,65,0.04775900073475386
Charles,1918,62,0.045554739162380606
George,1918,48,0.03526818515797208
Frank,1918,41,0.030124908155767818
Harry,1918,30,0.02204261572373255
Jack,1918,30,0.02204261572373255
Clarence,1918,28,0.020573108008817047
Richard,1918,25,0.018368846436443792
Donald,1918,24,0.01763409257898604
Edward,1918,24,0.01763409257898604
Thomas,1918,24,0.01763409257898604
Kenneth,1918,23,0.01689933872152829
Harold,1918,22,0.016164584864070537
Arthur,1918,21,0.015429831006612785
Fred,1918,21,0.015429831006612785
Roy,1918,21,0.015429831006612785
Joseph,1918,20,0.014695077149155033
Paul,1918,19,0.013960323291697281
Henry,1918,18,0.01322556943423953
David,1918,16,0.011756061719324026
Joe,1918,16,0.011756061719324026
Ralph,1918,16,0.011756061719324026
Lawrence,1918,15,0.011021307861866276
Walter,1918,15,0.011021307861866276
Raymond,1918,14,0.010286554004408524
Carl,1918,13,0.009551800146950772
Lloyd,1918,13,0.009551800146950772
Albert,1918,12,0.00881704628949302
Alfred,1918,12,0.00881704628949302
Warren,1918,12,0.00881704628949302
Eugene,1918,11,0.008082292432035268
Francis,1918,11,0.008082292432035268
Floyd,1918,10,0.0073475385745775165
Louis,1918,10,0.0073475385745775165
